event_ID,P_NS,P_REM
0,0.6103,0.0
1,0.9265,0.0001
2,0.891,0.0101
3,0.9265,0.0001
4,0.7643,0.0088
5,0.9883,0.0007
6,0.988,0.0024
7,0.6873,0.0
8,0.8716,0.0544
9,0.9885,0.9847
10,0.9885,0.9847
11,0.9885,0.9847
12,0.9885,0.9847
13,0.9885,0.9847
14,0.0123,0.0
15,0.0123,0.0
16,0.0123,0.0
17,0.0123,0.0
18,0.0123,0.0
19,0.036,0.0
20,0.0124,0.0
21,0.0136,0.0
22,0.9885,0.0
23,0.9885,0.0
24,0.9885,0.0
25,0.9885,0.0
26,0.9885,0.0
27,0.9885,0.0
28,0.6636,0.0022
29,0.9219,0.075
30,0.4958,0.0009
31,0.9853,0.0019
32,0.5837,0.0029
33,0.3304,0.002
34,0.8964,0.0019
35,0.9885,0.9847
36,0.9885,0.9847
37,0.9885,0.9847
38,0.9885,0.9847
39,0.9885,0.9847
40,0.9885,0.9847
41,0.9885,0.9847
42,0.9885,0.9847
43,0.717,0.0
44,0.5623,0.0
45,0.5835,0.0
46,0.5834,0.0
47,0.6209,0.0
48,0.3946,0.0
49,0.8616,0.0009
50,0.7224,0.0
51,0.7634,0.0
52,0.5634,0.0
53,0.0364,0.0
54,0.0123,0.0
55,0.9885,0.9847
56,0.2384,0.0
57,0.1438,0.0
58,0.0361,0.0
59,0.2825,0.0
60,0.0123,0.0
61,0.0123,0.0
62,0.0123,0.0
63,0.0123,0.0
64,0.0123,0.0
65,0.0123,0.0
66,0.0123,0.0
67,0.9885,0.9847
68,0.9861,0.501
69,0.9885,0.9847
70,0.9885,0.9847
71,0.9885,0.9847
72,0.9885,0.9847
73,0.9885,0.9847
74,0.9885,0.9847
75,0.9885,0.9847
76,0.9885,0.9847
77,0.9885,0.9847
78,0.9885,0.9847
79,0.9885,0.9847
80,0.9885,0.9847
81,0.0321,0.0
82,0.0123,0.0
83,0.0124,0.0
84,0.0337,0.0
85,0.0322,0.0
86,0.9885,0.0
87,0.9885,0.0
88,0.9885,0.9847
89,0.9885,0.9847
90,0.9885,0.9847
91,0.9885,0.9847
92,0.9885,0.9847
93,0.0123,0.0
94,0.0123,0.0
95,0.0583,0.0
96,0.0123,0.0
97,0.0123,0.0
98,0.0123,0.0
99,0.0123,0.0
100,0.032,0.0
101,0.0431,0.0
102,0.0432,0.0
103,0.0432,0.0
104,0.9885,0.9847
105,0.9885,0.9847
106,0.9885,0.9847
107,0.9885,0.9847
108,0.9885,0.0001
109,0.9885,0.0
110,0.9885,0.0
111,0.9885,0.0
112,0.9885,0.0
113,0.9508,0.0
114,0.9885,0.0
115,0.0123,0.0
116,0.1283,0.0
117,0.032,0.0
118,0.1283,0.0
119,0.1283,0.0
120,0.0123,0.0
121,0.0406,0.0
122,0.9885,0.0
123,0.8618,0.0
124,0.9885,0.0
125,0.8159,0.0
126,0.0123,0.0
127,0.0537,0.0
128,0.0123,0.0
129,0.0431,0.0
130,0.0708,0.0
131,0.0123,0.0
132,0.0123,0.0
133,0.0123,0.0
134,0.9885,0.9847
135,0.9867,0.5973
136,0.9885,0.9847
137,0.9885,0.9847
138,0.9885,0.9847
139,0.9885,0.9847
140,0.9882,0.9793
141,0.9885,0.9847
142,0.9885,0.9847
143,0.0123,0.0
144,0.0123,0.0
145,0.0123,0.0
146,0.0136,0.0
147,0.0123,0.0
148,0.0868,0.0
149,0.0123,0.0
150,0.0123,0.0
151,0.0123,0.0
152,0.9846,0.0
153,0.9885,0.0
154,0.9885,0.9847
155,0.9864,0.6749
156,0.9885,0.9847
157,0.9885,0.9847
158,0.9885,0.9847
159,0.9885,0.9847
160,0.9885,0.9847
161,0.9885,0.9847
162,0.9885,0.9847
163,0.9885,0.9847
164,0.9885,0.0
165,0.9885,0.0
166,0.9885,0.0
167,0.9885,0.0
168,0.9885,0.9847
169,0.0123,0.0
170,0.0123,0.0
171,0.9885,0.9847
172,0.9885,0.9847
173,0.9885,0.9847
174,0.9885,0.9847
175,0.9885,0.9847
176,0.9885,0.9847
177,0.9885,0.9847
178,0.9884,0.9828
179,0.9885,0.9847
180,0.9885,0.9847
181,0.9885,0.9847
182,0.9885,0.9847
183,0.9885,0.9847
184,0.9885,0.9847
185,0.9885,0.9847
186,0.9885,0.9847
187,0.9866,0.6881
188,0.9856,0.478
189,0.9866,0.5508
190,0.9868,0.8046
191,0.9868,0.6852
192,0.9883,0.9795
193,0.9885,0.9847
194,0.9885,0.9847
195,0.0123,0.0
196,0.0123,0.0
197,0.0123,0.0
198,0.0123,0.0
199,0.0123,0.0
200,0.0123,0.0
201,0.0123,0.0
202,0.0614,0.0
203,0.0123,0.0
204,0.0537,0.0
205,0.0166,0.0
206,0.0123,0.0
207,0.02,0.0
208,0.0125,0.0
209,0.0124,0.0
210,0.0177,0.0
211,0.0141,0.0
212,0.0135,0.0
213,0.0123,0.0
214,0.0123,0.0
215,0.0123,0.0
216,0.0123,0.0
217,0.0123,0.0
218,0.0123,0.0
219,0.0123,0.0
220,0.9885,0.9847
221,0.9878,0.8751
222,0.9885,0.9847
223,0.9885,0.9847
224,0.9885,0.9847
225,0.9885,0.9847
226,0.9885,0.9847
227,0.9885,0.9847
228,0.0123,0.0
229,0.0123,0.0
230,0.0123,0.0
231,0.0431,0.0
232,0.0431,0.0
233,0.9856,0.1054
234,0.9855,0.0467
235,0.9873,0.1279
236,0.9869,0.0908
237,0.9871,0.1029
238,0.9853,0.0529
239,0.9871,0.0287
240,0.9883,0.0001
241,0.986,0.1956
242,0.9885,0.9847
243,0.9885,0.9847
244,0.9885,0.9847
245,0.9885,0.9847
246,0.9885,0.9847
247,0.9885,0.9847
248,0.9885,0.9847
249,0.9871,0.9283
250,0.9855,0.5046
251,0.9885,0.9847
252,0.9859,0.3214
253,0.9866,0.8534
254,0.9885,0.9847
255,0.9885,0.9847
256,0.9853,0.3461
257,0.987,0.7951
258,0.9885,0.9847
259,0.9871,0.2492
260,0.9885,0.9847
261,0.9885,0.9847
262,0.9885,0.9847
263,0.9885,0.9847
264,0.9885,0.9847
265,0.0123,0.0
266,0.0123,0.0
267,0.0303,0.0
268,0.0381,0.0
269,0.0123,0.0
270,0.1898,0.0
271,0.0123,0.0
272,0.0241,0.0
273,0.0136,0.0
274,0.0123,0.0
275,0.0135,0.0
276,0.0123,0.0
277,0.0123,0.0
278,0.0123,0.0
279,0.0123,0.0
280,0.0431,0.0
281,0.5885,0.0
282,0.564,0.0
283,0.3384,0.0
284,0.5496,0.0
285,0.0315,0.0
286,0.5813,0.0
287,0.2668,0.0
288,0.2762,0.0
289,0.6451,0.0
290,0.4262,0.0
291,0.1727,0.0
292,0.9885,0.9847
293,0.9885,0.9847
294,0.9885,0.9847
295,0.9885,0.9847
296,0.9885,0.9847
297,0.9885,0.9847
298,0.9885,0.9847
299,0.0431,0.0
300,0.9885,0.9847
301,0.9885,0.9847
302,0.9885,0.9847
303,0.9885,0.9847
304,0.9885,0.9847
305,0.9885,0.9847
306,0.9885,0.9847
307,0.9885,0.9847
308,0.9885,0.9847
309,0.9885,0.9847
310,0.9885,0.9847
311,0.9885,0.9847
312,0.9885,0.9847
313,0.9885,0.9847
314,0.9855,0.3115
315,0.9885,0.9847
316,0.9885,0.9847
317,0.9885,0.9847
318,0.9885,0.9847
319,0.9885,0.9847
320,0.9885,0.9847
321,0.9885,0.9847
322,0.9885,0.9847
323,0.9885,0.9847
324,0.9885,0.9847
325,0.9885,0.9847
326,0.9885,0.9847
327,0.9885,0.9847
328,0.9876,0.1784
329,0.9874,0.128
330,0.9866,0.2445
331,0.0124,0.0
332,0.0124,0.0
333,0.0123,0.0
334,0.0364,0.0
335,0.0782,0.0
336,0.464,0.0
337,0.0123,0.0
338,0.0537,0.0
339,0.9885,0.9847
340,0.9885,0.9847
341,0.9885,0.9847
342,0.9885,0.9847
343,0.9885,0.9847
344,0.9885,0.9847
345,0.032,0.0
346,0.1841,0.0
347,0.2489,0.0
348,0.0321,0.0
349,0.032,0.0
350,0.9885,0.9847
351,0.9885,0.9847
352,0.9885,0.9847
353,0.9885,0.9847
354,0.9885,0.9847
355,0.987,0.8198
356,0.9885,0.9847
357,0.9885,0.9847
358,0.9885,0.9847
359,0.9885,0.9847
360,0.0123,0.0
361,0.0123,0.0
362,0.0124,0.0
363,0.0123,0.0
364,0.0432,0.0
365,0.0123,0.0
366,0.9885,0.9847
367,0.9885,0.9847
368,0.9885,0.9847
369,0.9885,0.9847
370,0.9885,0.9847
371,0.0123,0.0
372,0.077,0.0
373,0.0364,0.0
374,0.9872,0.0703
375,0.9885,0.9847
376,0.9885,0.9847
377,0.9885,0.9847
378,0.9885,0.9847
379,0.9885,0.9847
380,0.9885,0.9847
381,0.9885,0.9847
382,0.9885,0.9847
383,0.7781,0.0
384,0.5359,0.0
385,0.9883,0.0031
386,0.9853,0.04
387,0.9872,0.0306
388,0.9881,0.0038
389,0.988,0.0084
390,0.9874,0.0194
391,0.9885,0.9847
392,0.986,0.6107
393,0.9885,0.9847
394,0.9885,0.9847
395,0.9885,0.9847
396,0.9885,0.9847
397,0.9885,0.9847
398,0.9885,0.9847
399,0.9861,0.7595
400,0.9885,0.9847
401,0.9885,0.9847
402,0.9883,0.9402
403,0.9885,0.9847
404,0.9885,0.9847
405,0.9885,0.9847
406,0.9885,0.9847
407,0.9885,0.9847
408,0.9885,0.9847
409,0.9885,0.9847
410,0.9885,0.9847
411,0.9885,0.9847
412,0.9885,0.9847
413,0.0123,0.0
414,0.0123,0.0
415,0.0123,0.0
416,0.0123,0.0
417,0.0123,0.0
418,0.0123,0.0
419,0.0123,0.0
420,0.0698,0.0
421,0.0123,0.0
422,0.0432,0.0
423,0.014,0.0
424,0.0135,0.0
425,0.9885,0.0
426,0.9507,0.0
427,0.0123,0.0
428,0.0123,0.0
429,0.8965,0.0
430,0.812,0.0
431,0.6428,0.0
432,0.6985,0.0
433,0.9484,0.0
434,0.014,0.0
435,0.0123,0.0
436,0.4066,0.0
437,0.0123,0.0
438,0.0123,0.0
439,0.0123,0.0
440,0.032,0.0
441,0.0143,0.0
442,0.0123,0.0
443,0.0123,0.0
444,0.0123,0.0
445,0.0123,0.0
446,0.9885,0.0
447,0.0123,0.0
448,0.0123,0.0
449,0.0123,0.0
450,0.9885,0.9847
451,0.9877,0.9482
452,0.9885,0.9847
453,0.9885,0.9847
454,0.9883,0.8726
455,0.9885,0.9847
456,0.9885,0.9847
457,0.9885,0.9847
458,0.9885,0.0
459,0.2434,0.0
460,0.9885,0.9847
461,0.9885,0.0
462,0.9885,0.0
463,0.9885,0.0
464,0.9173,0.0
465,0.975,0.0
466,0.0431,0.0
467,0.0123,0.0
468,0.0537,0.0
469,0.9885,0.9847
470,0.9885,0.9847
471,0.9885,0.9847
472,0.9885,0.9847
473,0.0432,0.0
474,0.9864,0.3907
475,0.9885,0.0
476,0.9885,0.0
477,0.9885,0.9847
478,0.9883,0.9402
479,0.9885,0.9847
480,0.9885,0.9847
481,0.9885,0.9847
482,0.9885,0.9847
483,0.9885,0.9847
484,0.9885,0.9847
485,0.9885,0.0
486,0.9885,0.0
487,0.9447,0.0003
488,0.988,0.0035
489,0.988,0.0187
490,0.9885,0.9847
491,0.9885,0.9847
492,0.9885,0.9847
493,0.9647,0.0
494,0.9885,0.0001
495,0.9885,0.0
496,0.9884,0.0001
497,0.9871,0.0424
498,0.9869,0.0201
499,0.9855,0.0331
500,0.9874,0.0345
501,0.9884,0.0004
502,0.9885,0.9847
503,0.9883,0.9677
504,0.9885,0.9847
505,0.9885,0.9847
506,0.9885,0.9847
507,0.9885,0.9847
508,0.7318,0.0
509,0.5743,0.0
510,0.1187,0.0
511,0.1669,0.0
512,0.4421,0.0
513,0.3644,0.0
514,0.9885,0.9847
515,0.9885,0.9847
516,0.13,0.0
517,0.0137,0.0
518,0.0123,0.0
519,0.9885,0.9847
520,0.9877,0.9133
521,0.9885,0.9847
522,0.9885,0.9847
523,0.9885,0.9847
524,0.9885,0.9847
525,0.9885,0.9847
526,0.9885,0.9847
527,0.9885,0.9847
528,0.9885,0.9847
529,0.9885,0.9847
530,0.0123,0.0
531,0.0123,0.0
532,0.0123,0.0
533,0.0123,0.0
534,0.0123,0.0
535,0.9885,0.9847
536,0.9885,0.9847
537,0.9885,0.9847
538,0.9885,0.9847
539,0.0123,0.0
540,0.0123,0.0
541,0.0123,0.0
542,0.0344,0.0
543,0.9885,0.0
544,0.86,0.0
545,0.0123,0.0
546,0.9885,0.9847
547,0.9885,0.9847
548,0.9885,0.9847
549,0.9885,0.9847
550,0.9885,0.9847
