m1_rec,m2_rec,chi1_rec,chi2_rec,snr,pipeline,HasNS_true,HasREM_true,P_NS,P_REM
4.2680326,3.634232,-0.91373581,0.45020315,18.99142870210943,spiir,1,0,0.5864,0.0
6.2689449,2.5882754,-0.14666831,0.099327602,19.28523339777997,pycbc,1,0,0.8964,0.0001
12.247071,1.55014,0.37089166,0.019994076,19.72189961587278,spiir,1,0,0.8876,0.0142
6.1548867,2.612731,-0.016768314,-0.53275579,18.75427924679041,spiir,1,0,0.8964,0.0001
21.466118,1.1006724,0.72659099,0.0071671284,15.50961519516173,spiir,1,0,0.7636,0.0084
15.128631,1.338744,0.4830558,0.0,19.18419008725327,pycbc,1,0,0.9883,0.0009
12.304299,1.548501,0.388013,0.0,35.202984,MBTA,1,0,0.988,0.003
9.7641048,1.8252836,0.20109375,0.20109375,19.48064958539456,gstlal,1,0,0.6553,0.0
13.358684,1.5123475,0.60328126,0.60328126,15.07300080166511,gstlal,1,0,0.8347,0.028
1.9110175,1.4256037,0.0021032987,-0.0039921603,12.073968093168,spiir,1,1,0.9885,0.9847
1.852125,1.4677072,-0.046509039,0.030845348,11.76989579304657,spiir,1,1,0.9885,0.9847
4.78139,0.67894,0.54562,-0.29612,11.580323,MBTA,1,1,0.9885,0.9847
1.7460034,1.5564325,0.01546875,0.01546875,12.73759364652034,gstlal,1,1,0.9885,0.9847
3.0061171,0.95124155,-0.04640625,-0.04640625,9.372018378988953,gstlal,1,1,0.9885,0.9847
106.84828,116.16337,-0.21656249,-0.21656249,7.845472490901471,gstlal,0,0,0.0123,0.0
131.68057,149.27057,0.66515625,0.66515625,7.737108575625847,gstlal,0,0,0.0123,0.0
146.77638,11.252654,0.047332957,0.047332957,13.43776568988854,pycbc,0,0,0.0123,0.0
171.62013,66.910265,0.759381,0.759381,13.250745,MBTA,0,0,0.0123,0.0
103.25758,97.242424,-0.53763956,0.97462958,13.08973596068758,spiir,0,0,0.0123,0.0
176.43205,57.082771,0.66515625,0.66515625,13.34849840857486,gstlal,0,0,0.0427,0.0
98.97998,3.0321481,-0.47704291,0.22552933,12.48551552831055,spiir,0,0,0.0124,0.0
