event_ID,P_NS,P_REM
GW170823,0.0123,0.0
GW170817,0.9885,0.9847
GW170814,0.0123,0.0
GW170809,0.0123,0.0
GW190408,0.0123,0.0
GW190412,0.0123,0.0
GW190413_052954,0.0123,0.0
GW190413_134308,0.0123,0.0
GW190421,0.0123,0.0
GW190425,0.9885,0.9847
GW190426,0.9885,0.0
GW190503,0.0123,0.0
GW190512,0.0123,0.0
GW190513,0.0123,0.0
GW190517,0.0123,0.0
GW190519,0.0123,0.0
GW190521_074359,0.0123,0.0
GW190602,0.0123,0.0
GW190630,0.0123,0.0
GW190706,0.0123,0.0
GW190707,0.0123,0.0
GW190708,0.014,0.0
GW190720,0.0123,0.0
GW190727,0.0123,0.0
GW190728,0.0123,0.0
GW190814,0.5665,0.0
GW190828_063405,0.0123,0.0
GW190828_065509,0.0123,0.0
GW190915,0.0123,0.0
GW190924,0.0536,0.0
GW190930,0.0123,0.0
GW191109,0.0123,0.0
GW191129,0.0123,0.0
GW191204_171526,0.0123,0.0
GW191215,0.0123,0.0
GW191216,0.0124,0.0
GW191222,0.0123,0.0
GW200112,0.0123,0.0
GW200115,0.9885,0.0
GW200129,0.0123,0.0
GW200219,0.0123,0.0
GW200224,0.0123,0.0
GW200225,0.0123,0.0
GW200302,0.0123,0.0
GW200311,0.0123,0.0
GW200316,0.0123,0.0
GW200322,0.0123,0.0
