X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.003514,0.000048,0.000002,0.004062,0.000002,0.000216,0.000318,0.000002,0.000016,0.000015,0.000071,0.000066,0.000003,0.000150,0.000589,0.000035,0.000667,0.000038,0.000061,0.000028,0.000019,0.000031,0.002338
0.020000,0.003989,0.000106,0.000005,0.004473,0.000006,0.000472,0.000496,0.000002,0.000022,0.000032,0.000110,0.000107,0.000006,0.000222,0.000768,0.000052,0.000824,0.000070,0.000123,0.000051,0.000037,0.000065,0.002812
0.040000,0.004590,0.000240,0.000012,0.005026,0.000016,0.000982,0.000747,0.000003,0.000031,0.000067,0.000169,0.000173,0.000012,0.000319,0.001006,0.000075,0.001020,0.000131,0.000245,0.000100,0.000077,0.000134,0.003436
0.060000,0.005328,0.000542,0.000028,0.005735,0.000046,0.001895,0.001078,0.000005,0.000042,0.000136,0.000255,0.000272,0.000026,0.000441,0.001309,0.000103,0.001260,0.000244,0.000474,0.000208,0.000169,0.000272,0.004229
0.080000,0.006212,0.001191,0.000060,0.006612,0.000134,0.003328,0.001481,0.000007,0.000056,0.000264,0.000376,0.000414,0.000055,0.000586,0.001680,0.000137,0.001541,0.000440,0.000870,0.000439,0.000377,0.000524,0.005205
0.100000,0.007246,0.002471,0.000121,0.007666,0.000379,0.005269,0.001937,0.000008,0.000071,0.000478,0.000540,0.000609,0.000116,0.000747,0.002115,0.000175,0.001860,0.000753,0.001500,0.000915,0.000828,0.000943,0.006357
0.120000,0.008430,0.004726,0.000222,0.008895,0.000994,0.007517,0.002417,0.000010,0.000088,0.000795,0.000751,0.000856,0.000230,0.000915,0.002598,0.000214,0.002207,0.001203,0.002400,0.001834,0.001737,0.001558,0.007662
0.140000,0.009758,0.008184,0.000367,0.010288,0.002342,0.009744,0.002893,0.000012,0.000105,0.001204,0.001013,0.001151,0.000424,0.001081,0.003109,0.000253,0.002572,0.001784,0.003550,0.003436,0.003385,0.002349,0.009070
0.160000,0.011220,0.012721,0.000542,0.011822,0.004833,0.011645,0.003344,0.000014,0.000123,0.001662,0.001322,0.001479,0.000709,0.001237,0.003624,0.000289,0.002941,0.002447,0.004856,0.005892,0.005987,0.003237,0.010517
0.180000,0.012802,0.017776,0.000721,0.013464,0.008607,0.013061,0.003761,0.000016,0.000140,0.002108,0.001668,0.001821,0.001068,0.001377,0.004120,0.000322,0.003305,0.003122,0.006175,0.009133,0.009480,0.004109,0.011929
0.200000,0.014491,0.022563,0.000873,0.015178,0.013234,0.014006,0.004142,0.000017,0.000156,0.002490,0.002039,0.002155,0.001451,0.001499,0.004580,0.000350,0.003653,0.003738,0.007368,0.012774,0.013426,0.004867,0.013244
0.220000,0.016273,0.026429,0.000982,0.016927,0.017839,0.014620,0.004495,0.000018,0.000170,0.002779,0.002418,0.002465,0.001799,0.001604,0.004995,0.000375,0.003980,0.004248,0.008340,0.016252,0.017173,0.005457,0.014415
0.240000,0.018137,0.029061,0.001045,0.018684,0.021599,0.015094,0.004830,0.000019,0.000182,0.002976,0.002790,0.002741,0.002071,0.001695,0.005361,0.000396,0.004285,0.004639,0.009061,0.019089,0.020174,0.005875,0.015426
0.260000,0.020077,0.030491,0.001067,0.020435,0.024102,0.015620,0.005156,0.000020,0.000193,0.003100,0.003143,0.002980,0.002252,0.001778,0.005685,0.000415,0.004567,0.004925,0.009553,0.021048,0.022173,0.006156,0.016285
0.280000,0.022092,0.030982,0.001064,0.022181,0.025371,0.016363,0.005480,0.000022,0.000203,0.003179,0.003468,0.003184,0.002351,0.001858,0.005976,0.000434,0.004833,0.005138,0.009879,0.022140,0.023199,0.006348,0.017028
0.300000,0.024188,0.030893,0.001049,0.023939,0.025694,0.017451,0.005807,0.000023,0.000212,0.003242,0.003759,0.003359,0.002390,0.001940,0.006249,0.000453,0.005089,0.005317,0.010115,0.022546,0.023472,0.006507,0.017708
0.320000,0.026378,0.030595,0.001036,0.025739,0.025457,0.018974,0.006137,0.000024,0.000221,0.003316,0.004017,0.003516,0.002398,0.002030,0.006518,0.000474,0.005344,0.005499,0.010337,0.022523,0.023286,0.006678,0.018390
0.340000,0.028681,0.030404,0.001034,0.027614,0.025035,0.020981,0.006468,0.000025,0.000229,0.003421,0.004243,0.003664,0.002399,0.002133,0.006802,0.000498,0.005610,0.005716,0.010616,0.022338,0.022941,0.006898,0.019143
0.360000,0.031121,0.030570,0.001050,0.029603,0.024729,0.023470,0.006797,0.000026,0.000238,0.003571,0.004441,0.003813,0.002415,0.002252,0.007116,0.000526,0.005899,0.005992,0.011007,0.022222,0.022691,0.007191,0.020034
0.380000,0.033726,0.031273,0.001089,0.031733,0.024754,0.026375,0.007122,0.000027,0.000247,0.003776,0.004618,0.003970,0.002462,0.002390,0.007477,0.000558,0.006223,0.006347,0.011555,0.022354,0.022728,0.007571,0.021121
0.400000,0.036521,0.032633,0.001155,0.034019,0.025243,0.029563,0.007442,0.000029,0.000257,0.004040,0.004780,0.004141,0.002548,0.002549,0.007899,0.000595,0.006596,0.006789,0.012289,0.022854,0.023178,0.008042,0.022445
0.420000,0.039525,0.034719,0.001247,0.036456,0.026263,0.032851,0.007760,0.000030,0.000267,0.004361,0.004935,0.004332,0.002679,0.002728,0.008394,0.000637,0.007028,0.007320,0.013226,0.023789,0.024110,0.008602,0.024025
0.440000,0.042739,0.037540,0.001364,0.039012,0.027826,0.036040,0.008082,0.000031,0.000279,0.004735,0.005088,0.004544,0.002855,0.002926,0.008970,0.000684,0.007527,0.007931,0.014363,0.025176,0.025542,0.009237,0.025849
0.460000,0.046144,0.041040,0.001502,0.041630,0.029890,0.038951,0.008415,0.000032,0.000292,0.005152,0.005246,0.004776,0.003069,0.003140,0.009627,0.000734,0.008092,0.008605,0.015683,0.026978,0.027432,0.009932,0.027864
0.480000,0.049687,0.045079,0.001656,0.044233,0.032363,0.041469,0.008771,0.000034,0.000305,0.005597,0.005415,0.005026,0.003313,0.003366,0.010358,0.000786,0.008719,0.009317,0.017146,0.029102,0.029684,0.010667,0.029981
0.500000,0.053286,0.049440,0.001815,0.046732,0.035111,0.043547,0.009157,0.000035,0.000320,0.006057,0.005598,0.005290,0.003574,0.003598,0.011144,0.000841,0.009390,0.010033,0.018698,0.031411,0.032146,0.011422,0.032076
0.520000,0.056830,0.053849,0.001971,0.049041,0.037969,0.045217,0.009584,0.000036,0.000334,0.006516,0.005801,0.005563,0.003838,0.003831,0.011958,0.000895,0.010079,0.010721,0.020273,0.033735,0.034638,0.012179,0.034009
0.540000,0.060189,0.058019,0.002115,0.051091,0.040778,0.046562,0.010055,0.000038,0.000350,0.006959,0.006026,0.005839,0.004091,0.004059,0.012764,0.000948,0.010754,0.011350,0.021809,0.035908,0.036975,0.012923,0.035645
0.560000,0.063236,0.061703,0.002243,0.052849,0.043403,0.047705,0.010571,0.000040,0.000365,0.007378,0.006276,0.006114,0.004323,0.004278,0.013523,0.001000,0.011377,0.011895,0.023252,0.037795,0.039009,0.013645,0.036876
0.580000,0.065861,0.064729,0.002350,0.054322,0.045763,0.048785,0.011123,0.000041,0.000380,0.007762,0.006552,0.006384,0.004528,0.004485,0.014200,0.001048,0.011917,0.012340,0.024568,0.039320,0.040655,0.014339,0.037638
0.600000,0.067992,0.067019,0.002437,0.055573,0.047835,0.049936,0.011699,0.000043,0.000394,0.008110,0.006856,0.006647,0.004704,0.004677,0.014765,0.001093,0.012349,0.012679,0.025744,0.040476,0.041902,0.015006,0.037919
0.620000,0.069605,0.068594,0.002507,0.056713,0.049652,0.051279,0.012282,0.000045,0.000408,0.008418,0.007187,0.006904,0.004855,0.004855,0.015202,0.001134,0.012660,0.012918,0.026789,0.041326,0.042812,0.015646,0.037773
0.640000,0.070737,0.069567,0.002564,0.057910,0.051290,0.052902,0.012851,0.000047,0.000422,0.008688,0.007544,0.007156,0.004987,0.005020,0.015512,0.001173,0.012854,0.013071,0.027730,0.041995,0.043513,0.016264,0.037319
0.660000,0.071494,0.070133,0.002614,0.059370,0.052859,0.054860,0.013387,0.000049,0.000435,0.008924,0.007926,0.007408,0.005106,0.005175,0.015707,0.001209,0.012950,0.013167,0.028608,0.042662,0.044187,0.016867,0.036748
0.680000,0.072051,0.070565,0.002663,0.061330,0.054483,0.057171,0.013876,0.000051,0.000449,0.009131,0.008329,0.007663,0.005222,0.005325,0.015819,0.001244,0.012987,0.013241,0.029473,0.043540,0.045053,0.017465,0.036315
0.700000,0.072659,0.071199,0.002718,0.064026,0.056286,0.059818,0.014308,0.000052,0.000462,0.009317,0.008749,0.007930,0.005345,0.005473,0.015896,0.001279,0.013018,0.013344,0.030378,0.044853,0.046343,0.018066,0.036326
0.720000,0.073629,0.072408,0.002787,0.067652,0.058370,0.062749,0.014685,0.000054,0.000476,0.009493,0.009181,0.008212,0.005483,0.005625,0.016005,0.001314,0.013116,0.013531,0.031373,0.046809,0.048267,0.018684,0.037119
0.740000,0.075313,0.074569,0.002873,0.072302,0.060803,0.065896,0.015015,0.000055,0.000490,0.009669,0.009620,0.008514,0.005643,0.005786,0.016222,0.001352,0.013362,0.013864,0.032497,0.049548,0.050976,0.019330,0.039029
