X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.001480,0.001504,0.000056,0.001579,0.001230,0.001313,0.000347,0.000001,0.000013,0.000194,0.000189,0.000190,0.000125,0.000130,0.000389,0.000030,0.000307,0.000332,0.000643,0.001006,0.001034,0.000360,0.001026
0.040000,0.003002,0.003047,0.000113,0.003180,0.002480,0.002649,0.000697,0.000003,0.000025,0.000392,0.000381,0.000382,0.000251,0.000261,0.000782,0.000061,0.000620,0.000669,0.001296,0.002035,0.002092,0.000729,0.002066
0.060000,0.004566,0.004629,0.000172,0.004802,0.003751,0.004007,0.001050,0.000004,0.000038,0.000594,0.000577,0.000577,0.000380,0.000393,0.001180,0.000092,0.000937,0.001010,0.001960,0.003087,0.003174,0.001106,0.003119
0.080000,0.006173,0.006250,0.000232,0.006447,0.005041,0.005388,0.001405,0.000006,0.000051,0.000801,0.000776,0.000774,0.000510,0.000527,0.001583,0.000123,0.001260,0.001355,0.002634,0.004163,0.004280,0.001491,0.004187
0.100000,0.007823,0.007913,0.000294,0.008113,0.006352,0.006792,0.001764,0.000007,0.000063,0.001011,0.000980,0.000973,0.000641,0.000662,0.001991,0.000155,0.001588,0.001704,0.003319,0.005263,0.005410,0.001885,0.005268
0.120000,0.009517,0.009615,0.000356,0.009802,0.007684,0.008220,0.002125,0.000008,0.000076,0.001225,0.001187,0.001174,0.000775,0.000799,0.002403,0.000187,0.001921,0.002057,0.004016,0.006386,0.006565,0.002288,0.006365
0.140000,0.011256,0.011360,0.000420,0.011514,0.009037,0.009671,0.002490,0.000010,0.000089,0.001443,0.001399,0.001378,0.000910,0.000936,0.002820,0.000219,0.002259,0.002414,0.004723,0.007534,0.007745,0.002700,0.007475
0.160000,0.013040,0.013146,0.000486,0.013248,0.010411,0.011147,0.002858,0.000011,0.000102,0.001665,0.001614,0.001584,0.001047,0.001075,0.003242,0.000251,0.002603,0.002776,0.005442,0.008706,0.008950,0.003120,0.008600
0.180000,0.014869,0.014974,0.000553,0.015006,0.011807,0.012647,0.003228,0.000013,0.000115,0.001891,0.001833,0.001793,0.001186,0.001216,0.003669,0.000284,0.002952,0.003143,0.006172,0.009903,0.010180,0.003550,0.009741
0.200000,0.016744,0.016845,0.000621,0.016787,0.013224,0.014171,0.003602,0.000014,0.000128,0.002121,0.002056,0.002003,0.001326,0.001358,0.004101,0.000317,0.003307,0.003513,0.006914,0.011124,0.011436,0.003988,0.010896
0.220000,0.018666,0.018759,0.000691,0.018591,0.014664,0.015720,0.003978,0.000016,0.000141,0.002355,0.002283,0.002217,0.001468,0.001501,0.004538,0.000351,0.003667,0.003888,0.007668,0.012371,0.012718,0.004436,0.012067
0.240000,0.020635,0.020717,0.000763,0.020419,0.016126,0.017295,0.004358,0.000017,0.000154,0.002593,0.002513,0.002432,0.001612,0.001645,0.004979,0.000384,0.004033,0.004268,0.008433,0.013643,0.014025,0.004893,0.013253
0.260000,0.022650,0.022718,0.000835,0.022272,0.017610,0.018895,0.004741,0.000018,0.000167,0.002836,0.002748,0.002650,0.001757,0.001792,0.005426,0.000419,0.004404,0.004652,0.009210,0.014941,0.015359,0.005359,0.014455
0.280000,0.024713,0.024764,0.000910,0.024148,0.019118,0.020521,0.005127,0.000020,0.000181,0.003082,0.002987,0.002870,0.001905,0.001939,0.005877,0.000453,0.004781,0.005041,0.010000,0.016263,0.016719,0.005835,0.015673
0.300000,0.026823,0.026853,0.000985,0.026049,0.020648,0.022174,0.005517,0.000021,0.000194,0.003332,0.003230,0.003093,0.002053,0.002088,0.006334,0.000488,0.005163,0.005434,0.010801,0.017612,0.018105,0.006320,0.016907
0.320000,0.028980,0.028986,0.001062,0.027975,0.022202,0.023853,0.005909,0.000023,0.000207,0.003587,0.003477,0.003318,0.002204,0.002238,0.006796,0.000523,0.005552,0.005832,0.011616,0.018986,0.019517,0.006815,0.018158
0.340000,0.031184,0.031164,0.001141,0.029926,0.023780,0.025558,0.006305,0.000024,0.000221,0.003845,0.003728,0.003545,0.002357,0.002390,0.007262,0.000558,0.005946,0.006235,0.012442,0.020385,0.020956,0.007320,0.019425
0.360000,0.033436,0.033386,0.001221,0.031902,0.025381,0.027291,0.006704,0.000026,0.000234,0.004107,0.003983,0.003775,0.002511,0.002543,0.007734,0.000594,0.006346,0.006642,0.013282,0.021810,0.022421,0.007834,0.020709
0.380000,0.035734,0.035652,0.001303,0.033903,0.027007,0.029052,0.007106,0.000027,0.000248,0.004373,0.004242,0.004007,0.002667,0.002698,0.008211,0.000630,0.006751,0.007054,0.014134,0.023260,0.023912,0.008357,0.022010
0.400000,0.038078,0.037962,0.001386,0.035931,0.028658,0.030840,0.007512,0.000029,0.000262,0.004642,0.004505,0.004242,0.002824,0.002854,0.008693,0.000667,0.007163,0.007471,0.014999,0.024736,0.025429,0.008891,0.023328
0.420000,0.040468,0.040316,0.001470,0.037984,0.030333,0.032657,0.007921,0.000030,0.000275,0.004916,0.004772,0.004479,0.002984,0.003012,0.009180,0.000704,0.007581,0.007893,0.015878,0.026237,0.026972,0.009434,0.024664
0.440000,0.042903,0.042712,0.001556,0.040064,0.032033,0.034503,0.008333,0.000032,0.000289,0.005193,0.005043,0.004718,0.003145,0.003171,0.009672,0.000741,0.008004,0.008320,0.016769,0.027763,0.028540,0.009986,0.026018
0.460000,0.045382,0.045152,0.001643,0.042170,0.033759,0.036377,0.008749,0.000033,0.000303,0.005473,0.005318,0.004959,0.003308,0.003331,0.010170,0.000778,0.008434,0.008752,0.017675,0.029314,0.030134,0.010548,0.027389
0.480000,0.047904,0.047633,0.001732,0.044303,0.035510,0.038281,0.009168,0.000035,0.000316,0.005757,0.005597,0.005203,0.003472,0.003494,0.010672,0.000816,0.008869,0.009189,0.018594,0.030889,0.031754,0.011120,0.028779
0.500000,0.050467,0.050156,0.001822,0.046463,0.037288,0.040214,0.009591,0.000037,0.000330,0.006045,0.005879,0.005450,0.003639,0.003657,0.011180,0.000855,0.009311,0.009630,0.019527,0.032488,0.033398,0.011701,0.030187
0.520000,0.053071,0.052720,0.001913,0.048651,0.039092,0.042177,0.010017,0.000038,0.000344,0.006335,0.006165,0.005698,0.003807,0.003823,0.011693,0.000893,0.009758,0.010077,0.020473,0.034111,0.035066,0.012292,0.031614
0.540000,0.055713,0.055322,0.002006,0.050866,0.040922,0.044171,0.010447,0.000040,0.000358,0.006629,0.006455,0.005949,0.003976,0.003990,0.012211,0.000932,0.010212,0.010529,0.021434,0.035757,0.036758,0.012892,0.033060
0.560000,0.058392,0.057963,0.002100,0.053109,0.042779,0.046196,0.010880,0.000041,0.000372,0.006925,0.006749,0.006202,0.004148,0.004158,0.012735,0.000971,0.010672,0.010986,0.022410,0.037425,0.038473,0.013501,0.034525
0.580000,0.061105,0.060641,0.002195,0.055380,0.044664,0.048251,0.011317,0.000043,0.000387,0.007224,0.007046,0.006458,0.004321,0.004328,0.013263,0.001011,0.011137,0.011449,0.023399,0.039116,0.040211,0.014119,0.036009
0.600000,0.063851,0.063354,0.002291,0.057680,0.046576,0.050339,0.011757,0.000044,0.000401,0.007526,0.007347,0.006716,0.004496,0.004500,0.013797,0.001051,0.011609,0.011916,0.024404,0.040828,0.041971,0.014746,0.037513
0.620000,0.066625,0.066101,0.002389,0.060008,0.048516,0.052458,0.012201,0.000046,0.000415,0.007830,0.007651,0.006976,0.004673,0.004673,0.014336,0.001092,0.012087,0.012389,0.025423,0.042560,0.043751,0.015382,0.039037
0.640000,0.069426,0.068879,0.002488,0.062366,0.050485,0.054610,0.012649,0.000048,0.000429,0.008136,0.007959,0.007238,0.004851,0.004848,0.014880,0.001133,0.012571,0.012868,0.026457,0.044311,0.045552,0.016027,0.040582
