X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.000403,0.000254,0.000012,0.000260,0.000219,0.000193,0.000060,0.000000,0.000002,0.000042,0.000039,0.000034,0.000025,0.000018,0.000067,0.000004,0.000061,0.000069,0.000147,0.000214,0.000220,0.000075,0.000187
0.020000,0.013129,0.000000,0.000289,0.011010,0.000000,0.000000,0.001187,0.000004,0.000037,0.001048,0.000000,0.000000,0.000000,0.000828,0.003931,0.000194,0.001858,0.001727,0.002991,0.019357,0.019899,0.002387,0.004811
0.040000,0.016880,0.000000,0.000000,0.013763,0.000000,0.007642,0.002671,0.000015,0.000127,0.000000,0.000956,0.001448,0.000643,0.000460,0.001825,0.000108,0.002787,0.000000,0.000000,0.000000,0.000000,0.000000,0.009021
0.060000,0.004726,0.022934,0.000667,0.015729,0.000000,0.007642,0.000689,0.000006,0.000051,0.001572,0.000770,0.001477,0.000000,0.000850,0.001762,0.000199,0.002307,0.003742,0.005317,0.000000,0.000000,0.006366,0.007216
0.080000,0.006950,0.007939,0.000500,0.004588,0.001571,0.004319,0.001781,0.000003,0.000029,0.000924,0.001279,0.002150,0.000669,0.000679,0.001966,0.000159,0.002230,0.002068,0.003518,0.004489,0.004614,0.001343,0.009278
0.100000,0.007523,0.006815,0.000269,0.009371,0.005880,0.009003,0.001553,0.000008,0.000076,0.000921,0.001066,0.001049,0.000428,0.001018,0.002033,0.000238,0.001331,0.002049,0.002549,0.006552,0.006735,0.003100,0.005650
0.120000,0.011235,0.008725,0.000335,0.009240,0.007161,0.008638,0.002039,0.000010,0.000090,0.000813,0.001159,0.001266,0.000581,0.000779,0.001870,0.000182,0.001991,0.002282,0.002815,0.007128,0.007328,0.001804,0.005530
0.140000,0.005371,0.007768,0.000443,0.014314,0.004006,0.007716,0.002596,0.000011,0.000104,0.001473,0.000729,0.000912,0.000697,0.000738,0.002444,0.000172,0.002249,0.002611,0.003722,0.011168,0.011480,0.002491,0.007419
0.160000,0.003109,0.007372,0.000347,0.001805,0.013019,0.005844,0.001425,0.000012,0.000110,0.001069,0.001283,0.001161,0.000674,0.000888,0.004599,0.000207,0.003122,0.002159,0.004272,0.005531,0.005686,0.002010,0.007216
0.180000,0.022723,0.022115,0.000569,0.012234,0.014390,0.009461,0.005129,0.000016,0.000139,0.001982,0.000815,0.001310,0.000965,0.001823,0.002643,0.000426,0.001982,0.001633,0.005859,0.012905,0.013266,0.006096,0.010934
0.200000,0.012262,0.013113,0.000889,0.019551,0.006922,0.013755,0.003400,0.000011,0.000107,0.002493,0.002188,0.001824,0.001626,0.001010,0.004586,0.000236,0.003263,0.001871,0.003850,0.013799,0.014186,0.002865,0.010825
0.220000,0.025847,0.020207,0.000600,0.020019,0.011814,0.009431,0.004646,0.000019,0.000176,0.001646,0.002250,0.002418,0.001672,0.001021,0.003607,0.000239,0.003475,0.003062,0.006270,0.007848,0.008067,0.002679,0.012998
0.240000,0.021933,0.015536,0.000704,0.017302,0.009627,0.017494,0.004829,0.000019,0.000172,0.001981,0.001890,0.001873,0.001349,0.001888,0.004800,0.000441,0.003508,0.002893,0.005588,0.015161,0.015585,0.004321,0.015431
0.260000,0.016112,0.012674,0.000723,0.015729,0.013430,0.014363,0.005245,0.000023,0.000183,0.003028,0.002132,0.002535,0.001983,0.001339,0.005277,0.000313,0.004288,0.005037,0.010423,0.018477,0.018995,0.004284,0.016520
0.280000,0.012532,0.037047,0.001014,0.030028,0.013602,0.013635,0.005260,0.000019,0.000184,0.003180,0.004377,0.002573,0.001320,0.001795,0.007985,0.000419,0.004757,0.005890,0.009029,0.017355,0.017841,0.004842,0.019544
0.300000,0.021483,0.040134,0.001161,0.031458,0.015447,0.019514,0.004749,0.000021,0.000197,0.001564,0.003394,0.003710,0.002091,0.002106,0.006290,0.000492,0.005663,0.003930,0.011963,0.018885,0.019414,0.006251,0.018041
0.320000,0.027621,0.029287,0.001001,0.017671,0.021031,0.013797,0.006882,0.000018,0.000171,0.004336,0.003707,0.002079,0.002060,0.002008,0.005870,0.000469,0.005658,0.004111,0.011259,0.019910,0.020468,0.008448,0.019128
0.340000,0.021268,0.033445,0.001120,0.032507,0.023695,0.018744,0.007771,0.000029,0.000249,0.003653,0.003981,0.003635,0.002225,0.002379,0.007086,0.000556,0.004848,0.005198,0.012899,0.018436,0.018952,0.006534,0.015553
0.360000,0.026157,0.031842,0.001119,0.022586,0.024988,0.034149,0.006554,0.000027,0.000245,0.003922,0.003530,0.003980,0.002448,0.002358,0.005658,0.000551,0.005291,0.005822,0.007856,0.016445,0.016906,0.009879,0.020257
0.380000,0.036760,0.026628,0.001030,0.031458,0.030378,0.019260,0.006186,0.000030,0.000280,0.003875,0.003960,0.003828,0.002402,0.002388,0.007621,0.000558,0.007505,0.008489,0.010221,0.018219,0.018729,0.007619,0.024055
0.400000,0.045950,0.034144,0.001038,0.034117,0.034362,0.033114,0.007592,0.000031,0.000282,0.004940,0.004180,0.003630,0.002337,0.002186,0.007706,0.000511,0.007232,0.009488,0.010254,0.019118,0.019654,0.009848,0.019587
0.420000,0.053171,0.032609,0.001508,0.036177,0.024682,0.031458,0.008243,0.000028,0.000241,0.004885,0.006322,0.004320,0.003345,0.003025,0.008923,0.000707,0.007964,0.008130,0.012592,0.034968,0.035947,0.009047,0.020618
0.440000,0.044112,0.044050,0.001188,0.035668,0.029253,0.040410,0.006894,0.000026,0.000251,0.004336,0.004620,0.005855,0.004037,0.003242,0.009880,0.000757,0.007913,0.007582,0.014178,0.033751,0.034696,0.008005,0.030068
0.460000,0.037245,0.048386,0.001461,0.033164,0.037162,0.041879,0.007818,0.000035,0.000312,0.005394,0.005416,0.004292,0.002970,0.002731,0.007843,0.000638,0.005964,0.008578,0.014754,0.023229,0.023879,0.010887,0.026102
0.480000,0.045738,0.036227,0.001590,0.043348,0.032491,0.040815,0.008614,0.000033,0.000302,0.004392,0.005197,0.004358,0.002539,0.003205,0.011571,0.000749,0.009502,0.007889,0.018609,0.024009,0.024681,0.008833,0.027289
0.500000,0.052514,0.046542,0.001879,0.044510,0.038292,0.043747,0.008354,0.000036,0.000331,0.006331,0.004705,0.004365,0.003245,0.003349,0.011138,0.000783,0.008487,0.010094,0.019283,0.029874,0.030711,0.011272,0.036082
0.520000,0.046547,0.058413,0.001689,0.045337,0.039313,0.040591,0.008152,0.000030,0.000286,0.005785,0.005273,0.005445,0.003774,0.003517,0.011575,0.000822,0.010232,0.008745,0.024509,0.033601,0.034542,0.008988,0.030927
0.540000,0.073634,0.060201,0.002304,0.053741,0.040504,0.036124,0.011565,0.000035,0.000321,0.006435,0.007410,0.007154,0.004530,0.004313,0.012776,0.001008,0.009853,0.012091,0.022411,0.040927,0.042073,0.012278,0.031376
0.560000,0.045652,0.059458,0.002538,0.050295,0.037413,0.042999,0.010685,0.000039,0.000358,0.006371,0.005661,0.006787,0.003949,0.004498,0.011431,0.001051,0.008053,0.009377,0.020663,0.034787,0.035761,0.013291,0.025607
0.580000,0.057766,0.046420,0.002189,0.047188,0.041051,0.047162,0.011345,0.000045,0.000392,0.008091,0.006663,0.006518,0.004526,0.004620,0.011834,0.001080,0.010328,0.012566,0.022582,0.038324,0.039397,0.014650,0.034114
0.600000,0.061442,0.053321,0.001992,0.051332,0.037526,0.048231,0.011520,0.000042,0.000383,0.007110,0.006639,0.006238,0.004285,0.003824,0.013903,0.000893,0.011707,0.012248,0.021517,0.037891,0.038952,0.015265,0.031206
0.620000,0.064261,0.062094,0.002141,0.051426,0.040620,0.052946,0.012650,0.000048,0.000417,0.008374,0.007463,0.006870,0.004731,0.004226,0.014284,0.000987,0.011215,0.011358,0.026075,0.039626,0.040735,0.014947,0.039669
0.640000,0.069553,0.069399,0.002441,0.065817,0.056232,0.053388,0.012119,0.000048,0.000438,0.008844,0.007643,0.006461,0.004916,0.004680,0.014405,0.001094,0.013831,0.012923,0.029606,0.047838,0.049178,0.015899,0.043298
0.660000,0.068746,0.078953,0.002927,0.063992,0.054374,0.061133,0.012603,0.000042,0.000381,0.009261,0.008754,0.008120,0.005360,0.004984,0.016791,0.001165,0.014866,0.012454,0.029953,0.040341,0.041471,0.016776,0.040592
0.680000,0.079551,0.073579,0.002752,0.076817,0.055640,0.059400,0.013599,0.000050,0.000446,0.008923,0.008263,0.007801,0.005090,0.005774,0.017309,0.001349,0.013615,0.014891,0.028452,0.049085,0.050459,0.019010,0.047358
0.700000,0.083821,0.082919,0.002673,0.071621,0.056083,0.062916,0.014186,0.000046,0.000421,0.010493,0.008380,0.007856,0.005256,0.005574,0.015602,0.001302,0.014321,0.012606,0.024561,0.044028,0.045261,0.016193,0.043426
0.720000,0.075360,0.073622,0.002752,0.073906,0.061463,0.052348,0.013991,0.000049,0.000440,0.008932,0.008968,0.007369,0.004552,0.005272,0.017034,0.001232,0.013937,0.014921,0.033066,0.048393,0.049748,0.015999,0.036664
0.740000,0.075621,0.074352,0.002664,0.065631,0.056706,0.058702,0.013444,0.000056,0.000505,0.008200,0.009470,0.008110,0.005459,0.005903,0.015196,0.001379,0.013622,0.013269,0.026764,0.047146,0.048466,0.020223,0.044230
0.760000,0.077596,0.079999,0.002823,0.077423,0.062389,0.063915,0.015372,0.000058,0.000517,0.009346,0.009009,0.008819,0.005756,0.005878,0.017815,0.001373,0.014080,0.015443,0.034284,0.050970,0.052397,0.020235,0.047194
0.780000,0.088361,0.087877,0.003285,0.084545,0.069892,0.072954,0.015812,0.000062,0.000550,0.010786,0.010309,0.009233,0.006470,0.006422,0.019193,0.001500,0.016431,0.016516,0.036846,0.056976,0.058572,0.021555,0.049220
0.800000,0.100711,0.096017,0.003577,0.086411,0.072796,0.077879,0.015953,0.000061,0.000559,0.010643,0.010937,0.009233,0.006465,0.006573,0.020237,0.001536,0.016725,0.017153,0.039211,0.065228,0.067055,0.021847,0.054869
0.820000,0.093427,0.099614,0.003252,0.090164,0.071073,0.080625,0.017205,0.000061,0.000560,0.010647,0.012183,0.010073,0.006520,0.006494,0.018806,0.001517,0.016673,0.018083,0.038360,0.063467,0.065244,0.022663,0.053501
0.840000,0.099402,0.093647,0.003430,0.091661,0.069136,0.079376,0.016459,0.000062,0.000564,0.010948,0.011368,0.009716,0.006635,0.006543,0.020962,0.001529,0.017719,0.018328,0.040021,0.059719,0.061392,0.022716,0.056700
