X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.029736,0.000401,0.000557,0.036891,0.000024,0.002176,0.014866,0.020697,0.022502,0.001137,0.005120,0.005338,0.000373,0.018047,0.023038,0.018047,0.029921,0.001673,0.001272,0.000358,0.000241,0.001091,0.032400
0.020000,0.033760,0.000880,0.001238,0.040623,0.000062,0.004755,0.023188,0.030959,0.032034,0.002352,0.007960,0.008709,0.000708,0.026818,0.030062,0.026818,0.036936,0.003105,0.002572,0.000656,0.000465,0.002258,0.038970
0.040000,0.038849,0.001990,0.002818,0.045644,0.000172,0.009888,0.034950,0.045081,0.044603,0.004896,0.012218,0.014022,0.001444,0.038529,0.039359,0.038529,0.045759,0.005844,0.005130,0.001295,0.000969,0.004687,0.047609
0.060000,0.045097,0.004503,0.006355,0.052083,0.000503,0.019074,0.050431,0.063296,0.060492,0.009973,0.018417,0.022068,0.003069,0.053282,0.051229,0.053282,0.056498,0.010883,0.009903,0.002683,0.002123,0.009494,0.058605
0.080000,0.052576,0.009894,0.013760,0.060053,0.001473,0.033499,0.069311,0.085176,0.079677,0.019370,0.027137,0.033662,0.006584,0.070751,0.065764,0.070751,0.069116,0.019606,0.018188,0.005664,0.004733,0.018305,0.072121
0.100000,0.061327,0.020524,0.027801,0.069625,0.004160,0.053038,0.090647,0.109592,0.101750,0.035087,0.038933,0.049431,0.013815,0.090175,0.082755,0.090175,0.083401,0.033518,0.031339,0.011820,0.010399,0.032910,0.088097
0.120000,0.071345,0.039248,0.051206,0.080790,0.010907,0.075666,0.113113,0.134967,0.125938,0.058346,0.054214,0.069543,0.027521,0.110481,0.101659,0.110481,0.098970,0.053584,0.050158,0.023685,0.021826,0.054378,0.106177
0.140000,0.082583,0.067969,0.084667,0.093443,0.025699,0.098084,0.135387,0.159705,0.151212,0.088363,0.073109,0.093504,0.050715,0.130521,0.121661,0.130521,0.115320,0.079430,0.074193,0.044375,0.042530,0.082002,0.125691
0.160000,0.094955,0.105656,0.125088,0.107374,0.053029,0.117221,0.156495,0.182593,0.176469,0.121963,0.095371,0.120153,0.084840,0.149307,0.141818,0.149307,0.131902,0.108984,0.101478,0.076099,0.075210,0.112993,0.145732
0.180000,0.108349,0.147638,0.166177,0.122288,0.094439,0.131477,0.175969,0.203007,0.200717,0.154696,0.120355,0.147885,0.127728,0.166186,0.161243,0.166186,0.148203,0.139045,0.129048,0.117958,0.119099,0.143436,0.165306
0.200000,0.122643,0.187400,0.201359,0.137849,0.145212,0.140993,0.193808,0.220913,0.223215,0.182692,0.147093,0.175036,0.173506,0.180906,0.179255,0.180906,0.163819,0.166461,0.153978,0.164971,0.168671,0.169884,0.183522
0.220000,0.137723,0.219503,0.226536,0.153733,0.195748,0.147166,0.210331,0.236716,0.243541,0.203930,0.174455,0.200244,0.215177,0.193586,0.195471,0.193586,0.178496,0.189172,0.174297,0.209899,0.215753,0.190471,0.199758
0.240000,0.153499,0.241362,0.240898,0.169691,0.236998,0.151935,0.225998,0.251060,0.261590,0.218388,0.201334,0.222672,0.247703,0.204629,0.209816,0.204629,0.192141,0.206580,0.189350,0.246539,0.253455,0.205080,0.213760
0.260000,0.169917,0.253244,0.246182,0.185594,0.264466,0.157234,0.241256,0.264643,0.277523,0.227469,0.226806,0.242050,0.269337,0.214624,0.222486,0.214624,0.204819,0.219332,0.199647,0.271832,0.278559,0.214864,0.225666
0.280000,0.186973,0.257316,0.245443,0.201455,0.278390,0.164715,0.256440,0.278084,0.291704,0.233253,0.250225,0.258596,0.281151,0.224244,0.233884,0.224244,0.216733,0.228839,0.206455,0.285936,0.291458,0.221595,0.235957
0.300000,0.204714,0.256583,0.242020,0.217424,0.281931,0.175666,0.271733,0.291838,0.304615,0.237907,0.271251,0.272867,0.285859,0.234175,0.244548,0.234175,0.228205,0.236806,0.211376,0.291177,0.294878,0.227131,0.245378
0.320000,0.223247,0.254102,0.238886,0.233765,0.279337,0.190997,0.287161,0.306168,0.316799,0.243333,0.289821,0.285609,0.286734,0.245059,0.255100,0.245059,0.239655,0.244896,0.216027,0.290884,0.292547,0.233103,0.254830
0.340000,0.242736,0.252520,0.238360,0.250801,0.274704,0.211202,0.302640,0.321144,0.328797,0.251027,0.306100,0.297625,0.286871,0.257456,0.266194,0.257456,0.251578,0.254542,0.221849,0.288494,0.288214,0.240768,0.265270
0.360000,0.263387,0.253901,0.242096,0.268860,0.271350,0.236254,0.318036,0.336688,0.341111,0.262057,0.320415,0.309681,0.288801,0.271821,0.278488,0.271821,0.264528,0.266868,0.230028,0.286999,0.285076,0.250988,0.277620
0.380000,0.285432,0.259738,0.251186,0.288206,0.271623,0.265492,0.333240,0.352633,0.354167,0.277094,0.333192,0.322434,0.294359,0.288480,0.292613,0.288480,0.279083,0.282659,0.241475,0.288698,0.285534,0.264253,0.292680
0.400000,0.309089,0.271036,0.266257,0.308972,0.276988,0.297586,0.348233,0.368790,0.368298,0.296437,0.344909,0.336393,0.304707,0.307610,0.309137,0.307610,0.295806,0.302346,0.256819,0.295154,0.291187,0.280717,0.311029
0.420000,0.334509,0.288357,0.287490,0.331103,0.288181,0.330691,0.363127,0.385022,0.383726,0.320032,0.356058,0.351890,0.320390,0.329216,0.328522,0.329216,0.315178,0.325982,0.276388,0.307236,0.302906,0.300239,0.332927
0.440000,0.361714,0.311790,0.314551,0.354316,0.305327,0.362786,0.378184,0.401290,0.400555,0.347471,0.367112,0.369077,0.341366,0.353121,0.351057,0.353121,0.337522,0.353203,0.300167,0.325150,0.320888,0.322425,0.358193
0.460000,0.390527,0.340856,0.346508,0.378096,0.327975,0.392095,0.393790,0.417685,0.418768,0.378028,0.378514,0.387921,0.367025,0.378965,0.376774,0.378965,0.362897,0.383231,0.327748,0.348416,0.344635,0.346692,0.386122
0.480000,0.420516,0.374403,0.381827,0.401737,0.355117,0.417432,0.410408,0.434417,0.438233,0.410729,0.390661,0.408226,0.396228,0.406225,0.405370,0.406225,0.390998,0.414908,0.358324,0.375857,0.372922,0.372351,0.415456
0.500000,0.450977,0.410622,0.418527,0.424433,0.385263,0.438360,0.428508,0.451782,0.458724,0.444462,0.403898,0.429665,0.427441,0.434264,0.436144,0.434264,0.421090,0.446822,0.390744,0.405673,0.403863,0.398700,0.444487
0.520000,0.480966,0.447238,0.454490,0.445400,0.416630,0.455164,0.448475,0.470102,0.479940,0.478112,0.418517,0.451826,0.458961,0.462394,0.468001,0.462394,0.452002,0.477474,0.423666,0.435692,0.435162,0.425108,0.471274
0.540000,0.509399,0.481877,0.487836,0.464025,0.447445,0.468704,0.470526,0.489653,0.501543,0.510681,0.434754,0.474275,0.489198,0.489959,0.499547,0.489959,0.482244,0.505482,0.455760,0.463754,0.464520,0.451079,0.493947
0.560000,0.535186,0.512474,0.517222,0.479988,0.476254,0.480212,0.494633,0.510596,0.523197,0.541369,0.452786,0.496618,0.516928,0.516400,0.529261,0.516400,0.510203,0.529744,0.485919,0.488126,0.490080,0.476277,0.511007
0.580000,0.557404,0.537601,0.541982,0.493372,0.502154,0.491079,0.520476,0.532919,0.544604,0.569615,0.472734,0.518561,0.541440,0.541322,0.555724,0.541322,0.534406,0.549556,0.513421,0.507823,0.510764,0.500525,0.521557
0.600000,0.575435,0.556620,0.562127,0.504726,0.524889,0.502673,0.547448,0.556412,0.565545,0.595097,0.494655,0.539950,0.562567,0.564520,0.577836,0.564520,0.553754,0.564664,0.537999,0.522750,0.526427,0.523782,0.525455
0.620000,0.589086,0.569703,0.578244,0.515085,0.544817,0.516185,0.574717,0.580676,0.585899,0.617708,0.518546,0.560794,0.580627,0.585991,0.594969,0.585991,0.567709,0.575287,0.559834,0.533722,0.537853,0.546120,0.523425
0.640000,0.598670,0.577782,0.591361,0.525951,0.562792,0.532520,0.601344,0.605185,0.605660,0.637537,0.544332,0.581268,0.596314,0.605924,0.607066,0.605924,0.576409,0.582123,0.579497,0.542366,0.546658,0.567702,0.517136
0.660000,0.605073,0.582487,0.602821,0.539216,0.580011,0.552233,0.626436,0.629370,0.624942,0.654843,0.571872,0.601689,0.610577,0.624672,0.614695,0.624672,0.580737,0.586364,0.597848,0.550980,0.555131,0.588764,0.509224
0.680000,0.609790,0.586079,0.614152,0.557017,0.597837,0.575501,0.649295,0.652730,0.643962,0.670046,0.600944,0.622478,0.624503,0.642714,0.619082,0.642714,0.582371,0.589694,0.615931,0.562315,0.566015,0.609611,0.503225
0.700000,0.614933,0.591341,0.626934,0.581500,0.617615,0.602139,0.669540,0.674931,0.663026,0.683722,0.631256,0.644103,0.639202,0.660618,0.622129,0.660618,0.583787,0.594266,0.634851,0.579280,0.582215,0.630609,0.503384
0.720000,0.623147,0.601386,0.642649,0.614437,0.640484,0.631652,0.687173,0.695879,0.682492,0.696590,0.662439,0.667009,0.655700,0.678980,0.626377,0.678980,0.588171,0.602605,0.655642,0.604536,0.606395,0.652172,0.514366
