X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.012529,0.012493,0.012927,0.014343,0.013500,0.013220,0.016237,0.017835,0.018020,0.014254,0.013602,0.015432,0.014928,0.015668,0.015217,0.015668,0.013783,0.014806,0.013430,0.012994,0.012994,0.012578,0.014219
0.040000,0.025409,0.025306,0.026156,0.028882,0.027218,0.026665,0.032608,0.035753,0.036116,0.028794,0.027471,0.031049,0.030062,0.031493,0.030616,0.031493,0.027793,0.029794,0.027080,0.026284,0.026284,0.025444,0.028626
0.060000,0.038645,0.038444,0.039692,0.043617,0.041156,0.040337,0.049115,0.053755,0.054290,0.043623,0.041609,0.046852,0.045402,0.047476,0.046198,0.047476,0.042030,0.044966,0.040951,0.039874,0.039874,0.038602,0.043225
0.080000,0.052243,0.051913,0.053539,0.058552,0.055316,0.054239,0.065757,0.071841,0.072540,0.058742,0.056019,0.062840,0.060948,0.063617,0.061965,0.063617,0.056499,0.060323,0.055047,0.053766,0.053766,0.052056,0.058018
0.100000,0.066209,0.065717,0.067699,0.073689,0.069702,0.068374,0.082537,0.090011,0.090869,0.074153,0.070703,0.079017,0.076700,0.079919,0.077917,0.079919,0.071200,0.075868,0.069370,0.067965,0.067965,0.065810,0.073007
0.120000,0.080546,0.079860,0.082177,0.089029,0.084316,0.082745,0.099456,0.108266,0.109275,0.089858,0.085664,0.095381,0.092658,0.096381,0.094055,0.096381,0.086137,0.091602,0.083923,0.082475,0.082475,0.079867,0.088195
0.140000,0.095261,0.094347,0.096976,0.104574,0.099161,0.097355,0.116514,0.126606,0.127759,0.105858,0.100903,0.111934,0.108822,0.113006,0.110382,0.113006,0.101312,0.107527,0.098709,0.097297,0.097297,0.094233,0.103585
0.160000,0.110358,0.109181,0.112099,0.120326,0.114239,0.112207,0.133713,0.145032,0.146321,0.122153,0.116423,0.128676,0.125192,0.129795,0.126898,0.129795,0.116727,0.123645,0.113731,0.112436,0.112436,0.108909,0.119179
0.180000,0.125840,0.124367,0.127548,0.136289,0.129554,0.127304,0.151054,0.163543,0.164962,0.138746,0.132226,0.145608,0.141768,0.146749,0.143604,0.146749,0.132384,0.139956,0.128992,0.127894,0.127894,0.123900,0.134980
0.200000,0.141712,0.139907,0.143328,0.152463,0.145108,0.142649,0.168538,0.182140,0.183681,0.155636,0.148314,0.162732,0.158551,0.163868,0.160501,0.163868,0.148287,0.156464,0.144494,0.143673,0.143673,0.139209,0.150991
0.220000,0.157977,0.155806,0.159439,0.168851,0.160905,0.158245,0.186166,0.200823,0.202480,0.172822,0.164687,0.180046,0.175540,0.181155,0.177591,0.181155,0.164436,0.173170,0.160240,0.159775,0.159775,0.154838,0.167214
