X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.003409,0.002113,0.002878,0.002364,0.002402,0.001940,0.002792,0.003139,0.003198,0.003070,0.002832,0.002802,0.002944,0.002228,0.002615,0.002228,0.002728,0.003060,0.003078,0.002768,0.002768,0.002612,0.002594
0.020000,0.111111,0.000002,0.066667,0.100000,0.000002,0.000000,0.055556,0.052632,0.052632,0.076923,0.000001,0.000000,0.000001,0.100000,0.153846,0.100000,0.083333,0.076923,0.062500,0.250000,0.250000,0.083333,0.066667
0.040000,0.142857,0.000001,0.000000,0.125000,0.000000,0.076923,0.125000,0.190476,0.181818,0.000001,0.068966,0.117647,0.076923,0.055556,0.071429,0.055556,0.125000,0.000001,0.000001,0.000001,0.000000,0.000000,0.125000
0.060000,0.040000,0.190476,0.153846,0.142857,0.000000,0.076923,0.032258,0.076923,0.073171,0.115385,0.055556,0.120000,0.000000,0.102564,0.068966,0.102564,0.103448,0.166667,0.111111,0.000002,0.000001,0.222222,0.100000
0.080000,0.058824,0.065934,0.115385,0.041667,0.017241,0.043478,0.083333,0.042254,0.042254,0.067797,0.092308,0.174603,0.080000,0.081967,0.076923,0.081967,0.100000,0.092105,0.073529,0.057971,0.057971,0.046875,0.128571
0.100000,0.063670,0.056604,0.062112,0.085106,0.064516,0.090625,0.072650,0.109170,0.109170,0.067568,0.076923,0.085185,0.051181,0.122867,0.079545,0.122867,0.059701,0.091255,0.053279,0.084615,0.084615,0.108209,0.078292
0.120000,0.095082,0.072464,0.077206,0.083916,0.078571,0.086957,0.095420,0.129707,0.129167,0.059649,0.083636,0.102837,0.069536,0.094044,0.073171,0.094044,0.089286,0.101639,0.058824,0.092063,0.092063,0.062963,0.076628
0.140000,0.045455,0.064516,0.102273,0.130000,0.043956,0.077670,0.121495,0.142857,0.149533,0.108108,0.052632,0.074074,0.083333,0.089109,0.095652,0.089109,0.100840,0.116279,0.077778,0.144231,0.144231,0.086957,0.102804
0.160000,0.026316,0.061224,0.080000,0.016393,0.142857,0.058824,0.066667,0.153846,0.157895,0.078431,0.092593,0.094340,0.080645,0.107143,0.180000,0.107143,0.140000,0.096154,0.089286,0.071429,0.071429,0.070175,0.100000
0.180000,0.192308,0.183673,0.131148,0.111111,0.157895,0.095238,0.240000,0.211538,0.200000,0.145455,0.058824,0.106383,0.115385,0.220000,0.103448,0.220000,0.088889,0.072727,0.122449,0.166667,0.166667,0.212766,0.151515
