X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000004,0.000000,0.000000,0.000018,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000000,0.000001
0.020000,0.000009,0.000000,0.000000,0.000027,0.000000,0.000017,0.000001,0.000000,0.000001,0.000000,0.000000,0.000002,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000001,0.000002
0.040000,0.000020,0.000002,0.000000,0.000044,0.000002,0.000057,0.000003,0.000000,0.000001,0.000001,0.000001,0.000008,0.000001,0.000003,0.000002,0.000001,0.000002,0.000001,0.000001,0.000004,0.000006,0.000004,0.000005
0.060000,0.000045,0.000007,0.000002,0.000072,0.000007,0.000157,0.000009,0.000000,0.000001,0.000003,0.000005,0.000025,0.000003,0.000010,0.000005,0.000002,0.000006,0.000005,0.000004,0.000011,0.000016,0.000014,0.000015
0.080000,0.000097,0.000024,0.000005,0.000119,0.000024,0.000341,0.000025,0.000000,0.000002,0.000009,0.000014,0.000056,0.000008,0.000025,0.000013,0.000005,0.000019,0.000016,0.000014,0.000032,0.000042,0.000043,0.000044
0.100000,0.000194,0.000078,0.000014,0.000196,0.000075,0.000603,0.000062,0.000000,0.000003,0.000028,0.000036,0.000099,0.000017,0.000053,0.000034,0.000011,0.000055,0.000042,0.000042,0.000084,0.000104,0.000104,0.000122
0.120000,0.000359,0.000224,0.000031,0.000318,0.000202,0.000896,0.000131,0.000000,0.000005,0.000069,0.000075,0.000142,0.000032,0.000092,0.000078,0.000019,0.000131,0.000098,0.000113,0.000207,0.000239,0.000203,0.000303
0.140000,0.000610,0.000560,0.000058,0.000506,0.000464,0.001167,0.000237,0.000001,0.000008,0.000142,0.000132,0.000178,0.000058,0.000135,0.000166,0.000028,0.000262,0.000194,0.000262,0.000462,0.000500,0.000329,0.000667
0.160000,0.000954,0.001199,0.000092,0.000787,0.000904,0.001392,0.000376,0.000001,0.000011,0.000248,0.000204,0.000203,0.000093,0.000176,0.000315,0.000037,0.000447,0.000333,0.000518,0.000918,0.000943,0.000459,0.001284
0.180000,0.001384,0.002199,0.000128,0.001187,0.001512,0.001584,0.000532,0.000002,0.000015,0.000373,0.000280,0.000225,0.000138,0.000211,0.000534,0.000044,0.000658,0.000499,0.000879,0.001614,0.001600,0.000574,0.002155
0.200000,0.001887,0.003490,0.000159,0.001734,0.002218,0.001780,0.000688,0.000004,0.000021,0.000494,0.000355,0.000249,0.000189,0.000240,0.000814,0.000050,0.000860,0.000670,0.001297,0.002513,0.002449,0.000672,0.003183
0.220000,0.002451,0.004886,0.000182,0.002447,0.002927,0.002028,0.000837,0.000005,0.000028,0.000596,0.000429,0.000282,0.000243,0.000268,0.001125,0.000056,0.001028,0.000827,0.001706,0.003503,0.003413,0.000762,0.004195
0.240000,0.003079,0.006184,0.000198,0.003340,0.003581,0.002381,0.000980,0.000006,0.000036,0.000676,0.000507,0.000333,0.000299,0.000300,0.001432,0.000062,0.001157,0.000961,0.002053,0.004444,0.004385,0.000861,0.005036
0.260000,0.003792,0.007267,0.000210,0.004416,0.004176,0.002898,0.001126,0.000007,0.000045,0.000740,0.000599,0.000409,0.000355,0.000341,0.001709,0.000070,0.001259,0.001081,0.002326,0.005237,0.005276,0.000990,0.005632
0.280000,0.004631,0.008133,0.000221,0.005668,0.004759,0.003650,0.001290,0.000007,0.000055,0.000803,0.000716,0.000516,0.000415,0.000396,0.001947,0.000081,0.001352,0.001198,0.002548,0.005857,0.006041,0.001170,0.006002
0.300000,0.005649,0.008866,0.000237,0.007089,0.005403,0.004711,0.001487,0.000007,0.000066,0.000877,0.000868,0.000661,0.000480,0.000469,0.002154,0.000096,0.001458,0.001332,0.002761,0.006342,0.006689,0.001423,0.006226
0.320000,0.006913,0.009589,0.000259,0.008667,0.006187,0.006149,0.001731,0.000008,0.000078,0.000978,0.001066,0.000846,0.000556,0.000564,0.002345,0.000117,0.001595,0.001499,0.003013,0.006773,0.007267,0.001769,0.006408
0.340000,0.008493,0.010431,0.000291,0.010394,0.007191,0.007997,0.002033,0.000008,0.000089,0.001116,0.001317,0.001067,0.000646,0.000682,0.002545,0.000143,0.001780,0.001718,0.003348,0.007241,0.007844,0.002225,0.006652
0.360000,0.010455,0.011508,0.000336,0.012268,0.008480,0.010224,0.002398,0.000009,0.000101,0.001303,0.001618,0.001313,0.000755,0.000822,0.002775,0.000176,0.002025,0.002005,0.003812,0.007834,0.008492,0.002793,0.007048
