X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000913,0.000846,0.000025,0.000771,0.000632,0.000653,0.000151,0.000000,0.000004,0.000099,0.000092,0.000083,0.000050,0.000052,0.000181,0.000012,0.000146,0.000152,0.000327,0.000531,0.000546,0.000193,0.000474
0.040000,0.001862,0.001728,0.000052,0.001575,0.001291,0.001336,0.000309,0.000001,0.000009,0.000203,0.000189,0.000169,0.000103,0.000107,0.000369,0.000024,0.000298,0.000311,0.000669,0.001086,0.001115,0.000394,0.000971
0.060000,0.002848,0.002647,0.000080,0.002413,0.001979,0.002050,0.000474,0.000002,0.000014,0.000310,0.000289,0.000259,0.000158,0.000164,0.000565,0.000037,0.000457,0.000476,0.001025,0.001666,0.001710,0.000604,0.001489
0.080000,0.003872,0.003606,0.000110,0.003287,0.002697,0.002796,0.000645,0.000002,0.000019,0.000422,0.000395,0.000353,0.000216,0.000224,0.000770,0.000051,0.000623,0.000649,0.001397,0.002270,0.002330,0.000824,0.002031
0.100000,0.004935,0.004605,0.000141,0.004198,0.003445,0.003575,0.000824,0.000003,0.000024,0.000539,0.000505,0.000451,0.000277,0.000287,0.000983,0.000065,0.000797,0.000830,0.001785,0.002900,0.002977,0.001053,0.002597
0.120000,0.006038,0.005645,0.000173,0.005147,0.004224,0.004389,0.001010,0.000003,0.000030,0.000660,0.000619,0.000554,0.000341,0.000353,0.001205,0.000080,0.000979,0.001018,0.002189,0.003556,0.003651,0.001292,0.003188
0.140000,0.007182,0.006728,0.000207,0.006134,0.005036,0.005238,0.001203,0.000004,0.000036,0.000786,0.000739,0.000660,0.000408,0.000421,0.001436,0.000096,0.001169,0.001214,0.002611,0.004241,0.004354,0.001541,0.003805
0.160000,0.008369,0.007855,0.000243,0.007163,0.005881,0.006123,0.001404,0.000005,0.000042,0.000917,0.000864,0.000772,0.000477,0.000493,0.001676,0.000112,0.001366,0.001419,0.003050,0.004954,0.005086,0.001801,0.004449
0.180000,0.009599,0.009028,0.000280,0.008232,0.006760,0.007047,0.001614,0.000005,0.000048,0.001053,0.000994,0.000888,0.000550,0.000568,0.001926,0.000129,0.001573,0.001632,0.003507,0.005696,0.005848,0.002072,0.005120
0.200000,0.010875,0.010247,0.000319,0.009345,0.007676,0.008010,0.001831,0.000006,0.000054,0.001194,0.001129,0.001009,0.000627,0.000646,0.002186,0.000147,0.001788,0.001854,0.003983,0.006468,0.006641,0.002354,0.005819
0.220000,0.012196,0.011515,0.000360,0.010502,0.008628,0.009013,0.002058,0.000007,0.000061,0.001341,0.001270,0.001135,0.000707,0.000727,0.002456,0.000166,0.002012,0.002085,0.004479,0.007272,0.007467,0.002647,0.006548
0.240000,0.013566,0.012834,0.000402,0.011705,0.009618,0.010059,0.002293,0.000008,0.000068,0.001494,0.001417,0.001266,0.000790,0.000812,0.002737,0.000186,0.002246,0.002325,0.004994,0.008108,0.008326,0.002953,0.007308
0.260000,0.014984,0.014203,0.000447,0.012955,0.010647,0.011147,0.002537,0.000009,0.000076,0.001652,0.001570,0.001402,0.000877,0.000901,0.003028,0.000206,0.002489,0.002575,0.005530,0.008978,0.009219,0.003271,0.008098
0.280000,0.016453,0.015626,0.000493,0.014254,0.011717,0.012280,0.002791,0.000009,0.000084,0.001816,0.001729,0.001544,0.000968,0.000994,0.003331,0.000227,0.002743,0.002836,0.006087,0.009882,0.010147,0.003602,0.008922
0.300000,0.017974,0.017104,0.000542,0.015603,0.012828,0.013460,0.003054,0.000010,0.000092,0.001986,0.001895,0.001692,0.001063,0.001090,0.003646,0.000249,0.003006,0.003106,0.006667,0.010821,0.011112,0.003946,0.009778
0.320000,0.019548,0.018638,0.000593,0.017004,0.013982,0.014687,0.003328,0.000011,0.000100,0.002163,0.002067,0.001845,0.001162,0.001190,0.003972,0.000272,0.003281,0.003387,0.007269,0.011797,0.012115,0.004303,0.010670
0.340000,0.021176,0.020230,0.000646,0.018458,0.015181,0.015963,0.003611,0.000012,0.000109,0.002346,0.002246,0.002005,0.001265,0.001295,0.004311,0.000297,0.003567,0.003680,0.007894,0.012811,0.013157,0.004675,0.011597
0.360000,0.022861,0.021882,0.000701,0.019967,0.016425,0.017291,0.003905,0.000013,0.000118,0.002536,0.002432,0.002171,0.001373,0.001404,0.004663,0.000322,0.003864,0.003983,0.008544,0.013864,0.014238,0.005062,0.012561
0.380000,0.024604,0.023597,0.000759,0.021533,0.017717,0.018670,0.004211,0.000014,0.000128,0.002732,0.002626,0.002343,0.001485,0.001517,0.005027,0.000348,0.004173,0.004298,0.009218,0.014957,0.015361,0.005463,0.013564
0.400000,0.026407,0.025375,0.000819,0.023157,0.019057,0.020105,0.004527,0.000015,0.000138,0.002936,0.002827,0.002522,0.001602,0.001635,0.005405,0.000375,0.004494,0.004626,0.009918,0.016092,0.016527,0.005880,0.014606
0.420000,0.028270,0.027219,0.000882,0.024841,0.020447,0.021595,0.004855,0.000017,0.000148,0.003147,0.003036,0.002708,0.001724,0.001758,0.005797,0.000403,0.004827,0.004966,0.010645,0.017269,0.017737,0.006313,0.015688
0.440000,0.030197,0.029131,0.000947,0.026588,0.021889,0.023143,0.005196,0.000018,0.000159,0.003366,0.003252,0.002901,0.001851,0.001885,0.006204,0.000433,0.005174,0.005319,0.011399,0.018491,0.018992,0.006762,0.016813
0.460000,0.032188,0.031112,0.001015,0.028399,0.023384,0.024750,0.005548,0.000019,0.000170,0.003592,0.003477,0.003101,0.001983,0.002018,0.006625,0.000464,0.005534,0.005685,0.012181,0.019758,0.020294,0.007229,0.017981
0.480000,0.034245,0.033166,0.001086,0.030275,0.024934,0.026420,0.005913,0.000020,0.000182,0.003826,0.003711,0.003309,0.002121,0.002156,0.007061,0.000496,0.005909,0.006064,0.012992,0.021072,0.021645,0.007712,0.019193
0.500000,0.036371,0.035294,0.001160,0.032220,0.026540,0.028153,0.006291,0.000022,0.000194,0.004069,0.003953,0.003524,0.002264,0.002299,0.007514,0.000529,0.006297,0.006458,0.013833,0.022434,0.023045,0.008214,0.020452
0.520000,0.038567,0.037498,0.001237,0.034234,0.028205,0.029951,0.006683,0.000023,0.000206,0.004320,0.004205,0.003748,0.002413,0.002448,0.007982,0.000564,0.006700,0.006867,0.014706,0.023846,0.024496,0.008735,0.021759
0.540000,0.040835,0.039781,0.001317,0.036321,0.029930,0.031818,0.007089,0.000025,0.000219,0.004579,0.004466,0.003980,0.002568,0.002603,0.008467,0.000600,0.007119,0.007291,0.015610,0.025310,0.026000,0.009275,0.023115
0.560000,0.043177,0.042145,0.001401,0.038482,0.031717,0.033754,0.007509,0.000026,0.000233,0.004848,0.004736,0.004220,0.002729,0.002763,0.008969,0.000637,0.007553,0.007730,0.016546,0.026826,0.027559,0.009835,0.024521
