X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000002,0.000001,0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001
0.020000,0.003282,0.000000,0.000000,0.001001,0.000000,0.000000,0.000091,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000083,0.000000,0.000043,0.000000,0.000000,0.000000,0.002765,0.002843,0.000000,0.000000
0.040000,0.000000,0.000000,0.000000,0.001529,0.000000,0.001389,0.000000,0.000000,0.000010,0.000000,0.000000,0.000047,0.000169,0.000000,0.000087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060000,0.000143,0.000000,0.000028,0.000000,0.000000,0.000498,0.000013,0.000000,0.000001,0.000026,0.000037,0.000045,0.000000,0.000068,0.000000,0.000009,0.000042,0.000129,0.000000,0.000000,0.000000,0.000364,0.000176
0.080000,0.000074,0.000188,0.000014,0.000093,0.000046,0.000163,0.000068,0.000000,0.000001,0.000038,0.000046,0.000102,0.000014,0.000033,0.000060,0.000006,0.000083,0.000136,0.000187,0.000256,0.000267,0.000049,0.000477
0.100000,0.000272,0.000287,0.000015,0.000617,0.000277,0.000457,0.000077,0.000000,0.000004,0.000043,0.000067,0.000055,0.000018,0.000054,0.000086,0.000014,0.000060,0.000130,0.000107,0.000324,0.000323,0.000183,0.000260
0.120000,0.000696,0.000484,0.000029,0.000726,0.000469,0.000609,0.000135,0.000001,0.000006,0.000066,0.000091,0.000098,0.000047,0.000063,0.000122,0.000015,0.000161,0.000153,0.000169,0.000479,0.000528,0.000134,0.000394
0.140000,0.000516,0.000839,0.000048,0.001281,0.000538,0.000915,0.000170,0.000001,0.000010,0.000183,0.000077,0.000110,0.000091,0.000087,0.000284,0.000018,0.000220,0.000227,0.000418,0.000917,0.000943,0.000180,0.001115
0.160000,0.000317,0.000577,0.000062,0.000298,0.001463,0.000591,0.000193,0.000001,0.000011,0.000128,0.000164,0.000125,0.000070,0.000134,0.000414,0.000021,0.000529,0.000225,0.000440,0.000750,0.000778,0.000249,0.000550
0.180000,0.001948,0.003122,0.000064,0.000874,0.001354,0.000937,0.000387,0.000002,0.000014,0.000325,0.000072,0.000142,0.000065,0.000221,0.000362,0.000057,0.000316,0.000175,0.000604,0.001613,0.001658,0.000724,0.001531
0.200000,0.001177,0.001984,0.000091,0.003199,0.000881,0.001667,0.000418,0.000001,0.000015,0.000300,0.000205,0.000204,0.000187,0.000137,0.000541,0.000022,0.000381,0.000181,0.000417,0.001751,0.001813,0.000260,0.001455
0.220000,0.003231,0.003226,0.000110,0.001706,0.001408,0.001340,0.000642,0.000003,0.000033,0.000277,0.000301,0.000267,0.000212,0.000160,0.000529,0.000037,0.000629,0.000428,0.000854,0.001266,0.001238,0.000397,0.002166
0.240000,0.003848,0.002803,0.000145,0.003346,0.001399,0.003171,0.001020,0.000003,0.000037,0.000423,0.000361,0.000311,0.000236,0.000350,0.000793,0.000074,0.000755,0.000525,0.000962,0.003409,0.003534,0.000974,0.003776
