X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000031,0.000001,0.000006,0.000160,0.000001,0.000038,0.000009,0.000002,0.000536,0.000003,0.000005,0.000027,0.000022,0.000019,0.000011,0.000018,0.000004,0.000005,0.000002,0.000007,0.000009,0.000005,0.000007
0.020000,0.000072,0.000004,0.000025,0.000250,0.000005,0.000167,0.000035,0.000006,0.000857,0.000013,0.000023,0.000157,0.000059,0.000091,0.000028,0.000083,0.000017,0.000018,0.000006,0.000019,0.000026,0.000027,0.000022
0.040000,0.000168,0.000015,0.000102,0.000401,0.000020,0.000578,0.000127,0.000022,0.001358,0.000053,0.000094,0.000660,0.000155,0.000363,0.000074,0.000322,0.000071,0.000066,0.000023,0.000052,0.000072,0.000129,0.000067
0.060000,0.000381,0.000056,0.000371,0.000656,0.000076,0.001580,0.000412,0.000085,0.002131,0.000205,0.000338,0.002017,0.000389,0.001172,0.000198,0.001025,0.000265,0.000225,0.000084,0.000146,0.000198,0.000490,0.000207
0.080000,0.000819,0.000198,0.001171,0.001081,0.000265,0.003436,0.001178,0.000316,0.003297,0.000696,0.001021,0.004577,0.000915,0.003040,0.000525,0.002653,0.000871,0.000695,0.000285,0.000407,0.000524,0.001493,0.000614
0.100000,0.001642,0.000645,0.003138,0.001776,0.000825,0.006071,0.002902,0.001067,0.005021,0.002038,0.002568,0.008048,0.001976,0.006378,0.001319,0.005591,0.002460,0.001874,0.000877,0.001084,0.001306,0.003618,0.001692
0.120000,0.003038,0.001861,0.007050,0.002885,0.002219,0.009020,0.006120,0.003162,0.007501,0.005032,0.005386,0.011573,0.003881,0.011049,0.003070,0.009757,0.005865,0.004349,0.002363,0.002674,0.003003,0.007077,0.004205
0.140000,0.005161,0.004652,0.013287,0.004599,0.005088,0.011750,0.011108,0.008009,0.010973,0.010416,0.009555,0.014434,0.006907,0.016303,0.006492,0.014502,0.011765,0.008646,0.005475,0.005969,0.006280,0.011477,0.009247
0.160000,0.008072,0.009962,0.021270,0.007148,0.009915,0.014015,0.017604,0.017098,0.015690,0.018200,0.014688,0.016529,0.011162,0.021260,0.012322,0.019007,0.020030,0.014818,0.010829,0.011862,0.011846,0.016019,0.017787
0.180000,0.011714,0.018267,0.029571,0.010784,0.016593,0.015946,0.024890,0.030745,0.021896,0.027338,0.020176,0.018254,0.016509,0.025458,0.020913,0.022794,0.029499,0.022229,0.018366,0.020844,0.020097,0.020053,0.029868
0.200000,0.015967,0.028987,0.036728,0.015745,0.024334,0.017918,0.032211,0.047152,0.029792,0.036245,0.025595,0.020194,0.022612,0.029003,0.031858,0.025912,0.038575,0.029847,0.027113,0.032454,0.030768,0.023454,0.044101
0.220000,0.020740,0.040580,0.042025,0.022225,0.032118,0.020413,0.039166,0.063122,0.039503,0.043744,0.030941,0.022942,0.029099,0.032378,0.044029,0.028788,0.046121,0.036810,0.035648,0.045236,0.042876,0.026581,0.058128
0.240000,0.026057,0.051363,0.045642,0.030335,0.039288,0.023963,0.045840,0.075942,0.051039,0.049580,0.036609,0.027078,0.035732,0.036213,0.056051,0.032009,0.051905,0.042815,0.042900,0.057396,0.055092,0.030047,0.069785
0.260000,0.032097,0.060357,0.048331,0.040103,0.045819,0.029174,0.052691,0.084662,0.064285,0.054310,0.043252,0.033198,0.042498,0.041140,0.066898,0.036188,0.056448,0.048125,0.048610,0.067642,0.066282,0.034555,0.078045
0.280000,0.039192,0.067547,0.051011,0.051481,0.052218,0.036741,0.060373,0.090026,0.079003,0.058898,0.051657,0.041901,0.049611,0.047753,0.076215,0.041928,0.060632,0.053369,0.053253,0.075638,0.075898,0.040842,0.083167
0.300000,0.047810,0.073636,0.054545,0.064381,0.059281,0.047425,0.069591,0.093649,0.094857,0.064390,0.062641,0.053673,0.057451,0.056578,0.084280,0.049815,0.065384,0.059320,0.057705,0.081908,0.084040,0.049669,0.086271
0.320000,0.058507,0.079645,0.059683,0.078713,0.067891,0.061900,0.081000,0.097272,0.111459,0.071768,0.076939,0.068690,0.066498,0.068027,0.091784,0.060385,0.071538,0.066779,0.062956,0.087477,0.091303,0.061764,0.088803
0.340000,0.071879,0.086635,0.067092,0.094405,0.078902,0.080500,0.095112,0.102370,0.128416,0.081925,0.095006,0.086632,0.077267,0.082298,0.099590,0.074030,0.079807,0.076520,0.069971,0.093521,0.098540,0.077670,0.092178
0.360000,0.088481,0.095582,0.077376,0.111417,0.093045,0.102919,0.112199,0.110081,0.145383,0.095641,0.116751,0.106659,0.090246,0.099276,0.108585,0.090853,0.090793,0.089280,0.079672,0.101182,0.106692,0.097494,0.097666
0.380000,0.108727,0.107346,0.091056,0.129722,0.110809,0.128081,0.132180,0.121237,0.162092,0.113501,0.141331,0.127653,0.105825,0.118491,0.119606,0.110533,0.104977,0.105704,0.092939,0.111494,0.116680,0.120674,0.106435
0.400000,0.132784,0.122669,0.108481,0.149283,0.132281,0.154323,0.154572,0.136381,0.178379,0.135739,0.167163,0.148620,0.124229,0.139203,0.133424,0.132307,0.122682,0.126263,0.110553,0.125375,0.129360,0.145951,0.119631
0.420000,0.160504,0.142131,0.129705,0.170009,0.157006,0.179888,0.178545,0.155709,0.194191,0.162061,0.192280,0.169051,0.145442,0.160606,0.150722,0.155116,0.144021,0.151129,0.133060,0.143584,0.145486,0.171662,0.138393
0.440000,0.191431,0.166067,0.154393,0.191735,0.183988,0.203463,0.203119,0.178971,0.209579,0.191580,0.214925,0.189046,0.169182,0.182067,0.172067,0.177898,0.168868,0.180073,0.160559,0.166613,0.165649,0.196272,0.163730
0.460000,0.224895,0.194454,0.181815,0.214196,0.211890,0.224516,0.227436,0.205418,0.224688,0.222949,0.234086,0.209208,0.194928,0.203319,0.197835,0.199898,0.196869,0.212424,0.192517,0.194520,0.190168,0.218869,0.196191
0.480000,0.260155,0.226826,0.210979,0.237049,0.239400,0.243327,0.251016,0.233884,0.239741,0.254694,0.249763,0.230385,0.222028,0.224512,0.228102,0.220879,0.227506,0.247144,0.227730,0.226765,0.218966,0.239416,0.235383
0.500000,0.296515,0.262254,0.240859,0.259904,0.265611,0.260793,0.273897,0.263039,0.255026,0.285621,0.262914,0.253393,0.249848,0.246150,0.262529,0.241162,0.260161,0.282987,0.264520,0.262147,0.251462,0.258684,0.279531
0.520000,0.333363,0.299432,0.270625,0.282395,0.290253,0.278145,0.296626,0.291720,0.270874,0.315105,0.275167,0.278785,0.277908,0.268951,0.300268,0.261520,0.294163,0.318676,0.301108,0.298955,0.286566,0.277988,0.325431
0.540000,0.370134,0.336841,0.299793,0.304263,0.313711,0.296687,0.320125,0.319221,0.287650,0.343165,0.288476,0.306716,0.305979,0.293670,0.339957,0.283001,0.328777,0.353052,0.336027,0.335300,0.322813,0.298846,0.369000
0.560000,0.406211,0.372958,0.328243,0.325432,0.336863,0.317592,0.345478,0.345411,0.305739,0.370344,0.304796,0.336907,0.334079,0.320941,0.379830,0.306727,0.363164,0.385141,0.368385,0.369526,0.358632,0.322664,0.406250
0.580000,0.440848,0.406446,0.356138,0.346085,0.360832,0.341771,0.373679,0.370687,0.325530,0.397462,0.325831,0.368738,0.362415,0.351134,0.417949,0.333688,0.396355,0.414180,0.397926,0.400538,0.392656,0.350464,0.434206
0.600000,0.473168,0.436304,0.383790,0.366707,0.386709,0.369769,0.405376,0.395780,0.347402,0.425336,0.352809,0.401437,0.391261,0.384253,0.452497,0.364555,0.427290,0.439621,0.424928,0.427958,0.423973,0.382667,0.451414
0.620000,0.502251,0.461965,0.411522,0.388097,0.415325,0.401706,0.440631,0.421516,0.371707,0.454539,0.386253,0.434299,0.420831,0.419880,0.482068,0.399495,0.454941,0.461160,0.450027,0.452097,0.452260,0.418943,0.458031
0.640000,0.527305,0.483365,0.439580,0.411355,0.447077,0.437240,0.478769,0.448573,0.398740,0.485234,0.425775,0.466862,0.451172,0.457193,0.505873,0.438043,0.478506,0.478795,0.474034,0.473817,0.477776,0.458204,0.455725
0.660000,0.547880,0.500991,0.468082,0.437830,0.481847,0.475595,0.518374,0.477302,0.428713,0.517121,0.469964,0.498967,0.482106,0.495067,0.523862,0.479066,0.497633,0.492924,0.497796,0.494349,0.501272,0.498775,0.447542
0.680000,0.564066,0.515936,0.497045,0.469013,0.519030,0.515650,0.557510,0.507637,0.461713,0.549503,0.516539,0.530697,0.513232,0.532241,0.536782,0.520892,0.512632,0.504454,0.522116,0.515102,0.523848,0.538756,0.437706
0.700000,0.576657,0.529925,0.526435,0.506355,0.557683,0.556105,0.594114,0.539109,0.497664,0.581469,0.562804,0.562235,0.544012,0.567523,0.546201,0.561611,0.524635,0.514897,0.547707,0.537487,0.546784,0.576460,0.431320
0.720000,0.587270,0.545310,0.556250,0.550962,0.596760,0.595691,0.626451,0.570983,0.536287,0.612133,0.606278,0.593694,0.573900,0.599984,0.554503,0.599468,0.535688,0.526427,0.575179,0.562750,0.571377,0.610780,0.434042
0.740000,0.598372,0.564981,0.586589,0.603146,0.635348,0.633361,0.653468,0.602461,0.577079,0.640871,0.645247,0.625004,0.602492,0.629092,0.564819,0.633214,0.548748,0.541845,0.605030,0.591810,0.598749,0.641368,0.451845
0.760000,0.613188,0.592098,0.617672,0.661889,0.672849,0.668445,0.674961,0.632918,0.619312,0.667474,0.679015,0.655897,0.629656,0.654789,0.580842,0.662329,0.567511,0.564413,0.637602,0.625095,0.629669,0.668627,0.490719
0.780000,0.635371,0.629548,0.649816,0.724458,0.709020,0.700704,0.691604,0.662070,0.662070,0.692202,0.707869,0.686000,0.655610,0.677515,0.606419,0.687080,0.596002,0.597425,0.673007,0.662405,0.664367,0.693566,0.555419
0.800000,0.668312,0.678930,0.683325,0.786577,0.743892,0.730319,0.704899,0.690059,0.704317,0.715729,0.732844,0.714993,0.680924,0.698181,0.644775,0.708465,0.637704,0.643353,0.711008,0.702831,0.702393,0.717579,0.645775
0.820000,0.713913,0.739092,0.718343,0.843412,0.777592,0.757811,0.717105,0.717401,0.745004,0.738998,0.755435,0.742795,0.706448,0.718118,0.697159,0.728101,0.693999,0.702380,0.750894,0.744810,0.742577,0.742171,0.751096
0.840000,0.770843,0.804877,0.754664,0.891070,0.810145,0.783916,0.731070,0.744840,0.783174,0.763011,0.777292,0.769664,0.733152,0.738957,0.761017,0.748032,0.762002,0.770656,0.791417,0.786347,0.783167,0.768634,0.849947
0.860000,0.833206,0.867745,0.791605,0.927751,0.841314,0.809411,0.749864,0.773104,0.818064,0.788554,0.799902,0.796190,0.761884,0.762406,0.828915,0.770431,0.833323,0.839809,0.830877,0.825389,0.822141,0.797690,0.922782
0.880000,0.891600,0.919279,0.827988,0.953876,0.870556,0.834923,0.776069,0.802609,0.849168,0.815918,0.824253,0.823122,0.793060,0.789855,0.890454,0.797101,0.896495,0.899726,0.867403,0.860245,0.857640,0.829159,0.965328
0.900000,0.937521,0.955370,0.862307,0.971311,0.897127,0.860705,0.810676,0.833191,0.876254,0.844683,0.850516,0.851041,0.826351,0.821818,0.937390,0.828770,0.943080,0.943681,0.899368,0.889874,0.888345,0.861819,0.985880
0.920000,0.967817,0.977248,0.893073,0.982377,0.920293,0.886469,0.851921,0.863965,0.899343,0.873690,0.877900,0.879925,0.860512,0.857339,0.967664,0.864372,0.971869,0.971204,0.925766,0.913964,0.913666,0.893611,0.994551
0.940000,0.984877,0.989023,0.919182,0.989157,0.939570,0.911355,0.894944,0.893451,0.918658,0.901292,0.904799,0.908792,0.893521,0.893762,0.984547,0.900836,0.987166,0.986265,0.946385,0.932812,0.933697,0.922240,0.997918
0.960000,0.993324,0.994833,0.940168,0.993224,0.954866,0.934125,0.933358,0.919975,0.934554,0.925834,0.929304,0.935725,0.923111,0.927337,0.992954,0.933938,0.994409,0.993702,0.961704,0.947085,0.949005,0.945942,0.999178
0.980000,0.997136,0.997547,0.956213,0.995642,0.966471,0.953566,0.962366,0.942216,0.947459,0.946163,0.949869,0.958511,0.947505,0.954674,0.996831,0.960140,0.997588,0.997131,0.972615,0.957591,0.960385,0.964007,0.999651
1.000000,0.998761,0.998787,0.967959,0.997078,0.974931,0.968925,0.980930,0.959594,0.957821,0.961898,0.965787,0.975638,0.965968,0.974193,0.998544,0.978144,0.998929,0.998658,0.980128,0.965110,0.968658,0.976777,0.999835
