X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.007729,0.007022,0.005872,0.006999,0.006933,0.006572,0.007082,0.006450,0.006322,0.007280,0.006656,0.006703,0.006010,0.006307,0.007066,0.006123,0.006527,0.006766,0.006834,0.006864,0.006854,0.006725,0.006573
0.040000,0.015760,0.014348,0.012042,0.014301,0.014169,0.013447,0.014468,0.013201,0.012944,0.014863,0.013615,0.013709,0.012319,0.012914,0.014435,0.012545,0.013355,0.013835,0.013971,0.014031,0.014010,0.013753,0.013449
0.060000,0.024104,0.021987,0.018520,0.021916,0.021719,0.020634,0.022166,0.020264,0.019878,0.022760,0.020886,0.021028,0.018937,0.019833,0.022117,0.019277,0.020496,0.021217,0.021421,0.021510,0.021480,0.021093,0.020636
0.080000,0.032768,0.029949,0.025318,0.029854,0.029591,0.028144,0.030188,0.027650,0.027135,0.030979,0.028481,0.028669,0.025877,0.027074,0.030122,0.026331,0.027960,0.028922,0.029194,0.029313,0.029273,0.028756,0.028147
0.100000,0.041763,0.038244,0.032450,0.038126,0.037797,0.035988,0.038543,0.035370,0.034725,0.039530,0.036409,0.036645,0.033149,0.034649,0.038461,0.033719,0.035758,0.036960,0.037301,0.037450,0.037399,0.036754,0.035992
0.120000,0.051097,0.046884,0.039926,0.046742,0.046348,0.044177,0.047242,0.043436,0.042662,0.048425,0.044683,0.044966,0.040767,0.042570,0.047143,0.041452,0.043901,0.045344,0.045753,0.045932,0.045871,0.045097,0.044182
0.140000,0.060782,0.055879,0.047760,0.055714,0.055254,0.052724,0.056295,0.051859,0.050956,0.057673,0.053314,0.053644,0.048743,0.050849,0.056181,0.049543,0.052402,0.054085,0.054561,0.054770,0.054699,0.053796,0.052730
0.160000,0.070826,0.065240,0.055965,0.065052,0.064528,0.061640,0.065715,0.060653,0.059620,0.067285,0.062314,0.062690,0.057090,0.059498,0.065585,0.058005,0.061273,0.063194,0.063737,0.063975,0.063894,0.062864,0.061647
0.180000,0.081240,0.074980,0.064555,0.074769,0.074181,0.070938,0.075513,0.069828,0.068668,0.077273,0.071695,0.072117,0.065822,0.068530,0.075366,0.066851,0.070525,0.072683,0.073293,0.073560,0.073469,0.072313,0.070946
