X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000015,0.000006,0.000017,0.000007,0.000008,0.000007,0.000011,0.000014,0.000013,0.000017,0.000014,0.000016,0.000013,0.000014,0.000010,0.000013,0.000011,0.000013,0.000013,0.000011,0.000011,0.000011,0.000009
0.020000,0.027778,0.000002,0.000000,0.009091,0.000001,0.000001,0.004274,0.000001,0.005263,0.000002,0.000000,0.000000,0.000001,0.010000,0.000001,0.022222,0.000000,0.000002,0.000001,0.035714,0.035714,0.000001,0.000000
0.040000,0.000001,0.000000,0.000001,0.013889,0.000001,0.013986,0.000000,0.000001,0.013986,0.000000,0.000001,0.003795,0.020243,0.000001,0.003401,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000000
0.060000,0.001212,0.000000,0.006547,0.000001,0.000002,0.005017,0.000609,0.000000,0.001407,0.001892,0.002688,0.003692,0.000002,0.008205,0.000000,0.004662,0.001881,0.005747,0.000001,0.000000,0.000001,0.012698,0.002439
0.080000,0.000626,0.001561,0.003133,0.000846,0.000504,0.001645,0.003178,0.000825,0.001259,0.002767,0.003336,0.008249,0.001660,0.003966,0.002362,0.003352,0.003719,0.006065,0.003907,0.003304,0.003356,0.001715,0.006612
0.100000,0.002299,0.002381,0.003494,0.005603,0.003044,0.004600,0.003589,0.006102,0.005622,0.003170,0.004826,0.004443,0.002105,0.006493,0.003373,0.007410,0.002690,0.005790,0.002235,0.004184,0.004055,0.006392,0.003607
0.120000,0.005892,0.004016,0.006772,0.006596,0.005147,0.006126,0.006309,0.007892,0.009040,0.004823,0.006600,0.007976,0.005635,0.007563,0.004763,0.007851,0.007215,0.006823,0.003529,0.006186,0.006629,0.004664,0.005463
0.140000,0.004371,0.006965,0.011029,0.011632,0.005905,0.009215,0.007967,0.015038,0.014129,0.013459,0.005573,0.008969,0.010853,0.010459,0.011102,0.009425,0.009860,0.010111,0.008726,0.011845,0.011845,0.006271,0.015447
0.160000,0.002685,0.004791,0.014414,0.002706,0.016051,0.005948,0.009040,0.015625,0.015404,0.009365,0.011820,0.010136,0.008321,0.016234,0.016200,0.010913,0.023729,0.010033,0.009205,0.009685,0.009768,0.008694,0.007619
0.180000,0.016484,0.025930,0.014698,0.007937,0.014861,0.009430,0.018113,0.025978,0.020202,0.023881,0.005229,0.011525,0.007750,0.026667,0.014156,0.029580,0.014159,0.007814,0.012624,0.020833,0.020833,0.025279,0.021212
0.200000,0.009962,0.016474,0.020881,0.029057,0.009666,0.016783,0.019553,0.018975,0.021734,0.022028,0.014774,0.016534,0.022397,0.016576,0.021182,0.011329,0.017091,0.008065,0.008712,0.022610,0.022780,0.009091,0.020168
0.220000,0.027344,0.026797,0.025400,0.015496,0.015453,0.013491,0.030046,0.035065,0.046952,0.020295,0.021730,0.021670,0.025316,0.019356,0.020690,0.019220,0.028207,0.019055,0.017837,0.016347,0.015551,0.013840,0.030021
0.240000,0.032566,0.023284,0.033491,0.030387,0.015354,0.031925,0.047730,0.043137,0.053363,0.031016,0.026078,0.025273,0.028181,0.042290,0.031035,0.037975,0.033859,0.023373,0.020098,0.044027,0.044397,0.034000,0.052322
0.260000,0.008921,0.022267,0.038462,0.026549,0.039538,0.040292,0.044628,0.070004,0.064888,0.060716,0.027972,0.048114,0.040681,0.035915,0.053591,0.034225,0.046506,0.055735,0.056947,0.049035,0.051948,0.028037,0.058447
0.280000,0.023333,0.051282,0.074212,0.056040,0.032225,0.043487,0.065934,0.059404,0.073195,0.065404,0.086316,0.043398,0.033181,0.060023,0.079787,0.053747,0.048232,0.069945,0.051639,0.054102,0.055375,0.041425,0.064068
0.300000,0.046683,0.091954,0.070755,0.066327,0.045021,0.057574,0.051282,0.097622,0.089245,0.024667,0.071167,0.065297,0.043011,0.059322,0.079487,0.060214,0.071339,0.049755,0.070000,0.071295,0.069686,0.056047,0.079167
0.320000,0.101504,0.069498,0.059682,0.036379,0.078107,0.038807,0.089454,0.061515,0.065442,0.104078,0.097479,0.048061,0.052153,0.074995,0.063293,0.067100,0.094168,0.052853,0.056266,0.095238,0.092308,0.089273,0.086973
0.340000,0.025714,0.102657,0.067564,0.101587,0.075111,0.066593,0.129226,0.126297,0.105634,0.069172,0.087234,0.077694,0.089236,0.077449,0.094935,0.049166,0.065876,0.064103,0.097141,0.076805,0.076805,0.069236,0.072674
0.360000,0.077891,0.086709,0.092269,0.075146,0.126129,0.132735,0.098229,0.123591,0.114485,0.111511,0.109164,0.107236,0.091853,0.100895,0.101170,0.091377,0.092852,0.096739,0.065672,0.088162,0.087815,0.115764,0.101868
0.380000,0.136889,0.115971,0.079774,0.144462,0.179775,0.072989,0.111797,0.161616,0.161765,0.132680,0.133739,0.131975,0.097958,0.097275,0.130809,0.104274,0.130876,0.154656,0.099676,0.094847,0.094488,0.106786,0.148459
0.400000,0.177288,0.114221,0.077766,0.104577,0.157104,0.127907,0.169908,0.170588,0.177605,0.168068,0.140570,0.124501,0.122715,0.110723,0.158901,0.109417,0.133895,0.164789,0.080034,0.119558,0.123457,0.134375,0.151495
0.420000,0.221642,0.166301,0.150943,0.136905,0.118490,0.155820,0.177689,0.140306,0.152715,0.190935,0.225812,0.124269,0.147200,0.175089,0.157389,0.142713,0.163043,0.155172,0.131579,0.222626,0.222534,0.145005,0.124748
0.440000,0.190327,0.162602,0.134402,0.177647,0.160494,0.236500,0.172543,0.148148,0.183913,0.189189,0.213992,0.169524,0.229430,0.186839,0.179012,0.158103,0.169475,0.164502,0.144621,0.242165,0.245688,0.150735,0.197368
0.460000,0.169732,0.261534,0.149372,0.169428,0.172168,0.234973,0.201982,0.199907,0.178189,0.193519,0.195402,0.190158,0.183693,0.139954,0.164172,0.154052,0.115651,0.202518,0.165447,0.152174,0.147761,0.195278,0.194763
0.480000,0.225398,0.186625,0.196065,0.214746,0.229758,0.188307,0.201550,0.233343,0.204935,0.170637,0.217742,0.215221,0.172764,0.174625,0.277873,0.215579,0.262588,0.199907,0.231762,0.159345,0.157222,0.195609,0.169683
0.500000,0.285714,0.260808,0.215108,0.243837,0.261324,0.279044,0.240086,0.276867,0.276117,0.286483,0.198988,0.199744,0.204876,0.220003,0.270963,0.234043,0.255039,0.267400,0.264706,0.219832,0.217879,0.277724,0.329268
0.520000,0.287013,0.323432,0.238167,0.298952,0.286068,0.276238,0.253302,0.227297,0.214044,0.281529,0.250530,0.274158,0.243324,0.258697,0.276501,0.244198,0.291979,0.267986,0.375213,0.300435,0.305999,0.227605,0.273292
0.540000,0.441425,0.343284,0.327793,0.302154,0.317460,0.242424,0.356540,0.284034,0.260829,0.325670,0.348426,0.364329,0.321782,0.364870,0.313333,0.315332,0.300841,0.354057,0.310209,0.367702,0.370000,0.300000,0.320597
0.560000,0.309091,0.306173,0.365228,0.320554,0.266082,0.294569,0.320988,0.341176,0.281806,0.311688,0.255282,0.346683,0.282360,0.319328,0.322692,0.325714,0.245040,0.308897,0.290361,0.349436,0.349436,0.309278,0.279873
0.580000,0.410317,0.297611,0.313756,0.380952,0.315315,0.305195,0.370208,0.383021,0.371834,0.375000,0.310741,0.374752,0.364655,0.375589,0.335390,0.321279,0.363016,0.410981,0.319939,0.397727,0.384013,0.355114,0.367677
0.600000,0.412414,0.278836,0.290378,0.355212,0.334559,0.389773,0.425176,0.372700,0.369641,0.352526,0.340726,0.346907,0.348598,0.339860,0.380227,0.321678,0.401471,0.363636,0.340460,0.356535,0.349544,0.392234,0.348528
0.620000,0.415205,0.431178,0.363201,0.358761,0.340476,0.387612,0.498488,0.426933,0.372915,0.441978,0.393258,0.441557,0.434534,0.381728,0.436025,0.371924,0.400286,0.392671,0.476013,0.386799,0.380848,0.430082,0.436754
0.640000,0.491622,0.442835,0.444543,0.474314,0.490963,0.470993,0.455882,0.442678,0.463016,0.554876,0.423920,0.423113,0.486341,0.443878,0.439540,0.428317,0.524007,0.491914,0.502698,0.530815,0.530815,0.439768,0.492857
0.660000,0.512347,0.496771,0.538235,0.467484,0.508499,0.533333,0.446292,0.386478,0.388455,0.557630,0.543707,0.543860,0.486452,0.484236,0.556499,0.425540,0.503401,0.478497,0.514177,0.455882,0.455058,0.506757,0.475962
0.680000,0.606889,0.527397,0.507692,0.622540,0.546260,0.528410,0.585455,0.530971,0.494205,0.538594,0.470648,0.570297,0.482759,0.514585,0.570968,0.532516,0.482954,0.556725,0.532006,0.573141,0.573141,0.586394,0.555990
0.700000,0.652650,0.654810,0.500940,0.542071,0.537063,0.589147,0.556730,0.517895,0.541004,0.611781,0.543421,0.507401,0.508844,0.576623,0.530973,0.576623,0.513761,0.469118,0.453392,0.510801,0.519608,0.509804,0.522291
0.720000,0.542126,0.545951,0.556106,0.605210,0.600846,0.445877,0.616724,0.488324,0.518240,0.587605,0.562660,0.469585,0.453586,0.541854,0.560847,0.565657,0.532787,0.582730,0.604635,0.522727,0.522727,0.464247,0.459212
0.740000,0.592941,0.540339,0.515156,0.536471,0.585621,0.516005,0.535907,0.550594,0.580584,0.506721,0.581089,0.575773,0.579569,0.597002,0.529440,0.608982,0.562475,0.480606,0.486077,0.491039,0.491039,0.624041,0.502240
0.760000,0.589705,0.608478,0.546833,0.610513,0.632812,0.593891,0.633958,0.611811,0.620430,0.613073,0.563907,0.638983,0.607990,0.617344,0.652230,0.597797,0.562987,0.624324,0.681006,0.585132,0.584448,0.652713,0.560554
0.780000,0.702699,0.702573,0.646631,0.731637,0.741565,0.684161,0.688528,0.683332,0.651624,0.701033,0.687255,0.689573,0.695887,0.687831,0.655260,0.666882,0.673555,0.649800,0.711221,0.667925,0.669457,0.693685,0.635653
0.800000,0.763898,0.749137,0.758557,0.734716,0.770253,0.755269,0.684272,0.720054,0.701942,0.740524,0.740178,0.683824,0.716735,0.715824,0.774593,0.708936,0.707944,0.718509,0.775934,0.772222,0.772222,0.716965,0.730803
0.820000,0.773874,0.781375,0.711735,0.778951,0.779874,0.766506,0.742188,0.760320,0.768729,0.750812,0.816244,0.775568,0.706893,0.701280,0.674667,0.718468,0.703027,0.723612,0.753793,0.780011,0.780011,0.779412,0.719890
0.840000,0.753638,0.759690,0.716808,0.784917,0.741379,0.748018,0.731024,0.763212,0.754989,0.774157,0.820225,0.759960,0.674457,0.670766,0.784691,0.750284,0.794595,0.816216,0.751020,0.754137,0.754510,0.761183,0.680952
0.860000,0.786751,0.800562,0.723772,0.779412,0.768240,0.843750,0.802508,0.753869,0.749502,0.747744,0.720625,0.787131,0.778896,0.715782,0.750252,0.732135,0.755968,0.743887,0.697813,0.786458,0.785247,0.755740,0.798006
0.880000,0.769428,0.796076,0.770456,0.758343,0.787884,0.790565,0.798619,0.793388,0.778853,0.795768,0.793736,0.781561,0.773796,0.774182,0.762506,0.778733,0.768967,0.792719,0.816712,0.771261,0.775087,0.790099,0.800947
0.900000,0.873270,0.847381,0.860254,0.867776,0.880938,0.894877,0.851048,0.811285,0.829521,0.869694,0.854860,0.876599,0.865514,0.889470,0.855798,0.886177,0.859566,0.874186,0.853377,0.874921,0.875019,0.881253,0.884365
0.920000,0.930233,0.918275,0.922874,0.912479,0.939777,0.947330,0.877193,0.938934,0.937634,0.914798,0.924828,0.892821,0.904986,0.926850,0.918183,0.893190,0.875407,0.876573,0.949370,0.893167,0.892375,0.886328,0.910279
0.940000,0.854286,0.983333,0.930189,0.981132,0.984127,0.874896,0.729730,0.766023,0.783196,0.888889,0.878647,0.928385,0.852273,0.840713,0.880488,0.856496,0.980000,0.911765,0.948276,0.983333,0.983333,0.900000,0.877976
0.960000,0.909091,0.897619,0.894737,1.000000,0.852174,0.765625,0.821739,0.742857,0.835714,0.757576,0.901515,0.880000,0.695906,0.836364,0.916667,0.858667,0.823529,0.920000,0.956522,0.800000,0.818182,0.961538,1.000000
0.980000,0.999998,0.999999,0.828947,0.928571,0.882353,0.846154,0.900000,0.734694,0.857143,0.772059,0.654762,0.750000,0.830769,0.761905,0.999998,0.857143,0.999999,0.999999,0.923077,0.842105,0.842105,0.750000,1.000000
1.000000,0.990582,0.985306,0.984660,0.986752,0.986896,0.986976,0.991141,0.990778,0.991205,0.988236,0.988310,0.989285,0.988115,0.989000,0.987866,0.988475,0.988333,0.987909,0.987182,0.987445,0.987551,0.989049,0.987441
