X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.003362,0.000009,0.000006,0.003878,0.000003,0.000227,0.000318,0.000002,0.000016,0.000017,0.000078,0.000066,0.000004,0.000150,0.000625,0.000035,0.000673,0.000043,0.000062,0.000029,0.000022,0.000036,0.002316
0.020000,0.003888,0.000023,0.000012,0.004324,0.000007,0.000515,0.000496,0.000002,0.000022,0.000034,0.000120,0.000114,0.000008,0.000222,0.000794,0.000052,0.000827,0.000077,0.000124,0.000053,0.000040,0.000074,0.002795
0.040000,0.004539,0.000064,0.000026,0.004913,0.000019,0.001094,0.000747,0.000003,0.000031,0.000071,0.000182,0.000192,0.000016,0.000319,0.001018,0.000075,0.001022,0.000141,0.000246,0.000105,0.000080,0.000154,0.003425
0.060000,0.005323,0.000181,0.000052,0.005659,0.000055,0.002123,0.001078,0.000005,0.000042,0.000143,0.000271,0.000315,0.000034,0.000441,0.001305,0.000103,0.001259,0.000257,0.000471,0.000216,0.000166,0.000310,0.004225
0.080000,0.006246,0.000499,0.000099,0.006575,0.000158,0.003701,0.001481,0.000007,0.000056,0.000276,0.000395,0.000494,0.000073,0.000586,0.001659,0.000137,0.001539,0.000454,0.000858,0.000454,0.000356,0.000588,0.005207
0.100000,0.007309,0.001288,0.000174,0.007669,0.000436,0.005756,0.001937,0.000008,0.000071,0.000495,0.000561,0.000735,0.000148,0.000747,0.002080,0.000175,0.001856,0.000764,0.001467,0.000941,0.000759,0.001036,0.006367
0.120000,0.008507,0.003020,0.000283,0.008937,0.001113,0.008016,0.002417,0.000010,0.000088,0.000815,0.000773,0.001031,0.000285,0.000915,0.002555,0.000214,0.002202,0.001207,0.002337,0.001874,0.001562,0.001671,0.007676
0.140000,0.009833,0.006254,0.000419,0.010366,0.002552,0.010120,0.002893,0.000012,0.000105,0.001222,0.001032,0.001363,0.000503,0.001081,0.003067,0.000253,0.002567,0.001777,0.003452,0.003491,0.003023,0.002460,0.009086
0.160000,0.011277,0.011243,0.000568,0.011930,0.005127,0.011790,0.003344,0.000014,0.000123,0.001674,0.001336,0.001703,0.000802,0.001237,0.003592,0.000289,0.002939,0.002429,0.004730,0.005955,0.005371,0.003315,0.010531
0.180000,0.012830,0.017491,0.000710,0.013594,0.008912,0.012936,0.003761,0.000016,0.000140,0.002110,0.001676,0.002024,0.001152,0.001377,0.004104,0.000322,0.003304,0.003097,0.006042,0.009189,0.008622,0.004129,0.011940
0.200000,0.014481,0.023829,0.000830,0.015318,0.013433,0.013638,0.004142,0.000017,0.000156,0.002480,0.002038,0.002305,0.001503,0.001499,0.004584,0.000350,0.003654,0.003711,0.007256,0.012807,0.012451,0.004820,0.013249
0.220000,0.016226,0.029063,0.000917,0.017066,0.017840,0.014080,0.004495,0.000018,0.000170,0.002760,0.002409,0.002535,0.001805,0.001604,0.005016,0.000375,0.003983,0.004226,0.008276,0.016253,0.016276,0.005350,0.014415
0.240000,0.018062,0.032525,0.000973,0.018810,0.021382,0.014471,0.004830,0.000019,0.000182,0.002951,0.002774,0.002717,0.002028,0.001695,0.005395,0.000396,0.004289,0.004627,0.009062,0.019058,0.019529,0.005729,0.015421
0.260000,0.019989,0.034163,0.001002,0.020535,0.023713,0.015002,0.005156,0.000020,0.000193,0.003073,0.003121,0.002859,0.002170,0.001778,0.005722,0.000415,0.004571,0.004923,0.009626,0.020991,0.021882,0.005994,0.016278
0.280000,0.022010,0.034331,0.001013,0.022243,0.024885,0.015825,0.005480,0.000022,0.000203,0.003154,0.003443,0.002975,0.002245,0.001858,0.006008,0.000434,0.004836,0.005146,0.010017,0.022067,0.023282,0.006195,0.017022
0.300000,0.024134,0.033568,0.001018,0.023952,0.025189,0.017057,0.005807,0.000023,0.000212,0.003222,0.003734,0.003081,0.002278,0.001940,0.006269,0.000453,0.005089,0.005330,0.010304,0.022467,0.023884,0.006381,0.017706
0.320000,0.026368,0.032424,0.001023,0.025692,0.024996,0.018776,0.006137,0.000024,0.000221,0.003303,0.003993,0.003192,0.002293,0.002030,0.006521,0.000474,0.005342,0.005514,0.010558,0.022446,0.023948,0.006592,0.018395
0.340000,0.028725,0.031369,0.001037,0.027500,0.024661,0.021013,0.006468,0.000025,0.000229,0.003416,0.004222,0.003321,0.002313,0.002133,0.006786,0.000498,0.005606,0.005729,0.010847,0.022267,0.023755,0.006859,0.019155
0.360000,0.031218,0.030750,0.001066,0.029415,0.024465,0.023740,0.006797,0.000026,0.000238,0.003574,0.004425,0.003478,0.002356,0.002252,0.007084,0.000526,0.005893,0.006002,0.011226,0.022159,0.023561,0.007199,0.020053
0.380000,0.033864,0.030804,0.001114,0.031471,0.024607,0.026859,0.007122,0.000027,0.000247,0.003785,0.004608,0.003669,0.002432,0.002390,0.007435,0.000558,0.006217,0.006351,0.011741,0.022297,0.023570,0.007622,0.021144
0.400000,0.036675,0.031679,0.001183,0.033689,0.025208,0.030199,0.007442,0.000029,0.000257,0.004054,0.004776,0.003900,0.002548,0.002549,0.007856,0.000595,0.006591,0.006787,0.012424,0.022803,0.023921,0.008127,0.022468
0.420000,0.039658,0.033455,0.001273,0.036071,0.026329,0.033547,0.007760,0.000030,0.000267,0.004378,0.004936,0.004169,0.002706,0.002728,0.008362,0.000637,0.007025,0.007314,0.013294,0.023741,0.024698,0.008705,0.024042
0.440000,0.042811,0.036153,0.001385,0.038594,0.027974,0.036689,0.008082,0.000031,0.000279,0.004752,0.005094,0.004472,0.002903,0.002926,0.008959,0.000684,0.007527,0.007924,0.014355,0.025129,0.025928,0.009345,0.025852
0.460000,0.046114,0.039716,0.001515,0.041211,0.030097,0.039457,0.008415,0.000032,0.000292,0.005166,0.005256,0.004802,0.003130,0.003140,0.009648,0.000734,0.008098,0.008602,0.015595,0.026930,0.027587,0.010027,0.027847
0.480000,0.049525,0.043990,0.001659,0.043854,0.032601,0.041762,0.008771,0.000034,0.000305,0.005607,0.005427,0.005147,0.003378,0.003366,0.010416,0.000786,0.008731,0.009321,0.016985,0.029054,0.029596,0.010736,0.029938
0.500000,0.052979,0.048711,0.001808,0.046437,0.035349,0.043599,0.009157,0.000035,0.000320,0.006061,0.005612,0.005494,0.003634,0.003598,0.011240,0.000841,0.009407,0.010048,0.018478,0.031366,0.031829,0.011456,0.032003
0.520000,0.056389,0.053536,0.001957,0.048875,0.038182,0.045033,0.009584,0.000036,0.000334,0.006514,0.005815,0.005832,0.003885,0.003831,0.012084,0.000895,0.010100,0.010748,0.020018,0.033699,0.034129,0.012175,0.033909
0.540000,0.059653,0.058102,0.002097,0.051094,0.040943,0.046184,0.010055,0.000038,0.000350,0.006952,0.006039,0.006149,0.004120,0.004059,0.012906,0.000948,0.010776,0.011387,0.021546,0.035889,0.036332,0.012885,0.035523
0.560000,0.062667,0.062090,0.002224,0.053051,0.043511,0.047199,0.010571,0.000040,0.000365,0.007367,0.006288,0.006439,0.004332,0.004278,0.013662,0.001000,0.011398,0.011937,0.023009,0.037803,0.038303,0.013581,0.036744
0.580000,0.065339,0.065288,0.002334,0.054738,0.045811,0.048230,0.011123,0.000041,0.000380,0.007750,0.006562,0.006696,0.004520,0.004485,0.014313,0.001048,0.011933,0.012382,0.024368,0.039364,0.039958,0.014264,0.037510
0.600000,0.067606,0.067605,0.002426,0.056198,0.047828,0.049416,0.011699,0.000043,0.000394,0.008098,0.006863,0.006923,0.004684,0.004677,0.014832,0.001093,0.012356,0.012713,0.025604,0.040564,0.041280,0.014931,0.037814
0.620000,0.069441,0.069071,0.002503,0.057525,0.049602,0.050864,0.012282,0.000045,0.000408,0.008409,0.007191,0.007124,0.004828,0.004855,0.015208,0.001134,0.012657,0.012935,0.026719,0.041462,0.042319,0.015586,0.037710
0.640000,0.070871,0.069826,0.002567,0.058860,0.051212,0.052649,0.012851,0.000047,0.000422,0.008683,0.007545,0.007307,0.004958,0.005020,0.015443,0.001173,0.012840,0.013065,0.027731,0.042180,0.043190,0.016228,0.037319
0.660000,0.071976,0.070103,0.002624,0.060388,0.052768,0.054797,0.013387,0.000049,0.000435,0.008924,0.007924,0.007482,0.005082,0.005175,0.015559,0.001209,0.012924,0.013132,0.028674,0.042888,0.044058,0.016861,0.036828
0.680000,0.072897,0.070222,0.002678,0.062322,0.054393,0.057299,0.013876,0.000051,0.000449,0.009136,0.008324,0.007660,0.005207,0.005325,0.015596,0.001244,0.012949,0.013175,0.029592,0.043793,0.045123,0.017487,0.036486
0.700000,0.073837,0.070569,0.002737,0.064880,0.056207,0.060104,0.014308,0.000052,0.000462,0.009326,0.008742,0.007855,0.005341,0.005473,0.015613,0.001279,0.012972,0.013248,0.030533,0.045109,0.046598,0.018113,0.036591
0.720000,0.075051,0.071574,0.002805,0.068249,0.058309,0.063139,0.014685,0.000054,0.000476,0.009503,0.009173,0.008078,0.005489,0.005625,0.015686,0.001314,0.013065,0.013412,0.031544,0.047036,0.048673,0.018746,0.037468
0.740000,0.076825,0.073661,0.002889,0.072529,0.060761,0.066318,0.015015,0.000055,0.000490,0.009680,0.009610,0.008338,0.005657,0.005786,0.015903,0.001352,0.013312,0.013733,0.032663,0.049708,0.051478,0.019395,0.039438
0.760000,0.079441,0.077178,0.002992,0.077673,0.063573,0.069558,0.015315,0.000057,0.000505,0.009867,0.010048,0.008639,0.005847,0.005959,0.016355,0.001392,0.013795,0.014274,0.033915,0.053146,0.055023,0.020072,0.042754
0.780000,0.083106,0.082290,0.003114,0.083425,0.066691,0.072783,0.015609,0.000058,0.000520,0.010078,0.010478,0.008983,0.006059,0.006147,0.017116,0.001436,0.014582,0.015077,0.035302,0.057198,0.059151,0.020787,0.047470
0.800000,0.087867,0.088829,0.003254,0.089330,0.069997,0.075936,0.015927,0.000060,0.000537,0.010323,0.010894,0.009361,0.006292,0.006351,0.018215,0.001484,0.015691,0.016141,0.036801,0.061526,0.063523,0.021543,0.053237
0.820000,0.093505,0.096188,0.003406,0.094840,0.073325,0.078973,0.016299,0.000062,0.000555,0.010609,0.011289,0.009761,0.006540,0.006568,0.019605,0.001534,0.017058,0.017402,0.038364,0.065679,0.067696,0.022339,0.059211
0.840000,0.099501,0.103401,0.003561,0.099494,0.076498,0.081858,0.016750,0.000063,0.000573,0.010936,0.011656,0.010165,0.006795,0.006793,0.021135,0.001587,0.018519,0.018725,0.039922,0.069245,0.071275,0.023163,0.064345
0.860000,0.105151,0.109508,0.003712,0.103064,0.079359,0.084559,0.017292,0.000065,0.000591,0.011296,0.011992,0.010552,0.007047,0.007020,0.022583,0.001640,0.019848,0.019935,0.041403,0.072002,0.074045,0.023991,0.067981
0.880000,0.109824,0.113983,0.003848,0.105583,0.081807,0.087045,0.017916,0.000067,0.000609,0.011673,0.012293,0.010905,0.007286,0.007240,0.023751,0.001692,0.020872,0.020898,0.042740,0.073947,0.076008,0.024793,0.070139
0.900000,0.113221,0.116865,0.003964,0.107244,0.083804,0.089282,0.018588,0.000069,0.000626,0.012045,0.012558,0.011211,0.007502,0.007445,0.024558,0.001739,0.021543,0.021565,0.043888,0.075223,0.077304,0.025537,0.071249
0.920000,0.115417,0.118536,0.004058,0.108287,0.085368,0.091245,0.019254,0.000071,0.000641,0.012388,0.012787,0.011463,0.007689,0.007626,0.025043,0.001782,0.021927,0.021976,0.044830,0.076020,0.078120,0.026193,0.071765
