X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.003366,0.000054,0.000006,0.003771,0.000004,0.000225,0.000318,0.000002,0.000016,0.000017,0.000090,0.000060,0.000005,0.000150,0.000593,0.000035,0.000652,0.000016,0.000066,0.000033,0.000022,0.000034,0.002234
0.020000,0.003891,0.000116,0.000012,0.004239,0.000009,0.000507,0.000496,0.000002,0.000022,0.000035,0.000130,0.000116,0.000009,0.000222,0.000771,0.000052,0.000814,0.000031,0.000133,0.000058,0.000040,0.000072,0.002730
0.040000,0.004541,0.000260,0.000026,0.004850,0.000024,0.001075,0.000747,0.000003,0.000031,0.000073,0.000187,0.000215,0.000018,0.000319,0.001007,0.000075,0.001016,0.000064,0.000262,0.000109,0.000079,0.000148,0.003379
0.060000,0.005325,0.000581,0.000051,0.005620,0.000067,0.002086,0.001078,0.000005,0.000042,0.000148,0.000265,0.000373,0.000037,0.000441,0.001308,0.000103,0.001262,0.000131,0.000497,0.000216,0.000166,0.000298,0.004202
0.080000,0.006247,0.001259,0.000098,0.006560,0.000186,0.003642,0.001481,0.000007,0.000056,0.000284,0.000370,0.000603,0.000077,0.000586,0.001677,0.000137,0.001549,0.000263,0.000896,0.000437,0.000357,0.000569,0.005209
0.100000,0.007308,0.002578,0.000172,0.007678,0.000495,0.005681,0.001937,0.000008,0.000071,0.000506,0.000508,0.000898,0.000156,0.000747,0.002110,0.000175,0.001872,0.000503,0.001519,0.000884,0.000763,0.001007,0.006393
0.120000,0.008505,0.004869,0.000279,0.008969,0.001223,0.007942,0.002417,0.000010,0.000088,0.000828,0.000685,0.001233,0.000295,0.000915,0.002592,0.000214,0.002220,0.000898,0.002398,0.001729,0.001575,0.001637,0.007724
0.140000,0.009830,0.008338,0.000414,0.010417,0.002717,0.010068,0.002893,0.000012,0.000105,0.001235,0.000903,0.001569,0.000513,0.001081,0.003103,0.000253,0.002583,0.001475,0.003511,0.003195,0.003050,0.002427,0.009150
0.160000,0.011273,0.012842,0.000563,0.011996,0.005312,0.011775,0.003344,0.000014,0.000123,0.001682,0.001163,0.001871,0.000809,0.001237,0.003620,0.000289,0.002949,0.002211,0.004775,0.005455,0.005415,0.003292,0.010604
0.180000,0.012825,0.017818,0.000706,0.013669,0.009033,0.012962,0.003761,0.000016,0.000140,0.002110,0.001465,0.002115,0.001153,0.001377,0.004118,0.000322,0.003307,0.003027,0.006063,0.008491,0.008679,0.004124,0.012015
0.200000,0.014477,0.022506,0.000827,0.015396,0.013396,0.013699,0.004142,0.000017,0.000156,0.002473,0.001802,0.002299,0.001497,0.001499,0.004581,0.000350,0.003649,0.003816,0.007248,0.012001,0.012509,0.004835,0.013322
0.220000,0.016222,0.026282,0.000917,0.017140,0.017603,0.014164,0.004495,0.000018,0.000170,0.002746,0.002165,0.002431,0.001791,0.001604,0.004998,0.000375,0.003971,0.004488,0.008240,0.015485,0.016320,0.005383,0.014482
0.240000,0.018060,0.028855,0.000975,0.018873,0.020971,0.014564,0.004830,0.000019,0.000182,0.002933,0.002543,0.002530,0.002011,0.001695,0.005366,0.000396,0.004273,0.004995,0.009004,0.018469,0.019551,0.005774,0.015481
0.260000,0.019990,0.030265,0.001006,0.020581,0.023196,0.015091,0.005156,0.000020,0.000193,0.003054,0.002925,0.002616,0.002151,0.001778,0.005690,0.000415,0.004556,0.005336,0.009556,0.020676,0.021879,0.006044,0.016329
0.280000,0.022015,0.030766,0.001019,0.022268,0.024342,0.015901,0.005480,0.000022,0.000203,0.003137,0.003299,0.002709,0.002228,0.001858,0.005981,0.000434,0.004825,0.005544,0.009944,0.022060,0.023262,0.006242,0.017063
0.300000,0.024142,0.030714,0.001024,0.023950,0.024687,0.017110,0.005807,0.000023,0.000212,0.003209,0.003656,0.002823,0.002265,0.001940,0.006252,0.000453,0.005086,0.005669,0.010235,0.022752,0.023859,0.006419,0.017734
0.320000,0.026379,0.030463,0.001030,0.025660,0.024583,0.018797,0.006137,0.000024,0.000221,0.003295,0.003988,0.002971,0.002285,0.002030,0.006519,0.000474,0.005348,0.005765,0.010500,0.022974,0.023930,0.006617,0.018405
0.340000,0.028737,0.030325,0.001044,0.027434,0.024362,0.020999,0.006468,0.000025,0.000229,0.003413,0.004291,0.003159,0.002310,0.002133,0.006800,0.000498,0.005621,0.005881,0.010803,0.022972,0.023758,0.006869,0.019141
0.360000,0.031231,0.030541,0.001072,0.029314,0.024288,0.023692,0.006797,0.000026,0.000238,0.003576,0.004564,0.003389,0.002357,0.002252,0.007112,0.000526,0.005914,0.006055,0.011198,0.022974,0.023599,0.007195,0.020007
0.380000,0.033874,0.031286,0.001118,0.031335,0.024547,0.026780,0.007122,0.000027,0.000247,0.003792,0.004807,0.003661,0.002436,0.002390,0.007471,0.000558,0.006241,0.006316,0.011729,0.023157,0.023651,0.007604,0.021058
0.400000,0.036680,0.032680,0.001185,0.033520,0.025254,0.030101,0.007442,0.000029,0.000257,0.004064,0.005024,0.003967,0.002555,0.002549,0.007893,0.000595,0.006612,0.006683,0.012427,0.023650,0.024053,0.008099,0.022336
0.420000,0.039657,0.034789,0.001273,0.035876,0.026463,0.033443,0.007760,0.000030,0.000267,0.004390,0.005217,0.004299,0.002715,0.002728,0.008389,0.000637,0.007038,0.007165,0.013309,0.024526,0.024884,0.008672,0.023861
0.440000,0.042803,0.037622,0.001383,0.038384,0.028174,0.036595,0.008082,0.000031,0.000279,0.004764,0.005393,0.004645,0.002912,0.002926,0.008968,0.000684,0.007526,0.007757,0.014381,0.025805,0.026168,0.009311,0.025627
0.460000,0.046099,0.041121,0.001512,0.041002,0.030337,0.039388,0.008415,0.000032,0.000292,0.005177,0.005556,0.004992,0.003139,0.003140,0.009628,0.000734,0.008079,0.008442,0.015628,0.027455,0.027872,0.009998,0.027589
