X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000002,0.000000,0.000000,0.000017,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001
0.020000,0.000006,0.000001,0.000000,0.000026,0.000000,0.000016,0.000001,0.000000,0.000001,0.000000,0.000000,0.000002,0.000000,0.000000,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000003
0.040000,0.000014,0.000002,0.000000,0.000040,0.000001,0.000055,0.000003,0.000000,0.000001,0.000001,0.000001,0.000009,0.000001,0.000002,0.000003,0.000001,0.000002,0.000003,0.000001,0.000002,0.000004,0.000003,0.000009
0.060000,0.000034,0.000008,0.000002,0.000063,0.000006,0.000153,0.000009,0.000000,0.000001,0.000004,0.000005,0.000027,0.000003,0.000006,0.000007,0.000002,0.000008,0.000008,0.000003,0.000008,0.000011,0.000011,0.000024
0.080000,0.000079,0.000027,0.000005,0.000100,0.000021,0.000337,0.000026,0.000000,0.000002,0.000014,0.000014,0.000060,0.000008,0.000018,0.000019,0.000005,0.000022,0.000023,0.000009,0.000024,0.000031,0.000036,0.000063
0.100000,0.000169,0.000084,0.000013,0.000159,0.000068,0.000600,0.000063,0.000000,0.000003,0.000038,0.000035,0.000102,0.000017,0.000042,0.000044,0.000010,0.000058,0.000056,0.000027,0.000071,0.000084,0.000091,0.000157
0.120000,0.000331,0.000234,0.000030,0.000251,0.000189,0.000896,0.000132,0.000000,0.000005,0.000085,0.000074,0.000143,0.000033,0.000080,0.000097,0.000019,0.000130,0.000119,0.000078,0.000190,0.000211,0.000188,0.000357
0.140000,0.000589,0.000569,0.000057,0.000396,0.000447,0.001171,0.000238,0.000001,0.000008,0.000161,0.000133,0.000174,0.000060,0.000131,0.000194,0.000028,0.000252,0.000217,0.000195,0.000451,0.000477,0.000320,0.000726
0.160000,0.000954,0.001196,0.000092,0.000617,0.000896,0.001398,0.000376,0.000001,0.000011,0.000259,0.000205,0.000197,0.000097,0.000184,0.000347,0.000037,0.000424,0.000345,0.000423,0.000936,0.000955,0.000464,0.001312
0.180000,0.001418,0.002170,0.000128,0.000947,0.001533,0.001591,0.000531,0.000002,0.000015,0.000363,0.000283,0.000217,0.000143,0.000231,0.000560,0.000045,0.000627,0.000487,0.000786,0.001690,0.001685,0.000598,0.002107
0.200000,0.001959,0.003428,0.000159,0.001425,0.002281,0.001786,0.000686,0.000004,0.000021,0.000458,0.000359,0.000241,0.000192,0.000269,0.000820,0.000051,0.000832,0.000629,0.001262,0.002662,0.002626,0.000711,0.003024
