X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000004,0.000000,0.000000,0.000016,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000000,0.000001
0.020000,0.000009,0.000001,0.000000,0.000025,0.000000,0.000015,0.000001,0.000000,0.000001,0.000000,0.000000,0.000002,0.000000,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000003,0.000003,0.000001,0.000003
0.040000,0.000021,0.000003,0.000000,0.000041,0.000002,0.000054,0.000004,0.000000,0.000001,0.000001,0.000001,0.000009,0.000001,0.000003,0.000003,0.000000,0.000002,0.000003,0.000001,0.000007,0.000008,0.000003,0.000008
0.060000,0.000047,0.000009,0.000002,0.000068,0.000007,0.000150,0.000012,0.000000,0.000001,0.000005,0.000005,0.000027,0.000003,0.000011,0.000008,0.000001,0.000007,0.000009,0.000004,0.000019,0.000021,0.000013,0.000022
0.080000,0.000099,0.000030,0.000005,0.000113,0.000023,0.000333,0.000033,0.000000,0.000002,0.000015,0.000015,0.000059,0.000008,0.000027,0.000020,0.000004,0.000022,0.000025,0.000014,0.000048,0.000052,0.000040,0.000061
0.100000,0.000197,0.000092,0.000013,0.000187,0.000070,0.000596,0.000074,0.000000,0.000003,0.000040,0.000038,0.000102,0.000017,0.000056,0.000046,0.000009,0.000059,0.000061,0.000044,0.000113,0.000122,0.000100,0.000157
0.120000,0.000362,0.000250,0.000030,0.000307,0.000190,0.000895,0.000144,0.000000,0.000005,0.000088,0.000077,0.000143,0.000034,0.000094,0.000099,0.000017,0.000135,0.000126,0.000118,0.000246,0.000266,0.000198,0.000362
0.140000,0.000611,0.000597,0.000057,0.000494,0.000441,0.001174,0.000244,0.000001,0.000008,0.000164,0.000134,0.000175,0.000060,0.000135,0.000193,0.000028,0.000264,0.000224,0.000271,0.000492,0.000531,0.000327,0.000743
0.160000,0.000952,0.001230,0.000092,0.000772,0.000872,0.001404,0.000366,0.000001,0.000011,0.000260,0.000202,0.000198,0.000097,0.000173,0.000342,0.000038,0.000442,0.000349,0.000531,0.000898,0.000963,0.000462,0.001346
0.180000,0.001379,0.002188,0.000129,0.001172,0.001482,0.001598,0.000500,0.000002,0.000015,0.000360,0.000274,0.000218,0.000142,0.000206,0.000551,0.000047,0.000644,0.000484,0.000891,0.001492,0.001586,0.000584,0.002155
