m1rec,m2rec,chi1rec,chi2rec,snr,pipeline,HasNS_trueSLy,HasREM_trueSLy,P_NS,P_REM
4.268033,3.634232,-0.913736,0.450203,18.991429,spiir,1,0,0.4495,0.0003
6.268945,2.588275,-0.146668,0.099328,19.285233,pycbc,1,0,0.6926,0.0
12.247071,1.55014,0.370892,0.019994,19.7219,spiir,1,0,0.9422,0.0
6.154887,2.612731,-0.016768,-0.532756,18.754279,spiir,1,0,0.5631,0.0
21.466118,1.100672,0.726591,0.007167,15.509615,spiir,1,0,0.7923,0.0066
15.128631,1.338744,0.483056,0.0,19.18419,pycbc,1,0,0.9272,0.0
12.304299,1.548501,0.388013,0.0,35.202984,MBTA,1,0,0.877,0.0
9.764105,1.825284,0.201094,0.201094,19.48065,gstlal,1,0,0.6821,0.0001
13.358684,1.512347,0.603281,0.603281,15.073001,gstlal,1,0,0.6703,0.0009
1.911018,1.425604,0.002103,-0.003992,12.073968,spiir,1,1,0.9977,0.997
1.852125,1.467707,-0.046509,0.030845,11.769896,spiir,1,1,0.9977,0.9969
4.78139,0.67894,0.54562,-0.29612,11.580323,MBTA,1,1,0.9775,0.5133
1.746003,1.556433,0.015469,0.015469,12.737594,gstlal,1,1,0.9977,0.9969
3.006117,0.951242,-0.046406,-0.046406,9.372018,gstlal,1,1,0.9977,0.9727
106.84828,116.16337,-0.216562,-0.216562,7.845472,gstlal,0,0,0.0014,0.0
131.68057,149.27057,0.665156,0.665156,7.737109,gstlal,0,0,0.0014,0.0
146.77638,11.252654,0.047333,0.047333,13.437766,pycbc,0,0,0.0026,0.0
171.62013,66.910265,0.759381,0.759381,13.250745,MBTA,0,0,0.0014,0.0
103.25758,97.242424,-0.53764,0.97463,13.089736,spiir,0,0,0.0016,0.0
176.43205,57.082771,0.665156,0.665156,13.348498,gstlal,0,0,0.002,0.0
98.97998,3.032148,-0.477043,0.225529,12.485516,spiir,0,0,0.0035,0.0
137.30063,5.975307,-0.208828,-0.208828,12.747541,gstlal,0,0,0.0015,0.0
8.951205,1.808302,-0.340526,0.599162,10.194404,pycbc,1,0,0.7772,0.0001
5.241227,2.784776,-0.757354,-0.757354,9.975058,pycbc,1,0,0.991,0.0
16.122871,1.201772,0.301641,0.301641,10.995211,gstlal,1,0,0.8532,0.0
4.524154,3.195625,-0.729903,-0.868785,9.416227,spiir,1,0,0.9592,0.0
12.613701,1.417224,0.103114,-0.046411,9.978967,spiir,1,0,0.9953,0.0
17.805355,1.164686,0.518203,0.518203,9.539394,gstlal,1,0,0.7954,0.0001
6.802109,2.743178,0.198007,0.650023,17.828012,pycbc,1,0,0.3377,0.0022
16.96797,1.385798,0.669013,0.0,18.625608,MBTA,1,0,0.7416,0.0026
6.819964,2.659323,0.337572,-0.760824,14.661185,spiir,1,0,0.3079,0.0002
19.842043,1.253132,0.719884,0.0,17.993337,pycbc,1,0,0.7926,0.0037
5.667536,3.194893,0.418222,-0.270888,18.235749,spiir,1,0,0.2975,0.0004
7.013156,2.674346,0.699173,-0.973329,18.139215,spiir,1,0,0.4141,0.0026
19.459028,1.266224,0.684492,0.684492,18.266045,gstlal,1,0,0.7815,0.0011
1.812256,1.123531,0.483875,-0.899213,9.522575,pycbc,1,1,0.9958,0.3661
1.817101,1.120653,-0.024721,-0.024721,9.369017,pycbc,1,1,0.9977,0.997
1.790634,1.136218,0.007586,-0.045368,9.515479,MBTA,1,1,0.9977,0.997
1.709896,1.18463,-0.046406,-0.046406,9.828803,gstlal,1,1,0.9977,0.997
1.826091,1.115642,-0.002288,-0.025412,9.47815,spiir,1,1,0.9977,0.997
1.605992,1.261273,0.046406,0.046406,9.523811,gstlal,1,1,0.9977,0.997
1.629401,1.166704,0.044938,0.017492,9.83503,MBTA,1,1,0.9977,0.997
1.492724,1.267879,0.015469,0.015469,9.787386,gstlal,1,1,0.9977,0.997
8.770605,3.563156,0.808376,0.369355,15.738118,pycbc,1,0,0.6947,0.0
5.733922,5.230588,0.671945,0.671945,15.669279,pycbc,1,0,0.5356,0.0
5.960579,5.055539,0.693026,0.693026,15.700407,MBTA,1,0,0.6237,0.0
11.055814,2.811567,0.611711,-0.35587,11.97796,spiir,1,0,0.38,0.0
9.170778,3.434485,0.711563,0.711563,15.728673,gstlal,1,0,0.6795,0.0
19.971619,1.908113,0.832654,-0.033571,15.517608,spiir,1,0,0.7701,0.0
43.357197,1.150775,0.874003,0.014614,14.583453,spiir,1,0,0.9958,0.0
7.461097,4.100348,0.855381,0.335524,15.875334,spiir,1,0,0.6504,0.0
11.138901,3.060332,0.97406,0.94752,13.112125,spiir,1,0,0.9128,0.0007
21.602213,1.825284,0.827578,0.827578,15.443832,gstlal,1,0,0.6824,0.0
176.43205,183.9621,0.974531,0.974531,8.841547,gstlal,0,0,0.0043,0.0
165.71097,16.292215,-0.293906,-0.293906,8.714464,gstlal,0,0,0.0015,0.0
2.556321,1.344583,-0.08347,0.0,10.193449,MBTA,1,1,0.9977,0.997
141.73483,1.540884,-0.173511,-0.340925,11.594219,pycbc,0,0,0.148,0.0
128.41545,3.325392,-0.355265,-0.355265,11.377004,MBTA,0,0,0.0152,0.0
176.43205,22.760761,0.440859,0.440859,11.585679,gstlal,0,0,0.002,0.0
126.12085,1.299655,-0.315363,0.0,11.281784,pycbc,0,0,0.0889,0.0
158.92799,16.292215,0.108281,0.108281,11.401418,gstlal,0,0,0.0014,0.0
94.343584,10.913293,0.499944,-0.66785,10.417251,pycbc,0,0,0.0014,0.0
71.723925,13.045346,0.267552,0.267552,10.458253,MBTA,0,0,0.0014,0.0
65.637016,10.905365,0.049247,0.049247,10.089219,pycbc,0,0,0.0091,0.0
76.482292,12.678712,0.324844,0.324844,10.078895,gstlal,0,0,0.0014,0.0
74.145454,11.475232,0.286601,-0.757454,10.250539,spiir,0,0,0.0014,0.0
64.707939,12.678712,0.139219,0.139219,9.975858,gstlal,0,0,0.0014,0.0
2.42535,1.083429,0.248465,-0.252273,18.264939,pycbc,1,1,0.9976,0.4679
4.89395,0.62903,0.48707,0.18916,17.013453,MBTA,1,1,0.9938,0.6812
1.960342,1.308151,0.037625,0.043736,18.884238,MBTA,1,1,0.9977,0.997
1.777521,1.43576,0.042507,0.042507,17.82249,pycbc,1,1,0.9977,0.9968
1.830058,1.394712,0.015469,0.015469,18.95995,gstlal,1,1,0.9977,0.9964
1.874297,1.362135,0.016538,-0.021773,18.116284,spiir,1,1,0.9977,0.9969
2.808735,0.951242,-0.046406,-0.046406,12.733723,gstlal,1,1,0.9977,0.9873
1.743578,1.461127,0.0,0.0,9.670043,gstlal,1,1,0.9977,0.997
1.371368,1.862703,0.0,0.0,10.175691,pycbc,1,1,0.9977,0.996
1.359882,1.880786,0.0,0.0,9.926532,pycbc,1,1,0.9977,0.996
1.883075,1.16249,0.422351,-0.790062,10.705009,pycbc,1,1,0.9933,0.3726
1.955875,1.12322,0.015984,-0.033267,10.438186,MBTA,1,1,0.9977,0.997
1.97788,1.110841,-0.04333,-0.04333,10.280741,pycbc,1,1,0.9977,0.997
2.031617,1.083957,-0.046406,-0.046406,10.581071,gstlal,1,1,0.9977,0.997
216.7751,6.851013,0.090771,-0.871803,16.466185,pycbc,0,0,0.0085,0.0
238.34965,5.51973,0.139038,0.139038,16.158977,MBTA,0,0,0.0031,0.0
221.88748,5.244442,0.145718,0.145718,16.4117,pycbc,0,0,0.0054,0.0
176.43205,155.64136,0.262969,0.262969,16.250345,gstlal,0,0,0.002,0.0
195.86398,8.3477,-0.386719,-0.386719,15.872182,gstlal,0,0,0.0087,0.0
24.263199,1.697512,-0.81655,-0.787961,9.312054,pycbc,1,0,0.8137,0.0
54.324219,1.017971,0.212667,0.0,9.351779,pycbc,1,0,0.9976,0.0
2.227539,1.004244,0.262437,0.0,10.869939,MBTA,1,1,0.9977,0.9959
1.639906,1.321991,0.046406,0.046406,10.739746,gstlal,1,1,0.9977,0.997
1.537771,1.40516,0.008886,0.02271,10.07181,spiir,1,1,0.9977,0.997
1.811036,1.203343,0.046406,0.046406,10.489624,gstlal,1,1,0.9977,0.997
1.166208,1.064317,-0.046406,-0.046406,9.950807,gstlal,1,1,0.9977,0.997
253.31661,38.544945,0.60098,-0.888004,13.848609,pycbc,0,0,0.024,0.0
282.64718,43.065802,0.771004,0.771004,14.038896,MBTA,0,0,0.0294,0.0
321.38168,126.3296,0.991382,0.991382,13.484981,pycbc,0,0,0.1949,0.0
183.9621,176.43205,0.665156,0.665156,14.946652,gstlal,0,0,0.0025,0.0
90.399117,14.985749,0.232031,0.232031,8.16582,gstlal,0,0,0.0014,0.0
149.27057,111.40851,0.912656,0.912656,7.775884,gstlal,0,0,0.0024,0.0
268.72279,2.958354,-0.013853,0.179174,16.315736,pycbc,0,0,0.0048,0.0
304.59393,4.737757,0.366493,0.366493,16.037394,pycbc,0,0,0.0092,0.0
302.79165,6.094958,0.354568,0.354568,16.547489,MBTA,0,0,0.0196,0.0
191.81351,176.43205,-0.216562,-0.216562,16.511143,gstlal,0,0,0.0226,0.0
191.81351,176.43205,0.030937,0.030937,16.194655,gstlal,0,0,0.0129,0.0
2.81428,1.166096,0.105238,0.013865,9.866558,pycbc,1,1,0.9977,0.997
1.954084,1.619091,-0.034557,-0.034557,9.694956,pycbc,1,1,0.9977,0.9966
2.726939,1.1985,0.116136,0.0,10.235229,MBTA,1,1,0.9977,0.997
3.337206,1.014108,0.170156,0.170156,9.722297,gstlal,1,1,0.997,0.8574
5.710019,1.883028,-0.292868,-0.618512,22.631762,pycbc,1,0,0.9943,0.0
6.520452,1.695513,-0.282724,0.0,23.037709,MBTA,1,0,0.9977,0.0
3.578509,2.829548,-0.680595,-0.680595,22.505288,pycbc,1,0,0.9532,0.0
3.954765,2.576764,-0.649688,-0.649688,23.513933,gstlal,1,0,0.9792,0.0
4.170286,2.452052,-0.692753,-0.508763,22.809075,spiir,1,0,0.9958,0.0
3.717564,2.707905,-0.724637,-0.793021,20.752458,spiir,1,0,0.9767,0.0
13.856248,0.975142,0.255234,0.255234,18.492155,gstlal,1,0,0.7968,0.0001
54.746231,54.746231,-0.897187,-0.897187,8.026669,gstlal,0,0,0.0014,0.0
127.61788,11.962016,0.001444,-0.399154,54.348958,pycbc,0,0,0.0014,0.0
123.70081,13.017603,-0.143512,-0.143512,29.225828,MBTA,0,0,0.0014,0.0
126.29055,14.985749,-0.015469,-0.015469,55.456636,gstlal,0,0,0.0043,0.0
125.36811,18.160423,0.129875,0.129875,52.552471,pycbc,0,0,0.0017,0.0
103.25758,97.242424,-0.53764,0.97463,52.603064,spiir,0,0,0.0019,0.0
137.30063,29.247704,0.293906,0.293906,54.885409,gstlal,0,0,0.0017,0.0
36.032599,1.27297,0.463418,-0.02715,10.810372,pycbc,1,0,0.9952,0.0
10.741182,2.890886,-0.780157,-0.780157,10.722078,pycbc,1,0,0.7528,0.0
41.416382,1.15972,0.526775,0.0,11.140215,MBTA,1,0,0.9972,0.0
9.976931,3.025199,-0.983064,-0.649373,10.899577,spiir,1,0,0.6803,0.0
165.71097,121.12116,-0.974531,-0.974531,9.885178,gstlal,0,0,0.0015,0.0
191.81351,176.43205,0.092813,0.092813,9.879259,gstlal,0,0,0.0168,0.0
