X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.000342,0.000092,0.000023,0.000093,0.000096,0.000086,0.000035,0.000000,0.000002,0.000012,0.000015,0.000012,0.000010,0.000011,0.000034,0.000002,0.000025,0.000028,0.000039,0.000108,0.000131,0.000033,0.000176
0.020000,0.000766,0.000484,0.000028,0.000347,0.000334,0.000325,0.000106,0.000000,0.000005,0.000048,0.000039,0.000043,0.000036,0.000037,0.000123,0.000007,0.000074,0.000095,0.000142,0.000336,0.000334,0.000126,0.000573
0.040000,0.001464,0.001706,0.000034,0.000977,0.000908,0.000932,0.000266,0.000001,0.000011,0.000144,0.000091,0.000123,0.000098,0.000103,0.000336,0.000021,0.000180,0.000253,0.000399,0.000833,0.000733,0.000348,0.001433
0.060000,0.002422,0.004111,0.000041,0.002094,0.001925,0.002034,0.000546,0.000002,0.000020,0.000326,0.000191,0.000278,0.000205,0.000224,0.000702,0.000047,0.000366,0.000532,0.000876,0.001663,0.001378,0.000721,0.002772
0.080000,0.003546,0.007143,0.000051,0.003539,0.003258,0.003473,0.000928,0.000003,0.000030,0.000575,0.000350,0.000501,0.000343,0.000392,0.001163,0.000084,0.000628,0.000900,0.001541,0.002736,0.002243,0.001163,0.004270
0.100000,0.004722,0.009644,0.000063,0.004943,0.004564,0.004851,0.001345,0.000004,0.000040,0.000822,0.000569,0.000749,0.000478,0.000573,0.001593,0.000127,0.000935,0.001266,0.002259,0.003842,0.003223,0.001543,0.005473
0.120000,0.005882,0.010941,0.000078,0.006013,0.005539,0.005835,0.001723,0.000005,0.000047,0.001001,0.000826,0.000971,0.000586,0.000727,0.001899,0.000163,0.001244,0.001548,0.002896,0.004791,0.004189,0.001785,0.006136
0.140000,0.007028,0.011184,0.000097,0.006700,0.006094,0.006367,0.002025,0.000006,0.000053,0.001095,0.001087,0.001138,0.000663,0.000837,0.002068,0.000190,0.001524,0.001717,0.003394,0.005512,0.005058,0.001904,0.006312
0.160000,0.008222,0.010914,0.000121,0.007151,0.006343,0.006607,0.002258,0.000006,0.000057,0.001128,0.001323,0.001257,0.000720,0.000909,0.002148,0.000206,0.001772,0.001798,0.003784,0.006056,0.005822,0.001961,0.006220
0.180000,0.009558,0.010636,0.000151,0.007571,0.006477,0.006777,0.002459,0.000007,0.000063,0.001136,0.001514,0.001350,0.000774,0.000960,0.002204,0.000216,0.002003,0.001838,0.004139,0.006531,0.006531,0.002024,0.006092
0.200000,0.011131,0.010673,0.000188,0.008150,0.006675,0.007073,0.002671,0.000008,0.000069,0.001154,0.001661,0.001444,0.000840,0.001011,0.002292,0.000225,0.002240,0.001885,0.004538,0.007051,0.007268,0.002147,0.006099
0.220000,0.013022,0.011206,0.000233,0.009044,0.007076,0.007642,0.002935,0.000009,0.000079,0.001207,0.001771,0.001562,0.000930,0.001076,0.002454,0.000236,0.002508,0.001977,0.005044,0.007715,0.008123,0.002369,0.006360
0.240000,0.015280,0.012334,0.000286,0.010378,0.007790,0.008602,0.003283,0.000010,0.000093,0.001312,0.001862,0.001721,0.001050,0.001168,0.002721,0.000254,0.002827,0.002139,0.005703,0.008594,0.009175,0.002723,0.006962
