X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.001857,0.001462,0.000063,0.001533,0.001239,0.001323,0.000347,0.000001,0.000011,0.000140,0.000150,0.000169,0.000132,0.000136,0.000361,0.000033,0.000310,0.000231,0.000673,0.001157,0.001235,0.000411,0.000991
0.040000,0.003734,0.002955,0.000126,0.003088,0.002498,0.002668,0.000697,0.000002,0.000022,0.000285,0.000306,0.000342,0.000266,0.000273,0.000728,0.000067,0.000626,0.000470,0.001356,0.002328,0.002483,0.000828,0.001998
0.060000,0.005632,0.004478,0.000191,0.004666,0.003777,0.004035,0.001050,0.000004,0.000034,0.000436,0.000467,0.000519,0.000401,0.000412,0.001099,0.000100,0.000945,0.000719,0.002049,0.003512,0.003743,0.001251,0.003020
0.080000,0.007551,0.006031,0.000256,0.006268,0.005076,0.005424,0.001407,0.000005,0.000045,0.000593,0.000635,0.000700,0.000537,0.000552,0.001476,0.000134,0.001270,0.000978,0.002751,0.004711,0.005017,0.001679,0.004058
0.100000,0.009490,0.007616,0.000322,0.007893,0.006395,0.006837,0.001767,0.000006,0.000057,0.000756,0.000809,0.000885,0.000675,0.000692,0.001858,0.000168,0.001599,0.001247,0.003464,0.005924,0.006304,0.002113,0.005111
0.120000,0.011450,0.009233,0.000389,0.009542,0.007734,0.008273,0.002130,0.000008,0.000069,0.000926,0.000989,0.001074,0.000813,0.000835,0.002246,0.000203,0.001933,0.001526,0.004187,0.007151,0.007604,0.002553,0.006181
0.140000,0.013431,0.010882,0.000457,0.011215,0.009095,0.009732,0.002496,0.000009,0.000080,0.001102,0.001176,0.001268,0.000954,0.000978,0.002639,0.000237,0.002272,0.001815,0.004920,0.008393,0.008917,0.002999,0.007266
0.160000,0.015432,0.012563,0.000526,0.012912,0.010476,0.011215,0.002865,0.000010,0.000092,0.001285,0.001370,0.001465,0.001095,0.001122,0.003037,0.000272,0.002616,0.002115,0.005663,0.009649,0.010244,0.003451,0.008368
0.180000,0.017454,0.014279,0.000596,0.014634,0.011879,0.012722,0.003238,0.000012,0.000104,0.001474,0.001570,0.001667,0.001238,0.001268,0.003441,0.000307,0.002965,0.002427,0.006417,0.010920,0.011584,0.003908,0.009487
