X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.000109,0.000034,0.000001,0.000025,0.000026,0.000034,0.000008,0.000000,0.000000,0.000002,0.000004,0.000006,0.000003,0.000003,0.000009,0.000001,0.000005,0.000006,0.000011,0.000036,0.000027,0.000008,0.000054
0.020000,0.001022,0.001052,0.000012,0.000732,0.000697,0.001018,0.000175,0.000002,0.000012,0.000229,0.000149,0.000036,0.000057,0.000071,0.000255,0.000022,0.000152,0.000136,0.000510,0.000555,0.000755,0.000253,0.000745
0.040000,0.003119,0.001173,0.000117,0.001932,0.001841,0.000712,0.000701,0.000002,0.000028,0.000208,0.000124,0.000135,0.000126,0.000210,0.000476,0.000040,0.000503,0.000519,0.000462,0.001608,0.001021,0.000537,0.002735
0.060000,0.002735,0.004300,0.000060,0.001475,0.001770,0.001723,0.000559,0.000001,0.000011,0.000364,0.000370,0.000360,0.000203,0.000205,0.000921,0.000018,0.000419,0.000752,0.000498,0.001167,0.003061,0.000796,0.003215
0.080000,0.003939,0.007176,0.000269,0.002077,0.002087,0.002394,0.000541,0.000002,0.000032,0.000384,0.000086,0.000227,0.000359,0.000256,0.001084,0.000072,0.000269,0.000668,0.001966,0.003017,0.002624,0.001280,0.003520
0.100000,0.002929,0.008600,0.000287,0.006429,0.002804,0.007096,0.001179,0.000004,0.000028,0.000349,0.000344,0.000699,0.000341,0.000321,0.000881,0.000159,0.000851,0.001382,0.001826,0.001210,0.001926,0.001138,0.003578
0.120000,0.004501,0.007525,0.000289,0.004116,0.003862,0.003205,0.001290,0.000005,0.000036,0.001434,0.000518,0.001076,0.000348,0.000601,0.002033,0.000127,0.001394,0.000702,0.002839,0.007471,0.002868,0.002046,0.003798
0.140000,0.003475,0.008810,0.000296,0.007161,0.006922,0.004906,0.001221,0.000007,0.000047,0.001283,0.001700,0.000631,0.000673,0.000710,0.001581,0.000083,0.000690,0.001032,0.002688,0.005597,0.000905,0.000498,0.006306
0.160000,0.007542,0.014073,0.000381,0.004004,0.007887,0.003784,0.001921,0.000003,0.000063,0.000879,0.000980,0.000870,0.000498,0.000940,0.001188,0.000242,0.002832,0.001032,0.002683,0.004646,0.008955,0.001747,0.005155
0.180000,0.005764,0.008600,0.000000,0.007058,0.004190,0.011551,0.003605,0.000005,0.000049,0.000973,0.001366,0.001204,0.000875,0.000959,0.001486,0.000200,0.000557,0.002764,0.002991,0.004623,0.009045,0.003840,0.007115
0.200000,0.013340,0.008135,0.000439,0.009286,0.006158,0.014010,0.002740,0.000012,0.000049,0.000665,0.000976,0.001824,0.000429,0.000941,0.003155,0.000220,0.002563,0.001517,0.002200,0.006832,0.007960,0.001451,0.011008
0.220000,0.016642,0.008499,0.000375,0.004235,0.006214,0.003821,0.001474,0.000005,0.000086,0.000924,0.002346,0.002394,0.001075,0.000898,0.002655,0.000266,0.002081,0.003250,0.006580,0.004425,0.005605,0.002076,0.004308
0.240000,0.015872,0.014285,0.000422,0.013427,0.010415,0.009272,0.003177,0.000013,0.000083,0.001298,0.002970,0.001593,0.001593,0.001215,0.003333,0.000273,0.004141,0.002846,0.008294,0.011732,0.006123,0.002728,0.003492
0.260000,0.022241,0.013594,0.000638,0.015083,0.007010,0.005931,0.003629,0.000014,0.000100,0.001767,0.001584,0.001589,0.001140,0.001657,0.003857,0.000269,0.003402,0.001627,0.005075,0.012525,0.016098,0.004159,0.010309
0.280000,0.021614,0.018060,0.000782,0.014273,0.010126,0.007884,0.005103,0.000006,0.000149,0.002415,0.002038,0.001664,0.001544,0.001113,0.002690,0.000281,0.004460,0.002897,0.008640,0.013087,0.019296,0.003370,0.009355
0.300000,0.014770,0.032490,0.000513,0.023465,0.016708,0.017937,0.005754,0.000016,0.000162,0.002225,0.002278,0.002638,0.001649,0.001321,0.003252,0.000296,0.004602,0.003097,0.010306,0.011811,0.007848,0.004029,0.010309
0.320000,0.030076,0.017837,0.000611,0.019317,0.012658,0.019868,0.004905,0.000015,0.000124,0.002726,0.001409,0.003198,0.001287,0.001933,0.005962,0.000382,0.004141,0.002807,0.011577,0.013722,0.019008,0.006279,0.017459
0.340000,0.024069,0.027261,0.001445,0.021311,0.016708,0.025803,0.006306,0.000021,0.000247,0.002457,0.003360,0.002422,0.002281,0.002071,0.006895,0.000427,0.005068,0.004192,0.007856,0.016518,0.017246,0.004621,0.017233
0.360000,0.033441,0.018143,0.000723,0.027937,0.015512,0.025185,0.006476,0.000025,0.000268,0.002857,0.002446,0.003220,0.001919,0.002309,0.005950,0.000645,0.004288,0.005027,0.013788,0.015251,0.016884,0.010982,0.014891
0.380000,0.031812,0.026087,0.001606,0.027526,0.023519,0.021072,0.008548,0.000028,0.000224,0.003289,0.003780,0.004159,0.002002,0.002762,0.004764,0.000698,0.005649,0.005988,0.015381,0.020740,0.025915,0.006741,0.019062
0.400000,0.042966,0.038840,0.001445,0.026914,0.026581,0.030104,0.008095,0.000016,0.000240,0.004326,0.003593,0.003775,0.002520,0.002820,0.006920,0.000665,0.006260,0.007757,0.010109,0.022584,0.019296,0.011019,0.025773
0.420000,0.045012,0.032609,0.001064,0.029145,0.036748,0.032641,0.007275,0.000026,0.000260,0.003108,0.002079,0.004356,0.003072,0.002762,0.008517,0.000645,0.007988,0.005249,0.008972,0.020721,0.027259,0.006575,0.024425
0.440000,0.043440,0.025348,0.001609,0.040480,0.030806,0.022076,0.008171,0.000027,0.000268,0.004612,0.005142,0.005519,0.003228,0.002597,0.011072,0.000720,0.006651,0.008305,0.017400,0.022773,0.023411,0.008334,0.032678
0.460000,0.050639,0.044359,0.001468,0.043320,0.034797,0.037253,0.010685,0.000041,0.000291,0.004472,0.004904,0.005301,0.003010,0.003551,0.009451,0.000745,0.006152,0.008732,0.023312,0.034567,0.038693,0.010895,0.026128
0.480000,0.041703,0.035290,0.001703,0.046711,0.035739,0.047306,0.008820,0.000025,0.000209,0.006028,0.005812,0.004774,0.003878,0.002893,0.009085,0.000875,0.009203,0.009571,0.016980,0.038080,0.033769,0.010982,0.029455
0.500000,0.060925,0.053512,0.001942,0.048171,0.030868,0.029803,0.007383,0.000035,0.000294,0.005639,0.005018,0.005963,0.003281,0.004142,0.012079,0.000877,0.010973,0.007485,0.023520,0.032078,0.034608,0.011900,0.027335
0.520000,0.058042,0.049256,0.001978,0.048575,0.042425,0.052712,0.009114,0.000035,0.000291,0.006601,0.004933,0.004885,0.003120,0.004075,0.007790,0.001030,0.010462,0.009915,0.013235,0.034670,0.036308,0.012982,0.033677
0.540000,0.051095,0.053119,0.001996,0.051175,0.053024,0.043650,0.013023,0.000043,0.000348,0.006273,0.006930,0.006392,0.003679,0.004009,0.011498,0.001023,0.007433,0.009543,0.026584,0.034710,0.033946,0.012681,0.032802
0.560000,0.074270,0.040134,0.002204,0.059130,0.047440,0.046859,0.011178,0.000034,0.000303,0.005530,0.007498,0.005163,0.004548,0.003441,0.013784,0.001153,0.009911,0.010317,0.026875,0.039925,0.044101,0.014123,0.033827
0.580000,0.072979,0.051206,0.002365,0.046711,0.045567,0.049009,0.011980,0.000042,0.000374,0.006570,0.008199,0.006771,0.005459,0.005638,0.012251,0.001122,0.012138,0.013591,0.029820,0.040603,0.048383,0.016010,0.031426
0.600000,0.059866,0.074431,0.002238,0.048521,0.041951,0.065357,0.012173,0.000044,0.000382,0.008445,0.007871,0.007926,0.005090,0.005283,0.013112,0.001095,0.011150,0.011976,0.024966,0.049162,0.037704,0.015279,0.033075
0.620000,0.072603,0.061004,0.002551,0.071874,0.054930,0.056767,0.012262,0.000049,0.000430,0.007245,0.008923,0.006234,0.004348,0.005714,0.016827,0.001281,0.011806,0.010604,0.025102,0.048253,0.050358,0.015231,0.038488
0.640000,0.068407,0.069608,0.003132,0.061529,0.056959,0.051051,0.014637,0.000052,0.000531,0.007703,0.007895,0.008100,0.005376,0.005696,0.015475,0.001335,0.013380,0.012735,0.027854,0.046066,0.048643,0.017034,0.044972
0.660000,0.087665,0.060201,0.002590,0.073403,0.065096,0.071292,0.014247,0.000046,0.000420,0.009267,0.009441,0.009062,0.005771,0.005458,0.015222,0.001187,0.015639,0.014883,0.028186,0.050497,0.055372,0.018495,0.042603
0.680000,0.081545,0.076620,0.002891,0.077879,0.061127,0.060315,0.013060,0.000053,0.000439,0.009553,0.008681,0.008708,0.005288,0.005605,0.017435,0.001290,0.014685,0.015258,0.030183,0.050698,0.053065,0.019467,0.039362
0.700000,0.073656,0.085067,0.002678,0.076102,0.057224,0.063960,0.012359,0.000052,0.000487,0.009147,0.011251,0.008208,0.005892,0.005714,0.019395,0.001290,0.014213,0.016841,0.032315,0.051256,0.060603,0.018061,0.050820
0.720000,0.083757,0.092402,0.002787,0.073403,0.063582,0.065224,0.014142,0.000054,0.000431,0.008576,0.009743,0.009380,0.005575,0.005848,0.016847,0.001466,0.013912,0.015593,0.030891,0.062471,0.060968,0.019696,0.044996
0.740000,0.072617,0.084607,0.003426,0.074152,0.062355,0.063218,0.016419,0.000058,0.000552,0.010414,0.009919,0.008010,0.006214,0.005490,0.017115,0.001365,0.016611,0.015190,0.037808,0.056312,0.053881,0.021571,0.047097
0.760000,0.096072,0.081827,0.003071,0.086121,0.061376,0.071641,0.016524,0.000059,0.000567,0.010079,0.010672,0.008832,0.007046,0.005656,0.019164,0.001542,0.016565,0.015650,0.031207,0.053531,0.051911,0.020808,0.056758
0.780000,0.085722,0.076295,0.003344,0.087494,0.061079,0.065829,0.014610,0.000056,0.000472,0.010078,0.011698,0.009414,0.006627,0.006601,0.020272,0.001438,0.015179,0.015977,0.033351,0.055307,0.061025,0.021550,0.050623
0.800000,0.095127,0.092984,0.003200,0.074985,0.066780,0.070958,0.014836,0.000067,0.000552,0.010902,0.011919,0.008965,0.006645,0.006112,0.018126,0.001497,0.018177,0.017098,0.033895,0.065618,0.062541,0.021752,0.056577
0.820000,0.090655,0.087794,0.003102,0.085159,0.067989,0.074322,0.015895,0.000060,0.000566,0.011140,0.010622,0.009566,0.006637,0.006481,0.020685,0.001546,0.016999,0.018029,0.036012,0.063295,0.065005,0.022798,0.059321
0.840000,0.088411,0.091886,0.003442,0.087913,0.066650,0.072535,0.015904,0.000058,0.000581,0.010643,0.010897,0.009661,0.006492,0.007226,0.017658,0.001583,0.017532,0.019429,0.038132,0.051844,0.063419,0.025228,0.054563
0.860000,0.092896,0.084569,0.003206,0.086511,0.071073,0.077681,0.017070,0.000066,0.000576,0.010367,0.010655,0.009549,0.006742,0.007006,0.018886,0.001641,0.017344,0.018736,0.038147,0.063056,0.066934,0.024117,0.060404
0.880000,0.102649,0.098792,0.003705,0.087324,0.072703,0.083936,0.017659,0.000064,0.000625,0.012064,0.011396,0.010534,0.007181,0.006429,0.020562,0.001642,0.018752,0.018052,0.038223,0.066229,0.063946,0.022890,0.060341
0.900000,0.098187,0.097494,0.003663,0.089881,0.076808,0.086582,0.017996,0.000065,0.000595,0.011606,0.011316,0.010298,0.007216,0.007268,0.021707,0.001652,0.018992,0.018445,0.037836,0.059980,0.067791,0.023874,0.059013
