X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.002898,0.000760,0.005311,0.000844,0.001051,0.000865,0.001623,0.002069,0.002447,0.000897,0.001059,0.000945,0.001182,0.001295,0.001350,0.001041,0.001139,0.001247,0.000810,0.001398,0.001646,0.001168,0.002435
0.020000,0.006485,0.004018,0.006384,0.003155,0.003667,0.003274,0.004970,0.005377,0.006862,0.003537,0.002791,0.003485,0.004284,0.004519,0.004826,0.003745,0.003322,0.004230,0.002961,0.004340,0.004199,0.004397,0.007938
0.040000,0.012391,0.014172,0.007749,0.008870,0.009959,0.009380,0.012460,0.011827,0.015464,0.010565,0.006587,0.010027,0.011711,0.012440,0.013140,0.010686,0.008081,0.011279,0.008344,0.010759,0.009204,0.012163,0.019859
0.060000,0.020496,0.034148,0.009486,0.019017,0.021122,0.020471,0.025534,0.022015,0.028279,0.023953,0.013747,0.022589,0.024570,0.027052,0.027490,0.024105,0.016402,0.023705,0.018315,0.021475,0.017306,0.025178,0.038416
0.080000,0.030011,0.059327,0.011691,0.032146,0.035745,0.034962,0.043407,0.035133,0.043097,0.042210,0.025267,0.040714,0.041019,0.047372,0.045517,0.043635,0.028171,0.040064,0.032197,0.035337,0.028182,0.040603,0.059168
0.100000,0.039967,0.080097,0.014487,0.044897,0.050085,0.048827,0.062932,0.049179,0.056832,0.060291,0.041047,0.060861,0.057181,0.069130,0.062353,0.065368,0.041939,0.056382,0.047215,0.049624,0.040495,0.053862,0.075844
0.120000,0.049779,0.090873,0.018021,0.054609,0.060775,0.058732,0.080633,0.062140,0.067631,0.073464,0.059566,0.078830,0.070093,0.087716,0.074320,0.084385,0.055769,0.068934,0.060513,0.061869,0.052630,0.062322,0.085030
0.140000,0.059477,0.092892,0.022465,0.060855,0.066869,0.064092,0.094753,0.073036,0.075635,0.080388,0.078430,0.092456,0.079267,0.101008,0.080932,0.097945,0.068352,0.076459,0.070928,0.071187,0.063547,0.066449,0.087467
0.160000,0.069587,0.090649,0.028021,0.064946,0.069604,0.066503,0.105664,0.082118,0.082348,0.082756,0.095420,0.102120,0.086082,0.109680,0.084056,0.106288,0.079481,0.080054,0.079083,0.078215,0.073138,0.068437,0.086195
0.180000,0.080892,0.088334,0.034914,0.068760,0.071072,0.068215,0.115052,0.090443,0.089728,0.083360,0.109269,0.109686,0.092535,0.115886,0.086241,0.111475,0.089827,0.081856,0.086507,0.084349,0.082049,0.070642,0.084414
0.200000,0.094206,0.088644,0.043386,0.074024,0.073241,0.071195,0.124983,0.099362,0.099641,0.084699,0.119833,0.117328,0.100441,0.121983,0.089693,0.115995,0.100464,0.083965,0.094830,0.091070,0.091314,0.074928,0.084522
0.220000,0.110210,0.093070,0.053688,0.082143,0.077641,0.076931,0.137345,0.110184,0.113703,0.088587,0.127815,0.126911,0.111166,0.129891,0.096051,0.121999,0.112487,0.088027,0.105406,0.099633,0.102047,0.082691,0.088138
0.240000,0.129319,0.102438,0.066058,0.094257,0.085473,0.086587,0.153617,0.124030,0.133186,0.096307,0.134356,0.139806,0.125593,0.140945,0.106508,0.131108,0.126788,0.095277,0.119180,0.110993,0.115271,0.095040,0.096470
0.260000,0.151573,0.117146,0.080705,0.111260,0.097760,0.101109,0.174763,0.141743,0.158806,0.108830,0.140717,0.156864,0.144090,0.155920,0.121914,0.144486,0.143924,0.106683,0.136637,0.125795,0.131813,0.112824,0.110602
0.280000,0.176595,0.137058,0.097785,0.133636,0.115373,0.121135,0.201073,0.163786,0.190331,0.126851,0.148089,0.178373,0.166445,0.175053,0.142703,0.162896,0.164030,0.123000,0.157724,0.144356,0.152205,0.136428,0.131494
0.300000,0.203661,0.161244,0.117378,0.161183,0.138860,0.146709,0.231980,0.190100,0.226235,0.150604,0.157519,0.203983,0.191841,0.198031,0.168657,0.186659,0.186766,0.144672,0.181820,0.166611,0.176558,0.165412,0.159674
0.320000,0.231879,0.187904,0.139468,0.192797,0.168130,0.176971,0.265998,0.219999,0.263764,0.179570,0.169889,0.232691,0.219009,0.224027,0.198685,0.215539,0.211344,0.171597,0.207839,0.192098,0.204455,0.198294,0.194710
0.340000,0.260424,0.214715,0.163938,0.226540,0.202178,0.210119,0.300933,0.252196,0.299579,0.212284,0.185893,0.262998,0.246559,0.251865,0.230854,0.248651,0.236677,0.202916,0.234510,0.220029,0.234937,0.232735,0.234785
0.360000,0.288720,0.239521,0.190564,0.260100,0.239083,0.243811,0.334386,0.285017,0.330749,0.246504,0.205981,0.293245,0.273367,0.280317,0.262794,0.284527,0.261622,0.236981,0.260727,0.249441,0.266635,0.266173,0.276775
0.380000,0.316511,0.261004,0.219037,0.291422,0.276424,0.275883,0.364353,0.316759,0.355552,0.279762,0.230265,0.322021,0.298847,0.308421,0.292353,0.321360,0.285242,0.271635,0.285845,0.279401,0.298052,0.296580,0.316976
0.400000,0.343792,0.278995,0.248983,0.319228,0.311931,0.304996,0.389661,0.346065,0.373757,0.310047,0.258415,0.348470,0.323001,0.335689,0.318170,0.357376,0.307005,0.304726,0.309767,0.309160,0.327897,0.322953,0.352140
0.420000,0.370679,0.294350,0.279997,0.343198,0.344077,0.330892,0.410117,0.372160,0.386438,0.336292,0.289622,0.372386,0.346266,0.362141,0.339946,0.391163,0.326860,0.334627,0.332847,0.338235,0.355349,0.345362,0.380254
0.440000,0.397259,0.308562,0.311678,0.363848,0.372333,0.354251,0.426383,0.394936,0.395523,0.358501,0.322683,0.394137,0.369270,0.388165,0.358367,0.421860,0.345195,0.360555,0.355677,0.366395,0.380189,0.364672,0.400783
0.460000,0.423501,0.323318,0.343661,0.382255,0.397094,0.376300,0.439723,0.414876,0.403319,0.377570,0.356251,0.414466,0.392597,0.414306,0.374821,0.449192,0.362734,0.382622,0.378846,0.393607,0.402779,0.382156,0.414481
0.480000,0.449244,0.340150,0.375636,0.399759,0.419395,0.398377,0.451715,0.432914,0.412103,0.394961,0.389168,0.434279,0.416636,0.441043,0.391046,0.473381,0.380403,0.401692,0.402772,0.419984,0.423947,0.399157,0.423017
0.500000,0.474274,0.360214,0.407371,0.417725,0.440579,0.421581,0.463991,0.450265,0.423834,0.412373,0.420788,0.454464,0.441538,0.468633,0.408809,0.495031,0.399198,0.419145,0.427610,0.445753,0.444815,0.416866,0.428596
