X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.015715,0.012146,0.014477,0.013919,0.013599,0.013315,0.016235,0.016068,0.015977,0.010245,0.010815,0.013726,0.015830,0.016425,0.014140,0.017180,0.013923,0.010269,0.014069,0.014942,0.015514,0.014359,0.013738
0.040000,0.031604,0.024541,0.029146,0.028045,0.027412,0.026852,0.032619,0.032279,0.032117,0.020904,0.022047,0.027774,0.031812,0.032996,0.028481,0.034466,0.028053,0.020945,0.028340,0.030063,0.031189,0.028914,0.027688
0.060000,0.047668,0.037188,0.044008,0.042380,0.041443,0.040614,0.049153,0.048636,0.048422,0.031991,0.033707,0.042150,0.047947,0.049713,0.043025,0.051860,0.042391,0.032040,0.042817,0.045364,0.047027,0.043665,0.041851
0.080000,0.063906,0.050091,0.059066,0.056926,0.055695,0.054604,0.065837,0.065138,0.064890,0.043519,0.045807,0.056855,0.064235,0.066575,0.057775,0.069361,0.056941,0.043565,0.057500,0.060846,0.063028,0.058615,0.056231
0.100000,0.080319,0.063255,0.074321,0.071686,0.070169,0.068824,0.082671,0.081788,0.081522,0.055499,0.058359,0.071892,0.080677,0.083582,0.072731,0.086971,0.071704,0.055533,0.072393,0.076511,0.079195,0.073766,0.070830
0.120000,0.096907,0.076682,0.089775,0.086661,0.084868,0.083277,0.099657,0.098585,0.098318,0.067945,0.071373,0.087266,0.097276,0.100735,0.087897,0.104689,0.086683,0.067955,0.087498,0.092361,0.095528,0.089119,0.085650
0.140000,0.113669,0.090378,0.105431,0.101856,0.099795,0.097967,0.116794,0.115530,0.115278,0.080869,0.084861,0.102977,0.114031,0.118034,0.103275,0.122517,0.101881,0.080844,0.102816,0.108398,0.112028,0.104678,0.100693
0.160000,0.130606,0.104346,0.121290,0.117271,0.114953,0.112896,0.134084,0.132626,0.132402,0.094282,0.098834,0.119029,0.130944,0.135478,0.118866,0.140454,0.117299,0.094210,0.118351,0.124623,0.128698,0.120444,0.115963
0.180000,0.147717,0.118590,0.137354,0.132909,0.130344,0.128066,0.151527,0.149872,0.149690,0.108198,0.113301,0.135422,0.148017,0.153068,0.134674,0.158502,0.132941,0.108066,0.134104,0.141037,0.145537,0.136418,0.131462
