X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.000000,0.000923,0.000282,0.000229,0.000230,0.000282,0.000341,0.000364,0.000633,0.000631,0.000172,0.000289,0.000468,0.000404,0.000352,0.000348,0.000294,0.000232,0.000288,0.000227,0.000459,0.000345,0.000289,0.000745
0.020000,0.008646,0.008734,0.002714,0.006649,0.007645,0.010243,0.008183,0.021127,0.016514,0.016768,0.010753,0.002933,0.006831,0.008559,0.009972,0.011445,0.006831,0.006042,0.010652,0.007163,0.009485,0.008837,0.010324
0.040000,0.026393,0.009740,0.027027,0.017544,0.020202,0.007168,0.032787,0.021505,0.039855,0.015244,0.008929,0.010989,0.015106,0.025352,0.018617,0.020588,0.022535,0.023121,0.009646,0.020772,0.012821,0.018750,0.037901
0.060000,0.023148,0.035714,0.013825,0.013393,0.019417,0.017341,0.026178,0.011364,0.015152,0.026738,0.026667,0.029268,0.024272,0.024793,0.036036,0.009091,0.018779,0.033493,0.010417,0.015075,0.038462,0.027778,0.044554
0.080000,0.033333,0.059603,0.062147,0.018868,0.022901,0.024096,0.025316,0.020270,0.046358,0.028169,0.006211,0.018405,0.042945,0.030864,0.042424,0.037037,0.012048,0.029762,0.041096,0.038961,0.032967,0.044693,0.048780
0.100000,0.024793,0.071429,0.066225,0.058394,0.030769,0.071429,0.055172,0.051724,0.040323,0.025641,0.024793,0.056738,0.040816,0.038760,0.034483,0.081967,0.038168,0.061538,0.038168,0.015625,0.024194,0.039735,0.049587
0.120000,0.038095,0.062500,0.066667,0.037383,0.042373,0.032258,0.060345,0.064815,0.052174,0.105263,0.037383,0.087379,0.041667,0.072581,0.079545,0.065574,0.062500,0.031250,0.059322,0.096491,0.036036,0.071429,0.052632
0.140000,0.029412,0.073171,0.068182,0.065041,0.075949,0.049383,0.057143,0.090000,0.067308,0.094118,0.122642,0.051282,0.080460,0.085714,0.061856,0.042735,0.030928,0.045977,0.056180,0.072289,0.011364,0.017391,0.087379
0.160000,0.063830,0.116883,0.087912,0.036364,0.086538,0.038095,0.089888,0.037037,0.089744,0.064516,0.070707,0.070707,0.059524,0.113402,0.046512,0.125000,0.126984,0.045977,0.056075,0.060000,0.112500,0.060976,0.071429
0.180000,0.048780,0.071429,0.000000,0.064103,0.045977,0.116279,0.168675,0.058140,0.070423,0.071429,0.098592,0.097826,0.104651,0.115789,0.058140,0.103093,0.025000,0.123077,0.062500,0.059701,0.113636,0.134021,0.098592
0.200000,0.112903,0.067568,0.101266,0.084337,0.067568,0.141026,0.128205,0.160000,0.070423,0.048780,0.070423,0.148148,0.051282,0.113636,0.123457,0.113636,0.114943,0.067568,0.045977,0.088235,0.100000,0.050633,0.152542
0.220000,0.140845,0.070588,0.086420,0.038462,0.068182,0.038462,0.068966,0.069444,0.122807,0.067797,0.169231,0.194444,0.128571,0.108434,0.103896,0.137500,0.093333,0.144737,0.137500,0.057143,0.070423,0.072464,0.059701
0.240000,0.134328,0.118644,0.097222,0.121951,0.114286,0.093333,0.148649,0.173913,0.119403,0.095238,0.214286,0.129412,0.190476,0.146667,0.130435,0.141026,0.185714,0.126761,0.173333,0.151515,0.076923,0.095238,0.048387
0.260000,0.188235,0.112903,0.147059,0.136986,0.076923,0.059701,0.169811,0.186667,0.142857,0.129630,0.114286,0.129032,0.136364,0.200000,0.150943,0.138889,0.152542,0.072464,0.106061,0.161765,0.202247,0.145161,0.142857
0.280000,0.182927,0.150000,0.180328,0.129630,0.111111,0.079365,0.238806,0.083333,0.213115,0.177215,0.147059,0.135135,0.184615,0.134328,0.105263,0.144928,0.200000,0.129032,0.180556,0.169014,0.242424,0.117647,0.129630
0.300000,0.125000,0.269841,0.118421,0.213115,0.183333,0.180556,0.269231,0.206897,0.232143,0.163265,0.164384,0.214286,0.197183,0.159420,0.127273,0.152778,0.206349,0.137931,0.215385,0.152542,0.098592,0.140625,0.142857
0.320000,0.254545,0.148148,0.140845,0.175439,0.138889,0.200000,0.229508,0.192982,0.177419,0.200000,0.101695,0.259740,0.153846,0.233333,0.233333,0.197183,0.185714,0.125000,0.241935,0.177215,0.238806,0.219178,0.241935
0.340000,0.203704,0.226415,0.333333,0.193548,0.183333,0.259740,0.295082,0.274194,0.354167,0.180328,0.242424,0.196721,0.272727,0.250000,0.269841,0.220339,0.227273,0.186667,0.164179,0.213333,0.216667,0.161290,0.238806
0.360000,0.283019,0.150685,0.166667,0.253731,0.170213,0.253521,0.303030,0.327586,0.384615,0.209677,0.176471,0.261538,0.229508,0.278689,0.232877,0.333333,0.192308,0.223881,0.288136,0.196970,0.212121,0.383333,0.206349
0.380000,0.269231,0.216667,0.370370,0.250000,0.258065,0.212121,0.400000,0.358209,0.322034,0.241379,0.272727,0.337838,0.239437,0.333333,0.186441,0.360656,0.253333,0.266667,0.321429,0.267857,0.325581,0.235294,0.264151
0.400000,0.363636,0.322581,0.333333,0.244444,0.291667,0.303030,0.378788,0.206897,0.344262,0.317460,0.259259,0.306667,0.301370,0.340426,0.270833,0.343750,0.280702,0.345455,0.211268,0.291667,0.242424,0.384615,0.357143
0.420000,0.380952,0.270833,0.245283,0.264706,0.403226,0.328571,0.340426,0.333333,0.373134,0.228070,0.150000,0.353846,0.367347,0.333333,0.333333,0.333333,0.358209,0.233766,0.187500,0.267606,0.342466,0.229508,0.338462
0.440000,0.367647,0.210526,0.370968,0.367647,0.338028,0.222222,0.382353,0.352113,0.384615,0.338462,0.370968,0.448276,0.385965,0.313433,0.433333,0.372093,0.298246,0.369863,0.363636,0.294118,0.294118,0.290909,0.452830
0.460000,0.428571,0.368421,0.338462,0.393443,0.381818,0.375000,0.500000,0.533333,0.418182,0.328125,0.353846,0.430556,0.360000,0.428571,0.369863,0.384615,0.275862,0.388889,0.487179,0.446429,0.486111,0.380282,0.362069
0.480000,0.352941,0.293103,0.392857,0.424242,0.392157,0.476190,0.412698,0.322581,0.300000,0.442308,0.419355,0.387755,0.463768,0.349206,0.355556,0.452055,0.412698,0.426230,0.354839,0.491803,0.424242,0.383333,0.408163
0.500000,0.515625,0.444444,0.447761,0.437500,0.338710,0.300000,0.345455,0.457627,0.421875,0.413793,0.362069,0.484375,0.392405,0.500000,0.472727,0.452830,0.492063,0.333333,0.491525,0.414286,0.434783,0.415385,0.378788
0.520000,0.491228,0.409091,0.456140,0.441176,0.465517,0.530612,0.426471,0.454545,0.418182,0.484375,0.355932,0.396825,0.373134,0.491803,0.304878,0.532258,0.469136,0.441558,0.276596,0.447761,0.456140,0.453125,0.466667
0.540000,0.432432,0.441176,0.460317,0.464789,0.581818,0.439394,0.609375,0.550725,0.500000,0.460317,0.500000,0.519231,0.440000,0.483871,0.450000,0.528571,0.333333,0.425000,0.555556,0.448276,0.426471,0.442623,0.454545
0.560000,0.628571,0.333333,0.508197,0.537037,0.520548,0.471698,0.523077,0.432836,0.435484,0.405797,0.540984,0.419355,0.543860,0.415385,0.539474,0.595745,0.444444,0.459459,0.561644,0.515625,0.554054,0.492958,0.468750
