X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001
0.020000,0.000005,0.000005,0.000000,0.000004,0.000002,0.000003,0.000001,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000003,0.000004,0.000001,0.000004
0.040000,0.000015,0.000045,0.000000,0.000021,0.000006,0.000020,0.000005,0.000000,0.000000,0.000003,0.000001,0.000001,0.000001,0.000001,0.000004,0.000000,0.000004,0.000003,0.000009,0.000017,0.000017,0.000006,0.000019
0.060000,0.000045,0.000232,0.000001,0.000078,0.000018,0.000090,0.000021,0.000000,0.000001,0.000011,0.000002,0.000005,0.000005,0.000005,0.000020,0.000001,0.000013,0.000012,0.000033,0.000062,0.000056,0.000021,0.000064
0.080000,0.000123,0.000690,0.000002,0.000203,0.000049,0.000262,0.000065,0.000000,0.000002,0.000031,0.000006,0.000020,0.000015,0.000015,0.000063,0.000004,0.000033,0.000036,0.000087,0.000165,0.000143,0.000051,0.000163
0.100000,0.000299,0.001306,0.000003,0.000401,0.000111,0.000529,0.000137,0.000000,0.000003,0.000063,0.000017,0.000054,0.000034,0.000033,0.000135,0.000009,0.000064,0.000082,0.000167,0.000341,0.000294,0.000094,0.000318
0.120000,0.000630,0.001772,0.000004,0.000640,0.000213,0.000812,0.000218,0.000000,0.000004,0.000101,0.000042,0.000103,0.000058,0.000056,0.000215,0.000014,0.000103,0.000143,0.000259,0.000577,0.000501,0.000142,0.000504
0.140000,0.001131,0.001948,0.000007,0.000884,0.000354,0.001039,0.000283,0.000000,0.000005,0.000139,0.000090,0.000150,0.000080,0.000082,0.000283,0.000019,0.000147,0.000204,0.000356,0.000847,0.000748,0.000190,0.000691
0.160000,0.001725,0.001934,0.000011,0.001120,0.000528,0.001204,0.000328,0.000001,0.000005,0.000169,0.000168,0.000184,0.000100,0.000109,0.000333,0.000023,0.000200,0.000253,0.000465,0.001134,0.001020,0.000242,0.000867
0.180000,0.002262,0.001894,0.000018,0.001368,0.000729,0.001352,0.000363,0.000001,0.000006,0.000196,0.000275,0.000205,0.000122,0.000138,0.000376,0.000027,0.000268,0.000291,0.000605,0.001448,0.001319,0.000310,0.001047
0.200000,0.002604,0.001943,0.000027,0.001665,0.000959,0.001542,0.000404,0.000001,0.000008,0.000223,0.000397,0.000222,0.000149,0.000173,0.000430,0.000031,0.000361,0.000325,0.000802,0.001815,0.001665,0.000408,0.001263
0.220000,0.002710,0.002158,0.000040,0.002058,0.001234,0.001837,0.000469,0.000001,0.000011,0.000259,0.000519,0.000244,0.000188,0.000219,0.000511,0.000037,0.000494,0.000366,0.001088,0.002272,0.002087,0.000559,0.001559
0.240000,0.002636,0.002614,0.000059,0.002601,0.001579,0.002299,0.000575,0.000002,0.000015,0.000310,0.000627,0.000281,0.000244,0.000279,0.000638,0.000046,0.000684,0.000426,0.001492,0.002858,0.002626,0.000788,0.001987
0.260000,0.002483,0.003403,0.000086,0.003347,0.002036,0.002998,0.000744,0.000002,0.000022,0.000386,0.000717,0.000341,0.000325,0.000357,0.000833,0.000058,0.000941,0.000518,0.002030,0.003602,0.003318,0.001121,0.002607
0.280000,0.002344,0.004630,0.000124,0.004344,0.002654,0.004001,0.001000,0.000003,0.000032,0.000494,0.000794,0.000437,0.000432,0.000452,0.001118,0.000076,0.001267,0.000659,0.002683,0.004514,0.004198,0.001570,0.003482
0.300000,0.002286,0.006368,0.000173,0.005621,0.003488,0.005341,0.001366,0.000004,0.000045,0.000645,0.000868,0.000579,0.000563,0.000560,0.001508,0.000101,0.001645,0.000869,0.003397,0.005574,0.005285,0.002121,0.004657
0.320000,0.002358,0.008585,0.000236,0.007173,0.004590,0.006990,0.001847,0.000005,0.000060,0.000844,0.000949,0.000777,0.000710,0.000677,0.002003,0.000133,0.002043,0.001171,0.004090,0.006727,0.006575,0.002724,0.006125
0.340000,0.002613,0.011095,0.000313,0.008963,0.005988,0.008839,0.002423,0.000006,0.000074,0.001092,0.001049,0.001034,0.000859,0.000793,0.002577,0.000170,0.002419,0.001582,0.004695,0.007898,0.008039,0.003312,0.007809
0.360000,0.003128,0.013602,0.000401,0.010931,0.007670,0.010733,0.003040,0.000007,0.000085,0.001380,0.001176,0.001340,0.000997,0.000907,0.003182,0.000212,0.002747,0.002108,0.005191,0.009017,0.009622,0.003828,0.009563
0.380000,0.004029,0.015830,0.000499,0.013016,0.009570,0.012534,0.003631,0.000009,0.000093,0.001691,0.001338,0.001670,0.001117,0.001019,0.003769,0.000256,0.003017,0.002728,0.005608,0.010041,0.011263,0.004257,0.011215
