X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000828,0.000635,0.000024,0.000602,0.000488,0.000551,0.000137,0.000001,0.000005,0.000084,0.000077,0.000077,0.000049,0.000052,0.000156,0.000011,0.000120,0.000139,0.000259,0.000471,0.000484,0.000182,0.000404
0.040000,0.001692,0.001304,0.000050,0.001236,0.001002,0.001132,0.000280,0.000001,0.000009,0.000172,0.000158,0.000157,0.000100,0.000106,0.000319,0.000023,0.000247,0.000284,0.000533,0.000966,0.000991,0.000373,0.000830
0.060000,0.002593,0.002011,0.000077,0.001904,0.001544,0.001743,0.000430,0.000002,0.000014,0.000265,0.000243,0.000241,0.000153,0.000162,0.000490,0.000036,0.000381,0.000437,0.000821,0.001484,0.001523,0.000572,0.001278
0.080000,0.003532,0.002755,0.000105,0.002607,0.002115,0.002386,0.000587,0.000002,0.000019,0.000361,0.000332,0.000329,0.000209,0.000221,0.000670,0.000049,0.000522,0.000597,0.001124,0.002027,0.002081,0.000781,0.001749
0.100000,0.004511,0.003538,0.000135,0.003346,0.002716,0.003061,0.000751,0.000003,0.000025,0.000463,0.000426,0.000422,0.000268,0.000283,0.000858,0.000063,0.000670,0.000764,0.001443,0.002596,0.002665,0.001000,0.002244
0.120000,0.005530,0.004363,0.000167,0.004123,0.003348,0.003771,0.000922,0.000004,0.000030,0.000569,0.000525,0.000518,0.000330,0.000348,0.001055,0.000077,0.000825,0.000939,0.001779,0.003192,0.003277,0.001228,0.002763
0.140000,0.006591,0.005231,0.000199,0.004939,0.004013,0.004516,0.001101,0.000004,0.000036,0.000680,0.000629,0.000619,0.000395,0.000416,0.001261,0.000092,0.000989,0.001122,0.002131,0.003816,0.003917,0.001467,0.003309
0.160000,0.007696,0.006143,0.000234,0.005796,0.004711,0.005298,0.001288,0.000005,0.000042,0.000795,0.000738,0.000724,0.000463,0.000487,0.001476,0.000108,0.001161,0.001313,0.002501,0.004468,0.004587,0.001716,0.003881
0.180000,0.008845,0.007102,0.000270,0.006696,0.005444,0.006118,0.001483,0.000006,0.000049,0.000917,0.000852,0.000835,0.000535,0.000561,0.001702,0.000125,0.001342,0.001513,0.002890,0.005150,0.005287,0.001976,0.004481
0.200000,0.010041,0.008108,0.000308,0.007639,0.006214,0.006978,0.001686,0.000006,0.000056,0.001043,0.000972,0.000950,0.000609,0.000639,0.001937,0.000142,0.001531,0.001722,0.003298,0.005863,0.006019,0.002247,0.005110
0.220000,0.011284,0.009165,0.000348,0.008628,0.007022,0.007879,0.001898,0.000007,0.000063,0.001175,0.001098,0.001070,0.000687,0.000720,0.002183,0.000160,0.001730,0.001940,0.003725,0.006608,0.006784,0.002531,0.005768
0.240000,0.012576,0.010274,0.000389,0.009665,0.007869,0.008824,0.002120,0.000008,0.000070,0.001313,0.001229,0.001195,0.000769,0.000804,0.002440,0.000179,0.001938,0.002168,0.004174,0.007386,0.007583,0.002826,0.006458
0.260000,0.013918,0.011438,0.000433,0.010751,0.008758,0.009812,0.002350,0.000009,0.000077,0.001458,0.001367,0.001326,0.000854,0.000892,0.002708,0.000199,0.002157,0.002405,0.004643,0.008198,0.008417,0.003134,0.007180
0.280000,0.015313,0.012657,0.000478,0.011889,0.009688,0.010847,0.002591,0.000010,0.000085,0.001608,0.001511,0.001462,0.000944,0.000984,0.002988,0.000220,0.002385,0.002653,0.005136,0.009045,0.009288,0.003455,0.007936
0.300000,0.016762,0.013935,0.000526,0.013080,0.010664,0.011930,0.002841,0.000011,0.000094,0.001764,0.001662,0.001605,0.001037,0.001079,0.003280,0.000242,0.002625,0.002912,0.005651,0.009930,0.010196,0.003790,0.008727
0.320000,0.018266,0.015274,0.000575,0.014326,0.011685,0.013062,0.003102,0.000012,0.000102,0.001928,0.001820,0.001753,0.001134,0.001179,0.003585,0.000264,0.002876,0.003181,0.006190,0.010852,0.011144,0.004138,0.009553
0.340000,0.019827,0.016677,0.000627,0.015630,0.012753,0.014247,0.003373,0.000013,0.000111,0.002098,0.001985,0.001907,0.001236,0.001283,0.003902,0.000288,0.003138,0.003462,0.006755,0.011814,0.012132,0.004501,0.010417
0.360000,0.021448,0.018145,0.000682,0.016993,0.013872,0.015485,0.003656,0.000014,0.000120,0.002275,0.002158,0.002068,0.001342,0.001391,0.004233,0.000313,0.003413,0.003755,0.007345,0.012816,0.013161,0.004878,0.011320
0.380000,0.023129,0.019681,0.000739,0.018418,0.015042,0.016778,0.003949,0.000015,0.000130,0.002460,0.002338,0.002236,0.001453,0.001504,0.004578,0.000338,0.003700,0.004059,0.007963,0.013861,0.014234,0.005271,0.012263
0.400000,0.024873,0.021289,0.000798,0.019908,0.016265,0.018129,0.004255,0.000016,0.000140,0.002653,0.002526,0.002410,0.001568,0.001621,0.004937,0.000365,0.004000,0.004377,0.008608,0.014949,0.015352,0.005680,0.013248
0.420000,0.026681,0.022970,0.000860,0.021464,0.017544,0.019540,0.004573,0.000017,0.000150,0.002853,0.002723,0.002592,0.001689,0.001743,0.005311,0.000393,0.004314,0.004707,0.009282,0.016082,0.016517,0.006105,0.014276
0.440000,0.028556,0.024727,0.000924,0.023089,0.018881,0.021013,0.004903,0.000018,0.000161,0.003061,0.002929,0.002780,0.001815,0.001870,0.005701,0.000422,0.004642,0.005051,0.009987,0.017262,0.017729,0.006547,0.015350
0.460000,0.030500,0.026564,0.000992,0.024786,0.020277,0.022550,0.005247,0.000020,0.000172,0.003278,0.003143,0.002977,0.001946,0.002003,0.006106,0.000453,0.004985,0.005408,0.010723,0.018490,0.018991,0.007007,0.016469
0.480000,0.032515,0.028484,0.001062,0.026557,0.021735,0.024155,0.005604,0.000021,0.000184,0.003504,0.003367,0.003181,0.002082,0.002140,0.006528,0.000484,0.005342,0.005780,0.011491,0.019768,0.020305,0.007484,0.017637
0.500000,0.034602,0.030489,0.001135,0.028405,0.023258,0.025828,0.005975,0.000022,0.000196,0.003739,0.003600,0.003394,0.002224,0.002283,0.006967,0.000517,0.005716,0.006167,0.012293,0.021098,0.021671,0.007981,0.018855
0.520000,0.036764,0.032584,0.001211,0.030334,0.024848,0.027573,0.006360,0.000024,0.000209,0.003983,0.003843,0.003614,0.002372,0.002432,0.007424,0.000552,0.006105,0.006569,0.013130,0.022481,0.023093,0.008497,0.020125
0.540000,0.039004,0.034770,0.001291,0.032346,0.026508,0.029392,0.006760,0.000025,0.000222,0.004236,0.004097,0.003844,0.002527,0.002586,0.007899,0.000587,0.006512,0.006988,0.014003,0.023920,0.024571,0.009032,0.021449
0.560000,0.041324,0.037053,0.001374,0.034443,0.028239,0.031289,0.007175,0.000027,0.000235,0.004500,0.004362,0.004082,0.002687,0.002746,0.008392,0.000625,0.006936,0.007422,0.014913,0.025415,0.026108,0.009588,0.022829
0.580000,0.043725,0.039435,0.001460,0.036630,0.030045,0.033265,0.007606,0.000028,0.000249,0.004774,0.004637,0.004330,0.002854,0.002913,0.008905,0.000663,0.007378,0.007874,0.015863,0.026970,0.027706,0.010166,0.024266
0.600000,0.046211,0.041920,0.001550,0.038910,0.031928,0.035324,0.008054,0.000030,0.000264,0.005059,0.004925,0.004587,0.003028,0.003086,0.009439,0.000704,0.007839,0.008343,0.016853,0.028586,0.029367,0.010765,0.025763
0.620000,0.048785,0.044512,0.001644,0.041285,0.033892,0.037469,0.008518,0.000032,0.000279,0.005354,0.005224,0.004855,0.003209,0.003266,0.009993,0.000746,0.008320,0.008830,0.017885,0.030265,0.031093,0.011388,0.027321
0.640000,0.051447,0.047216,0.001741,0.043760,0.035939,0.039703,0.008999,0.000033,0.000295,0.005661,0.005535,0.005132,0.003397,0.003453,0.010568,0.000789,0.008821,0.009336,0.018960,0.032009,0.032886,0.012033,0.028945
0.660000,0.054203,0.050035,0.001843,0.046338,0.038073,0.042029,0.009499,0.000035,0.000311,0.005980,0.005860,0.005420,0.003593,0.003647,0.011166,0.000834,0.009343,0.009861,0.020080,0.033820,0.034748,0.012703,0.030634
0.680000,0.057053,0.052973,0.001949,0.049022,0.040296,0.044450,0.010017,0.000037,0.000328,0.006311,0.006198,0.005719,0.003797,0.003848,0.011787,0.000882,0.009887,0.010406,0.021247,0.035702,0.036682,0.013398,0.032392
0.700000,0.060001,0.056035,0.002059,0.051818,0.042612,0.046970,0.010554,0.000039,0.000346,0.006655,0.006549,0.006029,0.004008,0.004056,0.012431,0.000931,0.010454,0.010972,0.022463,0.037655,0.038691,0.014118,0.034222
0.720000,0.063051,0.059226,0.002173,0.054728,0.045025,0.049593,0.011111,0.000041,0.000364,0.007011,0.006915,0.006351,0.004228,0.004273,0.013101,0.000981,0.011044,0.011559,0.023728,0.039683,0.040775,0.014866,0.036126
0.740000,0.066203,0.062550,0.002292,0.057757,0.047537,0.052321,0.011689,0.000043,0.000383,0.007381,0.007296,0.006684,0.004457,0.004497,0.013795,0.001034,0.011658,0.012169,0.025046,0.041788,0.042940,0.015640,0.038106
0.760000,0.069463,0.066013,0.002415,0.060909,0.050153,0.055159,0.012287,0.000045,0.000402,0.007765,0.007692,0.007031,0.004694,0.004730,0.014516,0.001089,0.012297,0.012801,0.026417,0.043972,0.045185,0.016443,0.040165
0.780000,0.072833,0.069619,0.002544,0.064188,0.052877,0.058111,0.012907,0.000047,0.000422,0.008162,0.008104,0.007389,0.004941,0.004972,0.015263,0.001146,0.012963,0.013456,0.027844,0.046238,0.047516,0.017275,0.042306
0.800000,0.076317,0.073374,0.002678,0.067600,0.055711,0.061181,0.013549,0.000050,0.000443,0.008575,0.008533,0.007762,0.005197,0.005222,0.016039,0.001205,0.013655,0.014136,0.029329,0.048589,0.049934,0.018138,0.044532
0.820000,0.079916,0.077283,0.002817,0.071148,0.058661,0.064373,0.014215,0.000052,0.000465,0.009003,0.008978,0.008147,0.005463,0.005482,0.016844,0.001267,0.014376,0.014841,0.030874,0.051028,0.052442,0.019031,0.046845
0.840000,0.083636,0.081352,0.002961,0.074838,0.061730,0.067690,0.014904,0.000055,0.000487,0.009447,0.009441,0.008547,0.005740,0.005751,0.017678,0.001331,0.015125,0.015571,0.032481,0.053558,0.055043,0.019957,0.049250
0.860000,0.087480,0.085587,0.003111,0.078675,0.064923,0.071139,0.015618,0.000057,0.000510,0.009907,0.009922,0.008962,0.006027,0.006030,0.018543,0.001397,0.015905,0.016329,0.034152,0.056181,0.057741,0.020916,0.051749
0.880000,0.091450,0.089993,0.003267,0.082664,0.068244,0.074723,0.016357,0.000060,0.000534,0.010383,0.010423,0.009391,0.006324,0.006319,0.019440,0.001466,0.016716,0.017114,0.035889,0.058900,0.060538,0.021909,0.054345
0.900000,0.095551,0.094577,0.003429,0.086811,0.071699,0.078446,0.017122,0.000062,0.000559,0.010877,0.010942,0.009836,0.006634,0.006619,0.020370,0.001537,0.017559,0.017927,0.037696,0.061719,0.063437,0.022937,0.057042
0.920000,0.099787,0.099346,0.003597,0.091120,0.075290,0.082315,0.017915,0.000065,0.000585,0.011389,0.011483,0.010297,0.006954,0.006929,0.021334,0.001611,0.018435,0.018770,0.039574,0.064642,0.066443,0.024002,0.059843
0.940000,0.104162,0.104306,0.003771,0.095598,0.079024,0.086333,0.018735,0.000068,0.000611,0.011920,0.012044,0.010775,0.007287,0.007250,0.022333,0.001688,0.019346,0.019643,0.041526,0.067670,0.069558,0.025104,0.062752
0.960000,0.108679,0.109464,0.003953,0.100251,0.082906,0.090507,0.019583,0.000071,0.000639,0.012469,0.012626,0.011269,0.007633,0.007583,0.023368,0.001767,0.020293,0.020548,0.043554,0.070809,0.072787,0.026246,0.065773
0.980000,0.113343,0.114827,0.004141,0.105084,0.086941,0.094841,0.020462,0.000074,0.000667,0.013038,0.013231,0.011781,0.007991,0.007928,0.024441,0.001850,0.021277,0.021484,0.045662,0.074060,0.076132,0.027427,0.068909
1.000000,0.118157,0.120403,0.004336,0.110105,0.091134,0.099342,0.021370,0.000077,0.000697,0.013628,0.013860,0.012311,0.008362,0.008285,0.025552,0.001936,0.022300,0.022455,0.047851,0.077429,0.079597,0.028649,0.072164
