X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000003,0.000002,0.000000,0.000005,0.000005,0.000009,0.000001,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000002,0.000002,0.000001,0.000004
0.040000,0.000031,0.000028,0.000001,0.000021,0.000018,0.000005,0.000018,0.000000,0.000000,0.000007,0.000002,0.000002,0.000000,0.000001,0.000003,0.000000,0.000010,0.000003,0.000009,0.000031,0.000028,0.000005,0.000036
0.060000,0.000083,0.000158,0.000001,0.000037,0.000141,0.000105,0.000022,0.000000,0.000000,0.000029,0.000021,0.000007,0.000003,0.000003,0.000007,0.000000,0.000016,0.000023,0.000012,0.000042,0.000226,0.000017,0.000050
0.080000,0.000049,0.000570,0.000006,0.000084,0.000028,0.000098,0.000030,0.000000,0.000002,0.000011,0.000000,0.000007,0.000021,0.000008,0.000059,0.000002,0.000011,0.000006,0.000109,0.000225,0.000056,0.000041,0.000293
0.100000,0.000149,0.000819,0.000016,0.000787,0.000561,0.000617,0.000090,0.000000,0.000003,0.000019,0.000031,0.000026,0.000029,0.000018,0.000054,0.000020,0.000058,0.000095,0.000073,0.000051,0.000211,0.000069,0.000051
0.120000,0.000417,0.001003,0.000013,0.000420,0.000386,0.000675,0.000184,0.000000,0.000004,0.000081,0.000059,0.000108,0.000016,0.000035,0.000339,0.000009,0.000093,0.000083,0.000277,0.000951,0.000410,0.000160,0.000589
0.140000,0.000563,0.002734,0.000005,0.000477,0.001432,0.000566,0.000163,0.000000,0.000002,0.000204,0.000195,0.000062,0.000065,0.000072,0.000243,0.000007,0.000064,0.000078,0.000274,0.000700,0.000048,0.000042,0.000371
0.160000,0.001389,0.003059,0.000017,0.000828,0.000000,0.000541,0.000171,0.000000,0.000010,0.000131,0.000220,0.000049,0.000057,0.000104,0.000152,0.000029,0.000177,0.000126,0.000316,0.000688,0.003115,0.000131,0.000355
0.180000,0.001310,0.002024,0.000000,0.001568,0.001047,0.002888,0.000569,0.000001,0.000003,0.000184,0.000214,0.000153,0.000161,0.000128,0.000288,0.000015,0.000080,0.000614,0.000748,0.000963,0.000848,0.000927,0.001538
0.200000,0.003335,0.000678,0.000101,0.001466,0.001895,0.003184,0.000311,0.000001,0.000005,0.000044,0.000275,0.000267,0.000039,0.000193,0.000631,0.000042,0.000641,0.000310,0.000290,0.001708,0.001592,0.000248,0.003387
0.220000,0.003504,0.000850,0.000073,0.000847,0.001997,0.000695,0.000109,0.000001,0.000011,0.000179,0.000352,0.000319,0.000276,0.000153,0.000210,0.000048,0.000359,0.000361,0.001361,0.001361,0.001868,0.000712,0.000994
0.240000,0.007469,0.004081,0.000126,0.003197,0.002083,0.002225,0.000657,0.000004,0.000016,0.000366,0.000636,0.000371,0.000410,0.000164,0.001183,0.000055,0.001380,0.000837,0.001746,0.002933,0.002041,0.000764,0.000727
0.260000,0.008897,0.003750,0.000132,0.002623,0.001348,0.001779,0.001134,0.000004,0.000013,0.000673,0.000428,0.000405,0.000270,0.000481,0.001421,0.000035,0.000850,0.000232,0.001450,0.003955,0.006439,0.000800,0.003436
0.280000,0.006578,0.005312,0.000107,0.007556,0.003522,0.002729,0.002140,0.000002,0.000051,0.000763,0.000897,0.000362,0.000662,0.000539,0.000504,0.000061,0.001394,0.000966,0.002991,0.007270,0.006754,0.000907,0.002462
0.300000,0.004923,0.012996,0.000171,0.009662,0.005569,0.008541,0.001328,0.000004,0.000032,0.000774,0.000844,0.000851,0.000638,0.000464,0.001041,0.000094,0.000947,0.000664,0.003865,0.004832,0.002803,0.001791,0.003639
0.320000,0.005013,0.004459,0.000190,0.005151,0.004663,0.004967,0.001471,0.000003,0.000037,0.000743,0.000542,0.000799,0.000508,0.000586,0.002104,0.000104,0.001462,0.000802,0.004288,0.008444,0.007603,0.003140,0.009523
0.340000,0.000000,0.011225,0.000304,0.003996,0.004641,0.011289,0.002102,0.000004,0.000085,0.001053,0.001280,0.000387,0.000760,0.000720,0.003310,0.000128,0.002816,0.001006,0.003535,0.008259,0.004927,0.002446,0.011202
0.360000,0.007868,0.010367,0.000348,0.009977,0.005475,0.015111,0.002286,0.000009,0.000092,0.001072,0.001136,0.001073,0.000533,0.000770,0.002975,0.000196,0.001987,0.001749,0.002903,0.005931,0.006030,0.004576,0.006205
0.380000,0.006817,0.010435,0.000535,0.015292,0.012664,0.008677,0.003419,0.000010,0.000085,0.001354,0.000796,0.002003,0.000858,0.000716,0.001962,0.000314,0.003193,0.002794,0.009399,0.006481,0.014397,0.004314,0.007262
