X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000013,0.000002,0.000032,0.000004,0.000004,0.000002,0.000002,0.000005,0.000005,0.000005,0.000004,0.000000,0.000001,0.000002,0.000001,0.000003,0.000005,0.000002,0.000002,0.000006,0.000008,0.000004,0.000008
0.020000,0.000041,0.000038,0.000060,0.000036,0.000016,0.000027,0.000029,0.000033,0.000049,0.000040,0.000014,0.000005,0.000010,0.000020,0.000020,0.000027,0.000035,0.000017,0.000028,0.000043,0.000047,0.000036,0.000053
0.040000,0.000127,0.000370,0.000110,0.000192,0.000063,0.000200,0.000215,0.000150,0.000289,0.000216,0.000045,0.000055,0.000100,0.000136,0.000162,0.000171,0.000176,0.000114,0.000178,0.000220,0.000209,0.000203,0.000257
0.060000,0.000380,0.001926,0.000201,0.000706,0.000202,0.000906,0.001004,0.000490,0.001039,0.000821,0.000146,0.000382,0.000546,0.000601,0.000793,0.000727,0.000605,0.000514,0.000699,0.000798,0.000701,0.000727,0.000888
0.080000,0.001041,0.005734,0.000356,0.001844,0.000542,0.002634,0.003050,0.001196,0.002439,0.002244,0.000445,0.001606,0.001827,0.001802,0.002469,0.002118,0.001498,0.001608,0.001824,0.002132,0.001801,0.001788,0.002255
0.100000,0.002535,0.010846,0.000613,0.003642,0.001219,0.005322,0.006430,0.002313,0.004129,0.004594,0.001232,0.004375,0.004105,0.003935,0.005265,0.004465,0.002876,0.003653,0.003491,0.004407,0.003689,0.003288,0.004400
0.120000,0.005336,0.014715,0.001024,0.005814,0.002332,0.008172,0.010195,0.003773,0.005596,0.007447,0.003028,0.008347,0.006890,0.006765,0.008419,0.007292,0.004609,0.006367,0.005415,0.007454,0.006298,0.004947,0.006981
0.140000,0.009571,0.016177,0.001660,0.008025,0.003883,0.010456,0.013259,0.005503,0.006706,0.010169,0.006504,0.012205,0.009568,0.009888,0.011070,0.009932,0.006608,0.009075,0.007441,0.010933,0.009399,0.006621,0.009571
0.160000,0.014599,0.016065,0.002624,0.010171,0.005796,0.012117,0.015351,0.007538,0.007731,0.012434,0.012148,0.014961,0.012003,0.013126,0.013032,0.012106,0.008968,0.011277,0.009716,0.014648,0.012816,0.008449,0.012013
0.180000,0.019143,0.015728,0.004061,0.012421,0.008002,0.013606,0.016974,0.010048,0.009115,0.014370,0.019829,0.016667,0.014547,0.016662,0.014732,0.014028,0.011996,0.012959,0.012635,0.018701,0.016575,0.010806,0.014510
0.200000,0.022041,0.016134,0.006175,0.015118,0.010528,0.015526,0.018904,0.013322,0.011391,0.016389,0.028664,0.018016,0.017797,0.020919,0.016820,0.016185,0.016186,0.014470,0.016756,0.023439,0.020914,0.014246,0.017507
0.220000,0.022938,0.017923,0.009253,0.018692,0.013537,0.018489,0.021935,0.017729,0.015241,0.019003,0.037436,0.019813,0.022445,0.026425,0.019984,0.019148,0.022173,0.016296,0.022731,0.029342,0.026226,0.019510,0.021605
0.240000,0.022311,0.021709,0.013675,0.023622,0.017330,0.023141,0.026911,0.023660,0.021584,0.022769,0.045212,0.022801,0.029226,0.033685,0.024962,0.023542,0.030657,0.018966,0.031180,0.036906,0.032985,0.027504,0.027529
0.260000,0.021015,0.028261,0.019914,0.030399,0.022343,0.030183,0.034824,0.031440,0.031508,0.028301,0.051716,0.027733,0.038824,0.043042,0.032593,0.030053,0.042183,0.023076,0.042416,0.046517,0.041683,0.039122,0.036126
0.280000,0.019839,0.038453,0.028496,0.039455,0.029122,0.040275,0.046814,0.041205,0.045848,0.036271,0.057283,0.035478,0.051616,0.054507,0.043741,0.039399,0.056804,0.029358,0.056079,0.058301,0.052741,0.054816,0.048256
0.300000,0.019347,0.052888,0.039909,0.051047,0.038275,0.053767,0.063901,0.052824,0.064419,0.047337,0.062604,0.046990,0.067340,0.067648,0.059029,0.052165,0.073778,0.038714,0.070984,0.071988,0.066397,0.074048,0.064527
0.320000,0.019959,0.071300,0.054469,0.065145,0.050363,0.070361,0.086416,0.065920,0.085392,0.061956,0.068480,0.063082,0.084915,0.081675,0.078409,0.068540,0.091598,0.052137,0.085464,0.086877,0.082607,0.095093,0.084871
0.340000,0.022116,0.092147,0.072167,0.081405,0.065703,0.088973,0.113361,0.080039,0.105671,0.080130,0.075673,0.083966,0.102707,0.095763,0.100857,0.088080,0.108497,0.070451,0.098118,0.102005,0.100990,0.115593,0.108207
0.360000,0.026473,0.112969,0.092592,0.099282,0.084157,0.108040,0.142266,0.094892,0.122348,0.101232,0.084841,0.108805,0.119184,0.109467,0.124538,0.109725,0.123174,0.093858,0.108485,0.116456,0.120886,0.133635,0.132511
0.380000,0.034102,0.131475,0.114982,0.118216,0.105009,0.126175,0.169909,0.110537,0.134166,0.124080,0.096504,0.135644,0.133566,0.122997,0.147487,0.132152,0.135293,0.121500,0.117197,0.129684,0.141494,0.148591,0.155414
0.400000,0.046699,0.146602,0.138418,0.137803,0.127086,0.142761,0.193567,0.127406,0.141921,0.147274,0.111009,0.161960,0.146066,0.137224,0.168402,0.154289,0.145505,0.151348,0.125658,0.141688,0.162056,0.161230,0.175036
0.420000,0.066681,0.158833,0.162095,0.157844,0.149107,0.158127,0.211985,0.146202,0.147838,0.169659,0.128483,0.185580,0.157681,0.153472,0.187059,0.175685,0.155119,0.180664,0.135561,0.152983,0.181998,0.173226,0.190570
0.440000,0.096928,0.169780,0.185538,0.178266,0.170140,0.173322,0.225565,0.167687,0.154621,0.190654,0.148807,0.205410,0.169759,0.173194,0.204203,0.196532,0.165682,0.206859,0.148501,0.164444,0.200997,0.186502,0.202373
0.460000,0.139823,0.181498,0.208709,0.198995,0.189915,0.189683,0.235941,0.192439,0.164791,0.210338,0.171650,0.221636,0.183597,0.197618,0.221126,0.217426,0.178641,0.228303,0.165704,0.177104,0.218991,0.202692,0.211664
0.480000,0.195581,0.195907,0.231952,0.219843,0.208902,0.208432,0.245332,0.220625,0.180386,0.229312,0.196573,0.235468,0.200158,0.227330,0.239194,0.239000,0.195141,0.244700,0.187804,0.192006,0.236150,0.222789,0.220091
0.500000,0.260849,0.214439,0.255854,0.240510,0.228157,0.230362,0.255993,0.251851,0.202816,0.248479,0.223181,0.248686,0.219913,0.261864,0.259477,0.261617,0.215896,0.257025,0.214623,0.210090,0.252861,0.246914,0.229352
0.520000,0.329092,0.237831,0.281031,0.260688,0.249048,0.255646,0.269890,0.285190,0.232651,0.268816,0.251255,0.263225,0.242804,0.299481,0.282527,0.285195,0.241097,0.267170,0.245057,0.232139,0.269719,0.274249,0.240974
0.540000,0.393022,0.265999,0.307920,0.280264,0.272932,0.283784,0.288534,0.319404,0.269332,0.291208,0.280799,0.280878,0.268333,0.337391,0.308307,0.309231,0.270370,0.277530,0.277257,0.258722,0.287513,0.303222,0.256202
0.560000,0.447251,0.298037,0.336595,0.299514,0.300841,0.313738,0.312896,0.353331,0.311041,0.316322,0.311972,0.303105,0.295782,0.372512,0.336245,0.333006,0.302837,0.290641,0.309186,0.290138,0.307203,0.331999,0.275975
0.580000,0.489392,0.332419,0.366649,0.319221,0.333171,0.344250,0.343307,0.386251,0.355063,0.344527,0.344915,0.330879,0.324529,0.402451,0.365438,0.355914,0.337301,0.308908,0.339347,0.326343,0.329842,0.359171,0.300885
0.600000,0.519585,0.367431,0.397190,0.340634,0.369418,0.374245,0.379341,0.418073,0.398625,0.375829,0.379531,0.364505,0.354323,0.426231,0.394915,0.377779,0.372516,0.334364,0.367317,0.366853,0.356421,0.384307,0.331118
0.620000,0.539471,0.401649,0.426976,0.365272,0.408079,0.403148,0.419722,0.449268,0.439782,0.409817,0.415282,0.403435,0.385388,0.444499,0.423896,0.399038,0.407421,0.368351,0.393848,0.410666,0.387637,0.408161,0.366354
0.640000,0.551333,0.434261,0.454666,0.394558,0.446834,0.430988,0.462383,0.480578,0.477870,0.445662,0.451115,0.446155,0.418285,0.459242,0.451931,0.420706,0.441252,0.411052,0.420517,0.456226,0.423590,0.432427,0.405671
0.660000,0.557606,0.465074,0.479139,0.429346,0.483030,0.458238,0.504727,0.512620,0.513325,0.482163,0.485557,0.490299,0.453569,0.473203,0.478883,0.444120,0.473478,0.460985,0.449103,0.501505,0.463491,0.459174,0.447524
0.680000,0.560652,0.494272,0.499786,0.469412,0.514330,0.485500,0.544062,0.545507,0.547098,0.517893,0.517002,0.533029,0.491340,0.489178,0.504790,0.470536,0.503667,0.514817,0.480870,0.544232,0.505539,0.490105,0.489864
0.700000,0.562696,0.522052,0.516718,0.513114,0.539277,0.513152,0.578079,0.578641,0.579948,0.551427,0.544090,0.571626,0.530879,0.509336,0.529693,0.500661,0.531352,0.567916,0.515957,0.582239,0.547116,0.525818,0.530426
0.720000,0.565840,0.548348,0.530864,0.557504,0.557620,0.541108,0.605205,0.610782,0.611938,0.581613,0.566077,0.604053,0.570559,0.534666,0.553522,0.534272,0.556015,0.615598,0.553087,0.613828,0.585347,0.565317,0.567128
0.740000,0.572107,0.572744,0.543972,0.599022,0.570410,0.568797,0.624792,0.640404,0.642296,0.607835,0.583117,0.629312,0.608162,0.564701,0.576104,0.570100,0.577213,0.654433,0.589787,0.638052,0.617823,0.606042,0.598475
0.760000,0.583493,0.594675,0.558508,0.634562,0.579970,0.595413,0.637190,0.666230,0.669702,0.630230,0.596421,0.647590,0.641531,0.597670,0.597338,0.606106,0.594848,0.682926,0.623150,0.654897,0.643210,0.644598,0.623862
0.780000,0.601948,0.613830,0.577439,0.662401,0.589758,0.620387,0.643841,0.687763,0.692896,0.649837,0.608318,0.660290,0.669290,0.631132,0.617485,0.640161,0.609520,0.701519,0.650839,0.665416,0.661589,0.677928,0.643765
0.800000,0.629227,0.630692,0.603848,0.682711,0.604093,0.643930,0.647444,0.705705,0.711359,0.668685,0.622195,0.670079,0.691406,0.662978,0.637515,0.670883,0.622901,0.712373,0.671964,0.671912,0.674616,0.704400,0.659865
0.820000,0.666495,0.647064,0.640303,0.697749,0.627625,0.667507,0.652136,0.722206,0.725914,0.689740,0.642200,0.680915,0.709501,0.692392,0.659391,0.698343,0.638037,0.719297,0.687636,0.678140,0.685603,0.724441,0.675131
0.840000,0.713623,0.666429,0.687878,0.711894,0.664341,0.694052,0.663446,0.740889,0.739187,0.716579,0.672550,0.697834,0.726978,0.720465,0.686130,0.724420,0.659407,0.727771,0.701283,0.689331,0.699469,0.740792,0.693768
0.860000,0.768340,0.693858,0.744962,0.731395,0.715919,0.727629,0.687667,0.766378,0.755787,0.752511,0.716192,0.726135,0.748801,0.750238,0.721346,0.752718,0.692365,0.744528,0.718681,0.711638,0.722198,0.758500,0.720725
0.880000,0.825804,0.734847,0.806527,0.763112,0.779539,0.772050,0.730040,0.802770,0.781703,0.798882,0.772707,0.769434,0.780439,0.785927,0.767843,0.787700,0.741323,0.775892,0.747143,0.750378,0.759196,0.784238,0.760295
0.900000,0.879501,0.792173,0.865079,0.811214,0.846740,0.827887,0.791099,0.850631,0.821876,0.852845,0.836311,0.826429,0.825180,0.830742,0.824958,0.832439,0.805976,0.824170,0.792702,0.806484,0.811962,0.823786,0.813338
0.920000,0.923623,0.860722,0.913637,0.871834,0.906064,0.888808,0.862176,0.903700,0.875242,0.906450,0.896508,0.888160,0.879902,0.883140,0.885807,0.884875,0.876959,0.883044,0.854327,0.872187,0.874014,0.876760,0.873936
