X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.007009,0.005272,0.005625,0.005467,0.005353,0.005551,0.006400,0.006841,0.006488,0.006168,0.005541,0.006225,0.005804,0.006221,0.006094,0.005859,0.005398,0.006181,0.005422,0.006086,0.006076,0.006355,0.005605
0.040000,0.014322,0.010834,0.011546,0.011228,0.010997,0.011396,0.013101,0.013984,0.013277,0.012635,0.011375,0.012751,0.011905,0.012742,0.012487,0.012015,0.011088,0.012662,0.011137,0.012470,0.012451,0.013011,0.011505
0.060000,0.021947,0.016699,0.017773,0.017294,0.016946,0.017547,0.020114,0.021441,0.020379,0.019414,0.017516,0.019587,0.018315,0.019575,0.019191,0.018481,0.017083,0.019454,0.017157,0.019165,0.019136,0.019979,0.017712
0.080000,0.029895,0.022880,0.024319,0.023677,0.023210,0.024016,0.027450,0.029221,0.027803,0.026514,0.023974,0.026746,0.025044,0.026729,0.026216,0.025266,0.023394,0.026568,0.023493,0.026182,0.026143,0.027269,0.024237
0.100000,0.038178,0.029389,0.031196,0.030390,0.029804,0.030816,0.035120,0.037334,0.035562,0.033948,0.030763,0.034238,0.032106,0.034217,0.033575,0.032384,0.030034,0.034015,0.030159,0.033532,0.033483,0.034894,0.031093
0.120000,0.046804,0.036239,0.038416,0.037446,0.036740,0.037959,0.043135,0.045793,0.043666,0.041727,0.037896,0.042076,0.039512,0.042051,0.041279,0.039846,0.037018,0.041808,0.037168,0.041227,0.041168,0.042863,0.038293
0.140000,0.055786,0.043445,0.045994,0.044859,0.044032,0.045460,0.051508,0.054608,0.052128,0.049864,0.045385,0.050272,0.047276,0.050243,0.049341,0.047667,0.044357,0.049959,0.044533,0.049280,0.049212,0.051191,0.045850
0.160000,0.065134,0.051022,0.053944,0.052642,0.051694,0.053331,0.060252,0.063790,0.060959,0.058373,0.053246,0.058839,0.055411,0.058805,0.057774,0.055859,0.052067,0.058480,0.052269,0.057705,0.057627,0.059889,0.053778
0.180000,0.074861,0.058983,0.062278,0.060811,0.059741,0.061587,0.069378,0.073353,0.070173,0.067265,0.061491,0.067790,0.063931,0.067751,0.066591,0.064436,0.060162,0.067386,0.060390,0.066513,0.066425,0.068970,0.062091
