X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.000000,0.000002,0.000001,0.000002,0.000002,0.000000,0.000001,0.000000,0.000002,0.000002,0.000000,0.000001,0.000000,0.000000,0.000001,0.000001,0.000001,0.000002,0.000000,0.000001,0.000002,0.000001,0.000002,0.000002
0.020000,0.000026,0.000019,0.000011,0.000046,0.000055,0.000088,0.000029,0.000028,0.000061,0.000108,0.000025,0.000007,0.000026,0.000013,0.000034,0.000031,0.000006,0.000019,0.000010,0.000024,0.000027,0.000028,0.000054
0.040000,0.000265,0.000236,0.000254,0.000193,0.000200,0.000046,0.000860,0.000215,0.000391,0.000544,0.000138,0.000172,0.000040,0.000136,0.000118,0.000135,0.000457,0.000130,0.000198,0.000405,0.000348,0.000179,0.000494
0.060000,0.000701,0.001313,0.000258,0.000332,0.001547,0.001059,0.001029,0.000321,0.000169,0.002100,0.001535,0.000591,0.000411,0.000317,0.000284,0.000222,0.000707,0.001015,0.000244,0.000546,0.002839,0.000583,0.000691
0.080000,0.000417,0.004730,0.001412,0.000765,0.000305,0.000990,0.001418,0.000928,0.003338,0.000782,0.000000,0.000581,0.002464,0.001009,0.002306,0.000926,0.000515,0.000283,0.002283,0.002901,0.000701,0.001426,0.004065
0.100000,0.001261,0.006803,0.003731,0.007150,0.006154,0.006211,0.004190,0.002351,0.004032,0.001425,0.002220,0.002101,0.003527,0.002173,0.002129,0.010576,0.002588,0.004215,0.001527,0.000660,0.002651,0.002394,0.000708
0.120000,0.003527,0.008333,0.003077,0.003815,0.004237,0.006791,0.008621,0.001906,0.006261,0.005958,0.004232,0.008738,0.001916,0.004208,0.013258,0.004822,0.004167,0.003708,0.005788,0.012281,0.005148,0.005580,0.008167
0.140000,0.004769,0.022708,0.001176,0.004336,0.015714,0.005698,0.007619,0.004500,0.002747,0.014939,0.014074,0.005044,0.007822,0.008717,0.009516,0.003816,0.002864,0.003470,0.005733,0.009036,0.000598,0.001449,0.005140
0.160000,0.011758,0.025409,0.003996,0.007524,0.000002,0.005442,0.007990,0.002137,0.014359,0.009609,0.015873,0.004002,0.006764,0.012600,0.005963,0.014831,0.007937,0.005607,0.006597,0.008889,0.039130,0.004573,0.004926
0.180000,0.011086,0.016807,0.000001,0.014245,0.011494,0.029070,0.026633,0.007928,0.004143,0.013514,0.015405,0.012451,0.019222,0.015439,0.011253,0.007543,0.003571,0.027350,0.015625,0.012438,0.010653,0.032350,0.021317
0.200000,0.028226,0.005631,0.023369,0.013316,0.020790,0.032051,0.014569,0.016000,0.007825,0.003252,0.019863,0.021680,0.004662,0.023310,0.024691,0.021441,0.028736,0.013821,0.006050,0.022059,0.020000,0.008645,0.046936
0.220000,0.029652,0.007059,0.016862,0.007692,0.021916,0.006993,0.005109,0.014620,0.016159,0.013122,0.025385,0.025926,0.033061,0.018457,0.008202,0.025000,0.016092,0.016082,0.028448,0.017582,0.023474,0.024845,0.013777
0.240000,0.063213,0.033898,0.029167,0.029036,0.022857,0.022400,0.030755,0.046660,0.022962,0.026862,0.045918,0.030096,0.048980,0.019820,0.046283,0.028205,0.061905,0.037283,0.036491,0.037879,0.025641,0.026667,0.010081
