#FP 	 TP 	 Thr
0.182237 	 0.999248 	 0.010000 
0.181654 	 0.999224 	 0.020000 
0.181013 	 0.999201 	 0.030000 
0.180488 	 0.999177 	 0.040000 
0.179906 	 0.999130 	 0.050000 
0.179031 	 0.999106 	 0.060000 
0.177691 	 0.999059 	 0.070000 
0.172155 	 0.998965 	 0.080000 
0.161082 	 0.998707 	 0.090000 
0.153564 	 0.998378 	 0.100000 
0.150125 	 0.998284 	 0.110000 
0.147969 	 0.998166 	 0.120000 
0.146803 	 0.998119 	 0.130000 
0.145405 	 0.998119 	 0.140000 
0.143598 	 0.998095 	 0.150000 
0.142433 	 0.997978 	 0.160000 
0.139052 	 0.997837 	 0.170000 
0.134915 	 0.997625 	 0.180000 
0.131360 	 0.997508 	 0.190000 
0.128446 	 0.997225 	 0.200000 
0.125823 	 0.997131 	 0.210000 
0.124250 	 0.996967 	 0.220000 
0.122793 	 0.996873 	 0.230000 
0.121860 	 0.996826 	 0.240000 
0.120636 	 0.996685 	 0.250000 
0.119005 	 0.996520 	 0.260000 
0.116440 	 0.996402 	 0.270000 
0.113701 	 0.996144 	 0.280000 
0.111662 	 0.995838 	 0.290000 
0.109797 	 0.995579 	 0.300000 
0.107757 	 0.995368 	 0.310000 
0.106533 	 0.995133 	 0.320000 
0.105193 	 0.994945 	 0.330000 
0.103910 	 0.994780 	 0.340000 
0.103153 	 0.994568 	 0.350000 
0.101987 	 0.994310 	 0.360000 
0.099948 	 0.993863 	 0.370000 
0.097616 	 0.993628 	 0.380000 
0.095518 	 0.993158 	 0.390000 
0.093595 	 0.992875 	 0.400000 
0.092080 	 0.992617 	 0.410000 
0.090798 	 0.992311 	 0.420000 
0.089224 	 0.992123 	 0.430000 
0.088292 	 0.991958 	 0.440000 
0.087068 	 0.991629 	 0.450000 
0.085203 	 0.991277 	 0.460000 
0.084154 	 0.991065 	 0.470000 
0.082522 	 0.990548 	 0.480000 
0.080890 	 0.990007 	 0.490000 
0.079492 	 0.989631 	 0.500000 
0.078035 	 0.989137 	 0.510000 
0.076345 	 0.988714 	 0.520000 
0.075412 	 0.988196 	 0.530000 
0.074480 	 0.987820 	 0.540000 
0.073489 	 0.987491 	 0.550000 
0.072440 	 0.987138 	 0.560000 
0.070983 	 0.986738 	 0.570000 
0.069643 	 0.986151 	 0.580000 
0.067894 	 0.985539 	 0.590000 
0.065563 	 0.984810 	 0.600000 
0.063873 	 0.984081 	 0.610000 
0.062708 	 0.983494 	 0.620000 
0.061833 	 0.982976 	 0.630000 
0.061076 	 0.982341 	 0.640000 
0.059852 	 0.981636 	 0.650000 
0.058978 	 0.981142 	 0.660000 
0.057637 	 0.980437 	 0.670000 
0.056355 	 0.979473 	 0.680000 
0.054490 	 0.978579 	 0.690000 
0.052567 	 0.977592 	 0.700000 
0.051285 	 0.976463 	 0.710000 
0.049362 	 0.974982 	 0.720000 
0.048255 	 0.973877 	 0.730000 
0.047380 	 0.972983 	 0.740000 
0.045865 	 0.972184 	 0.750000 
0.044933 	 0.971126 	 0.760000 
0.043942 	 0.969856 	 0.770000 
0.041727 	 0.968563 	 0.780000 
0.039979 	 0.967128 	 0.790000 
0.037998 	 0.965177 	 0.800000 
0.035492 	 0.962684 	 0.810000 
0.033510 	 0.960145 	 0.820000 
0.031995 	 0.957746 	 0.830000 
0.030946 	 0.955724 	 0.840000 
0.030130 	 0.954219 	 0.850000 
0.029431 	 0.952879 	 0.860000 
0.028906 	 0.951586 	 0.870000 
0.027799 	 0.949329 	 0.880000 
0.026400 	 0.945919 	 0.890000 
0.023661 	 0.940135 	 0.900000 
0.021097 	 0.930894 	 0.910000 
0.017484 	 0.917891 	 0.920000 
0.016668 	 0.909779 	 0.930000 
0.016376 	 0.906581 	 0.940000 
0.016201 	 0.905288 	 0.950000 
0.016201 	 0.904818 	 0.960000 
0.016201 	 0.904583 	 0.970000 
0.016143 	 0.904301 	 0.980000 
0.016143 	 0.904089 	 0.990000 
