#FP 	 TP 	 Thr
0.173003 	 0.999181 	 0.010000 
0.172722 	 0.999181 	 0.020000 
0.172441 	 0.999181 	 0.030000 
0.172385 	 0.999156 	 0.040000 
0.171935 	 0.999132 	 0.050000 
0.171429 	 0.999107 	 0.060000 
0.170922 	 0.999107 	 0.070000 
0.169910 	 0.999082 	 0.080000 
0.168279 	 0.999082 	 0.090000 
0.163948 	 0.998884 	 0.100000 
0.154443 	 0.998660 	 0.110000 
0.147019 	 0.998313 	 0.120000 
0.142632 	 0.998214 	 0.130000 
0.140439 	 0.998090 	 0.140000 
0.139089 	 0.998015 	 0.150000 
0.138133 	 0.997966 	 0.160000 
0.137345 	 0.997916 	 0.170000 
0.136558 	 0.997866 	 0.180000 
0.135939 	 0.997767 	 0.190000 
0.134533 	 0.997693 	 0.200000 
0.132283 	 0.997593 	 0.210000 
0.129528 	 0.997395 	 0.220000 
0.125872 	 0.997122 	 0.230000 
0.122666 	 0.996899 	 0.240000 
0.119854 	 0.996626 	 0.250000 
0.118391 	 0.996551 	 0.260000 
0.116873 	 0.996452 	 0.270000 
0.115748 	 0.996279 	 0.280000 
0.114623 	 0.996080 	 0.290000 
0.113723 	 0.996080 	 0.300000 
0.113105 	 0.995981 	 0.310000 
0.112092 	 0.995733 	 0.320000 
0.110349 	 0.995559 	 0.330000 
0.108436 	 0.995410 	 0.340000 
0.106693 	 0.995038 	 0.350000 
0.105118 	 0.994691 	 0.360000 
0.103375 	 0.994393 	 0.370000 
0.101631 	 0.994145 	 0.380000 
0.100731 	 0.993872 	 0.390000 
0.099550 	 0.993674 	 0.400000 
0.098763 	 0.993401 	 0.410000 
0.097975 	 0.993227 	 0.420000 
0.097300 	 0.993004 	 0.430000 
0.096007 	 0.992607 	 0.440000 
0.094263 	 0.992408 	 0.450000 
0.092857 	 0.992160 	 0.460000 
0.091057 	 0.991788 	 0.470000 
0.089089 	 0.991540 	 0.480000 
0.086558 	 0.991118 	 0.490000 
0.084589 	 0.990572 	 0.500000 
0.083296 	 0.989952 	 0.510000 
0.081496 	 0.989456 	 0.520000 
0.080202 	 0.989133 	 0.530000 
0.079246 	 0.988736 	 0.540000 
0.078403 	 0.988439 	 0.550000 
0.077447 	 0.988042 	 0.560000 
0.076828 	 0.987471 	 0.570000 
0.075872 	 0.986950 	 0.580000 
0.074072 	 0.986504 	 0.590000 
0.072497 	 0.985983 	 0.600000 
0.070416 	 0.985040 	 0.610000 
0.068448 	 0.984296 	 0.620000 
0.066873 	 0.983502 	 0.630000 
0.065017 	 0.982708 	 0.640000 
0.063723 	 0.981740 	 0.650000 
0.062148 	 0.980897 	 0.660000 
0.061136 	 0.980078 	 0.670000 
0.060292 	 0.979532 	 0.680000 
0.059843 	 0.978912 	 0.690000 
0.059055 	 0.978242 	 0.700000 
0.057705 	 0.977721 	 0.710000 
0.056524 	 0.976530 	 0.720000 
0.054724 	 0.975240 	 0.730000 
0.052362 	 0.973975 	 0.740000 
0.049944 	 0.972238 	 0.750000 
0.047638 	 0.970328 	 0.760000 
0.045388 	 0.968244 	 0.770000 
0.044376 	 0.966060 	 0.780000 
0.043307 	 0.964473 	 0.790000 
0.042013 	 0.962810 	 0.800000 
0.041339 	 0.961545 	 0.810000 
0.040664 	 0.960131 	 0.820000 
0.039764 	 0.959089 	 0.830000 
0.038751 	 0.957576 	 0.840000 
0.037683 	 0.955789 	 0.850000 
0.036220 	 0.952440 	 0.860000 
0.033858 	 0.947553 	 0.870000 
0.030315 	 0.940556 	 0.880000 
0.026884 	 0.930831 	 0.890000 
0.024297 	 0.919939 	 0.900000 
0.022947 	 0.911579 	 0.910000 
0.022553 	 0.907336 	 0.920000 
0.022385 	 0.905848 	 0.930000 
0.022328 	 0.905004 	 0.940000 
0.022328 	 0.904185 	 0.950000 
0.022328 	 0.903962 	 0.960000 
0.022216 	 0.903714 	 0.970000 
0.022216 	 0.903466 	 0.980000 
0.022216 	 0.903317 	 0.990000 
