#FP 	 TP 	 Thr
0.183838 	 0.999321 	 0.010000 
0.183152 	 0.999321 	 0.020000 
0.182638 	 0.999321 	 0.030000 
0.182125 	 0.999296 	 0.040000 
0.181611 	 0.999248 	 0.050000 
0.181097 	 0.999199 	 0.060000 
0.179555 	 0.999175 	 0.070000 
0.174015 	 0.999030 	 0.080000 
0.163963 	 0.998787 	 0.090000 
0.156082 	 0.998641 	 0.100000 
0.153055 	 0.998569 	 0.110000 
0.150999 	 0.998472 	 0.120000 
0.150314 	 0.998399 	 0.130000 
0.148886 	 0.998399 	 0.140000 
0.147801 	 0.998375 	 0.150000 
0.146659 	 0.998253 	 0.160000 
0.143232 	 0.998132 	 0.170000 
0.138721 	 0.997889 	 0.180000 
0.134266 	 0.997768 	 0.190000 
0.131125 	 0.997647 	 0.200000 
0.128955 	 0.997647 	 0.210000 
0.127641 	 0.997550 	 0.220000 
0.126328 	 0.997453 	 0.230000 
0.125357 	 0.997380 	 0.240000 
0.123929 	 0.997307 	 0.250000 
0.122159 	 0.997089 	 0.260000 
0.119989 	 0.996870 	 0.270000 
0.117362 	 0.996555 	 0.280000 
0.115020 	 0.996337 	 0.290000 
0.113078 	 0.996046 	 0.300000 
0.111422 	 0.995779 	 0.310000 
0.109709 	 0.995609 	 0.320000 
0.108567 	 0.995463 	 0.330000 
0.107596 	 0.995269 	 0.340000 
0.106796 	 0.995148 	 0.350000 
0.105254 	 0.994832 	 0.360000 
0.103084 	 0.994347 	 0.370000 
0.100971 	 0.994105 	 0.380000 
0.099543 	 0.993838 	 0.390000 
0.097773 	 0.993547 	 0.400000 
0.096117 	 0.993353 	 0.410000 
0.094860 	 0.993013 	 0.420000 
0.093661 	 0.992892 	 0.430000 
0.092804 	 0.992698 	 0.440000 
0.091833 	 0.992382 	 0.450000 
0.090291 	 0.992164 	 0.460000 
0.088806 	 0.991921 	 0.470000 
0.086808 	 0.991412 	 0.480000 
0.085151 	 0.990927 	 0.490000 
0.083724 	 0.990393 	 0.500000 
0.082182 	 0.989980 	 0.510000 
0.081039 	 0.989592 	 0.520000 
0.080011 	 0.989180 	 0.530000 
0.079098 	 0.988646 	 0.540000 
0.078013 	 0.988209 	 0.550000 
0.076870 	 0.987870 	 0.560000 
0.075385 	 0.987360 	 0.570000 
0.073958 	 0.986826 	 0.580000 
0.072016 	 0.986244 	 0.590000 
0.069789 	 0.985395 	 0.600000 
0.068304 	 0.984667 	 0.610000 
0.066705 	 0.984036 	 0.620000 
0.065505 	 0.983576 	 0.630000 
0.064706 	 0.982993 	 0.640000 
0.063107 	 0.982290 	 0.650000 
0.062079 	 0.981707 	 0.660000 
0.060994 	 0.981004 	 0.670000 
0.059623 	 0.980203 	 0.680000 
0.057853 	 0.979306 	 0.690000 
0.055682 	 0.978238 	 0.700000 
0.054083 	 0.977171 	 0.710000 
0.052427 	 0.975764 	 0.720000 
0.051342 	 0.974308 	 0.730000 
0.050714 	 0.973192 	 0.740000 
0.049286 	 0.972440 	 0.750000 
0.048315 	 0.971518 	 0.760000 
0.047401 	 0.970208 	 0.770000 
0.045174 	 0.968752 	 0.780000 
0.043232 	 0.967345 	 0.790000 
0.040891 	 0.965356 	 0.800000 
0.038778 	 0.962808 	 0.810000 
0.036722 	 0.960164 	 0.820000 
0.035009 	 0.957520 	 0.830000 
0.033923 	 0.955336 	 0.840000 
0.033238 	 0.953468 	 0.850000 
0.032724 	 0.951818 	 0.860000 
0.032153 	 0.950290 	 0.870000 
0.031068 	 0.947718 	 0.880000 
0.029469 	 0.943740 	 0.890000 
0.026499 	 0.937238 	 0.900000 
0.023929 	 0.927170 	 0.910000 
0.020160 	 0.912298 	 0.920000 
0.019303 	 0.902739 	 0.930000 
0.018903 	 0.899221 	 0.940000 
0.018732 	 0.897741 	 0.950000 
0.018618 	 0.897111 	 0.960000 
0.018618 	 0.896771 	 0.970000 
0.018561 	 0.896431 	 0.980000 
0.018561 	 0.896189 	 0.990000 
