#FP 	 TP 	 Thr
0.183587 	 0.999323 	 0.010000 
0.182843 	 0.999323 	 0.020000 
0.182328 	 0.999323 	 0.030000 
0.181813 	 0.999299 	 0.040000 
0.181298 	 0.999250 	 0.050000 
0.180726 	 0.999202 	 0.060000 
0.179009 	 0.999178 	 0.070000 
0.173400 	 0.999033 	 0.080000 
0.163615 	 0.998815 	 0.090000 
0.155832 	 0.998597 	 0.100000 
0.152798 	 0.998549 	 0.110000 
0.150795 	 0.998452 	 0.120000 
0.149994 	 0.998380 	 0.130000 
0.148506 	 0.998380 	 0.140000 
0.147419 	 0.998355 	 0.150000 
0.146217 	 0.998283 	 0.160000 
0.142726 	 0.998162 	 0.170000 
0.138205 	 0.997896 	 0.180000 
0.133742 	 0.997727 	 0.190000 
0.130766 	 0.997509 	 0.200000 
0.128591 	 0.997485 	 0.210000 
0.127218 	 0.997388 	 0.220000 
0.125901 	 0.997267 	 0.230000 
0.124928 	 0.997219 	 0.240000 
0.123441 	 0.997146 	 0.250000 
0.121781 	 0.996928 	 0.260000 
0.119606 	 0.996735 	 0.270000 
0.117031 	 0.996469 	 0.280000 
0.114456 	 0.996275 	 0.290000 
0.112510 	 0.995985 	 0.300000 
0.110850 	 0.995743 	 0.310000 
0.109362 	 0.995574 	 0.320000 
0.108390 	 0.995429 	 0.330000 
0.107474 	 0.995211 	 0.340000 
0.106787 	 0.995066 	 0.350000 
0.105242 	 0.994824 	 0.360000 
0.103010 	 0.994316 	 0.370000 
0.100950 	 0.994075 	 0.380000 
0.099519 	 0.993833 	 0.390000 
0.097745 	 0.993542 	 0.400000 
0.096086 	 0.993325 	 0.410000 
0.094769 	 0.992986 	 0.420000 
0.093510 	 0.992841 	 0.430000 
0.092709 	 0.992575 	 0.440000 
0.091794 	 0.992309 	 0.450000 
0.090363 	 0.992043 	 0.460000 
0.088989 	 0.991825 	 0.470000 
0.086986 	 0.991293 	 0.480000 
0.085270 	 0.990834 	 0.490000 
0.084011 	 0.990302 	 0.500000 
0.082351 	 0.989866 	 0.510000 
0.080977 	 0.989479 	 0.520000 
0.079890 	 0.988996 	 0.530000 
0.079032 	 0.988463 	 0.540000 
0.077944 	 0.988052 	 0.550000 
0.076685 	 0.987714 	 0.560000 
0.075197 	 0.987230 	 0.570000 
0.073652 	 0.986674 	 0.580000 
0.071649 	 0.986093 	 0.590000 
0.069532 	 0.985247 	 0.600000 
0.068044 	 0.984545 	 0.610000 
0.066499 	 0.983917 	 0.620000 
0.065469 	 0.983457 	 0.630000 
0.064668 	 0.982901 	 0.640000 
0.063065 	 0.982175 	 0.650000 
0.061921 	 0.981571 	 0.660000 
0.060890 	 0.980845 	 0.670000 
0.059574 	 0.979950 	 0.680000 
0.057743 	 0.979104 	 0.690000 
0.055511 	 0.978064 	 0.700000 
0.054080 	 0.977000 	 0.710000 
0.052364 	 0.975548 	 0.720000 
0.051333 	 0.974170 	 0.730000 
0.050761 	 0.973130 	 0.740000 
0.049330 	 0.972428 	 0.750000 
0.048358 	 0.971461 	 0.760000 
0.047385 	 0.970179 	 0.770000 
0.045153 	 0.968752 	 0.780000 
0.043207 	 0.967374 	 0.790000 
0.040861 	 0.965390 	 0.800000 
0.038686 	 0.962827 	 0.810000 
0.036683 	 0.960191 	 0.820000 
0.034966 	 0.957530 	 0.830000 
0.033879 	 0.955305 	 0.840000 
0.033135 	 0.953491 	 0.850000 
0.032620 	 0.951871 	 0.860000 
0.032048 	 0.950420 	 0.870000 
0.030903 	 0.947783 	 0.880000 
0.029358 	 0.943865 	 0.890000 
0.026325 	 0.937529 	 0.900000 
0.023692 	 0.927709 	 0.910000 
0.019915 	 0.913125 	 0.920000 
0.019057 	 0.903935 	 0.930000 
0.018656 	 0.900646 	 0.940000 
0.018485 	 0.899195 	 0.950000 
0.018370 	 0.898590 	 0.960000 
0.018370 	 0.898251 	 0.970000 
0.018313 	 0.897913 	 0.980000 
0.018313 	 0.897671 	 0.990000 
