#FP 	 TP 	 Thr
0.173057 	 0.999089 	 0.010000 
0.172775 	 0.999089 	 0.020000 
0.172492 	 0.999089 	 0.030000 
0.172322 	 0.999064 	 0.040000 
0.171870 	 0.999039 	 0.050000 
0.171304 	 0.999015 	 0.060000 
0.170852 	 0.999015 	 0.070000 
0.169890 	 0.998990 	 0.080000 
0.168081 	 0.998990 	 0.090000 
0.163500 	 0.998768 	 0.100000 
0.153829 	 0.998522 	 0.110000 
0.146250 	 0.998202 	 0.120000 
0.141783 	 0.998103 	 0.130000 
0.139634 	 0.997980 	 0.140000 
0.138333 	 0.997906 	 0.150000 
0.137428 	 0.997857 	 0.160000 
0.136580 	 0.997832 	 0.170000 
0.135675 	 0.997783 	 0.180000 
0.135053 	 0.997709 	 0.190000 
0.133582 	 0.997635 	 0.200000 
0.131433 	 0.997487 	 0.210000 
0.128605 	 0.997241 	 0.220000 
0.124873 	 0.996995 	 0.230000 
0.121762 	 0.996773 	 0.240000 
0.118821 	 0.996502 	 0.250000 
0.117238 	 0.996404 	 0.260000 
0.115711 	 0.996281 	 0.270000 
0.114580 	 0.996157 	 0.280000 
0.113392 	 0.995936 	 0.290000 
0.112544 	 0.995936 	 0.300000 
0.111809 	 0.995812 	 0.310000 
0.110847 	 0.995542 	 0.320000 
0.109094 	 0.995320 	 0.330000 
0.106945 	 0.995172 	 0.340000 
0.105022 	 0.994753 	 0.350000 
0.103439 	 0.994408 	 0.360000 
0.101798 	 0.994014 	 0.370000 
0.099989 	 0.993743 	 0.380000 
0.099027 	 0.993472 	 0.390000 
0.097670 	 0.993275 	 0.400000 
0.096822 	 0.993004 	 0.410000 
0.096200 	 0.992857 	 0.420000 
0.095351 	 0.992635 	 0.430000 
0.094107 	 0.992265 	 0.440000 
0.092467 	 0.992044 	 0.450000 
0.091279 	 0.991748 	 0.460000 
0.089356 	 0.991354 	 0.470000 
0.087207 	 0.991108 	 0.480000 
0.084662 	 0.990664 	 0.490000 
0.082796 	 0.990122 	 0.500000 
0.081495 	 0.989482 	 0.510000 
0.079686 	 0.989039 	 0.520000 
0.078498 	 0.988669 	 0.530000 
0.077763 	 0.988275 	 0.540000 
0.077141 	 0.987955 	 0.550000 
0.076349 	 0.987635 	 0.560000 
0.075670 	 0.987068 	 0.570000 
0.074709 	 0.986551 	 0.580000 
0.073069 	 0.986058 	 0.590000 
0.071485 	 0.985615 	 0.600000 
0.069506 	 0.984629 	 0.610000 
0.067639 	 0.983890 	 0.620000 
0.066169 	 0.983078 	 0.630000 
0.064472 	 0.982240 	 0.640000 
0.062945 	 0.981353 	 0.650000 
0.061362 	 0.980540 	 0.660000 
0.060344 	 0.979728 	 0.670000 
0.059439 	 0.979136 	 0.680000 
0.058987 	 0.978521 	 0.690000 
0.058251 	 0.977831 	 0.700000 
0.057007 	 0.977289 	 0.710000 
0.055933 	 0.976082 	 0.720000 
0.053897 	 0.974752 	 0.730000 
0.051578 	 0.973471 	 0.740000 
0.049372 	 0.971821 	 0.750000 
0.047110 	 0.969973 	 0.760000 
0.044791 	 0.967855 	 0.770000 
0.043547 	 0.965835 	 0.780000 
0.042586 	 0.964382 	 0.790000 
0.041172 	 0.962756 	 0.800000 
0.040493 	 0.961524 	 0.810000 
0.039815 	 0.960145 	 0.820000 
0.038966 	 0.959110 	 0.830000 
0.038061 	 0.957731 	 0.840000 
0.036987 	 0.956105 	 0.850000 
0.035629 	 0.952878 	 0.860000 
0.033084 	 0.948026 	 0.870000 
0.029635 	 0.941079 	 0.880000 
0.026694 	 0.931448 	 0.890000 
0.024092 	 0.920905 	 0.900000 
0.022792 	 0.912851 	 0.910000 
0.022452 	 0.908811 	 0.920000 
0.022226 	 0.907407 	 0.930000 
0.022169 	 0.906569 	 0.940000 
0.022169 	 0.905781 	 0.950000 
0.022169 	 0.905584 	 0.960000 
0.022056 	 0.905387 	 0.970000 
0.022056 	 0.905141 	 0.980000 
0.022056 	 0.904993 	 0.990000 
