#FP 	 TP 	 Thr
0.184279 	 0.999312 	 0.010000 
0.183656 	 0.999312 	 0.020000 
0.183316 	 0.999312 	 0.030000 
0.182750 	 0.999312 	 0.040000 
0.182297 	 0.999262 	 0.050000 
0.181617 	 0.999238 	 0.060000 
0.180088 	 0.999213 	 0.070000 
0.174765 	 0.999115 	 0.080000 
0.164175 	 0.998869 	 0.090000 
0.156360 	 0.998697 	 0.100000 
0.152905 	 0.998648 	 0.110000 
0.151150 	 0.998549 	 0.120000 
0.150413 	 0.998476 	 0.130000 
0.149394 	 0.998476 	 0.140000 
0.148375 	 0.998451 	 0.150000 
0.147016 	 0.998254 	 0.160000 
0.143788 	 0.998131 	 0.170000 
0.139200 	 0.997984 	 0.180000 
0.135010 	 0.997861 	 0.190000 
0.131895 	 0.997763 	 0.200000 
0.130083 	 0.997738 	 0.210000 
0.128950 	 0.997640 	 0.220000 
0.127648 	 0.997566 	 0.230000 
0.126798 	 0.997492 	 0.240000 
0.125156 	 0.997418 	 0.250000 
0.123570 	 0.997271 	 0.260000 
0.121645 	 0.997074 	 0.270000 
0.118926 	 0.996779 	 0.280000 
0.116774 	 0.996533 	 0.290000 
0.115132 	 0.996214 	 0.300000 
0.113376 	 0.996017 	 0.310000 
0.111847 	 0.995746 	 0.320000 
0.110998 	 0.995599 	 0.330000 
0.109922 	 0.995378 	 0.340000 
0.108959 	 0.995206 	 0.350000 
0.107204 	 0.994960 	 0.360000 
0.104712 	 0.994542 	 0.370000 
0.102616 	 0.994222 	 0.380000 
0.101257 	 0.993976 	 0.390000 
0.099615 	 0.993755 	 0.400000 
0.098142 	 0.993534 	 0.410000 
0.096727 	 0.993288 	 0.420000 
0.095707 	 0.993116 	 0.430000 
0.094858 	 0.992894 	 0.440000 
0.093669 	 0.992575 	 0.450000 
0.092253 	 0.992403 	 0.460000 
0.090950 	 0.992058 	 0.470000 
0.089138 	 0.991542 	 0.480000 
0.087269 	 0.991124 	 0.490000 
0.085684 	 0.990534 	 0.500000 
0.084041 	 0.990141 	 0.510000 
0.083022 	 0.989796 	 0.520000 
0.082116 	 0.989452 	 0.530000 
0.081096 	 0.988911 	 0.540000 
0.080247 	 0.988395 	 0.550000 
0.079058 	 0.988075 	 0.560000 
0.077585 	 0.987633 	 0.570000 
0.076000 	 0.987215 	 0.580000 
0.073961 	 0.986674 	 0.590000 
0.071639 	 0.985813 	 0.600000 
0.070110 	 0.985199 	 0.610000 
0.068468 	 0.984535 	 0.620000 
0.067278 	 0.983920 	 0.630000 
0.066202 	 0.983355 	 0.640000 
0.064673 	 0.982666 	 0.650000 
0.063597 	 0.982076 	 0.660000 
0.062351 	 0.981314 	 0.670000 
0.060709 	 0.980355 	 0.680000 
0.059067 	 0.979544 	 0.690000 
0.056915 	 0.978462 	 0.700000 
0.055159 	 0.977306 	 0.710000 
0.053347 	 0.975831 	 0.720000 
0.052328 	 0.974380 	 0.730000 
0.051705 	 0.973274 	 0.740000 
0.050345 	 0.972438 	 0.750000 
0.049496 	 0.971405 	 0.760000 
0.048647 	 0.969930 	 0.770000 
0.046438 	 0.968627 	 0.780000 
0.044512 	 0.967201 	 0.790000 
0.042360 	 0.965087 	 0.800000 
0.039869 	 0.962382 	 0.810000 
0.037887 	 0.959751 	 0.820000 
0.035904 	 0.957022 	 0.830000 
0.034828 	 0.954686 	 0.840000 
0.034149 	 0.952818 	 0.850000 
0.033413 	 0.951097 	 0.860000 
0.032790 	 0.949523 	 0.870000 
0.031600 	 0.946794 	 0.880000 
0.029901 	 0.942516 	 0.890000 
0.026900 	 0.935533 	 0.900000 
0.024295 	 0.924543 	 0.910000 
0.020161 	 0.908758 	 0.920000 
0.019255 	 0.898087 	 0.930000 
0.018915 	 0.894153 	 0.940000 
0.018802 	 0.892457 	 0.950000 
0.018632 	 0.891768 	 0.960000 
0.018632 	 0.891399 	 0.970000 
0.018575 	 0.891006 	 0.980000 
0.018575 	 0.890785 	 0.990000 
