#FP 	 TP 	 Thr
0.192025 	 0.999508 	 0.010000 
0.191411 	 0.999508 	 0.020000 
0.190798 	 0.999463 	 0.030000 
0.189448 	 0.999419 	 0.040000 
0.186748 	 0.999307 	 0.050000 
0.178528 	 0.999039 	 0.060000 
0.167301 	 0.998770 	 0.070000 
0.163252 	 0.998614 	 0.080000 
0.161472 	 0.998547 	 0.090000 
0.159877 	 0.998435 	 0.100000 
0.158160 	 0.998412 	 0.110000 
0.154356 	 0.998323 	 0.120000 
0.148528 	 0.998189 	 0.130000 
0.144663 	 0.997943 	 0.140000 
0.142025 	 0.997831 	 0.150000 
0.139877 	 0.997719 	 0.160000 
0.137485 	 0.997585 	 0.170000 
0.135276 	 0.997473 	 0.180000 
0.132147 	 0.997361 	 0.190000 
0.129325 	 0.997026 	 0.200000 
0.127117 	 0.996937 	 0.210000 
0.124601 	 0.996758 	 0.220000 
0.122822 	 0.996713 	 0.230000 
0.121779 	 0.996646 	 0.240000 
0.120000 	 0.996512 	 0.250000 
0.118098 	 0.996400 	 0.260000 
0.115644 	 0.996221 	 0.270000 
0.113374 	 0.996020 	 0.280000 
0.111779 	 0.995841 	 0.290000 
0.110368 	 0.995595 	 0.300000 
0.108344 	 0.995416 	 0.310000 
0.106810 	 0.995148 	 0.320000 
0.104785 	 0.995014 	 0.330000 
0.102761 	 0.994723 	 0.340000 
0.100798 	 0.994544 	 0.350000 
0.099018 	 0.994253 	 0.360000 
0.096687 	 0.994030 	 0.370000 
0.095337 	 0.993739 	 0.380000 
0.094172 	 0.993605 	 0.390000 
0.092638 	 0.993202 	 0.400000 
0.090920 	 0.992889 	 0.410000 
0.089080 	 0.992666 	 0.420000 
0.087730 	 0.992465 	 0.430000 
0.086135 	 0.992330 	 0.440000 
0.084847 	 0.991973 	 0.450000 
0.083252 	 0.991615 	 0.460000 
0.081534 	 0.991347 	 0.470000 
0.080184 	 0.991078 	 0.480000 
0.078037 	 0.990698 	 0.490000 
0.076503 	 0.990139 	 0.500000 
0.075215 	 0.989826 	 0.510000 
0.073313 	 0.989468 	 0.520000 
0.072147 	 0.989021 	 0.530000 
0.071104 	 0.988462 	 0.540000 
0.069816 	 0.987970 	 0.550000 
0.068282 	 0.987322 	 0.560000 
0.066074 	 0.986897 	 0.570000 
0.064969 	 0.986248 	 0.580000 
0.063067 	 0.985689 	 0.590000 
0.061779 	 0.984907 	 0.600000 
0.060245 	 0.984057 	 0.610000 
0.058896 	 0.983565 	 0.620000 
0.057055 	 0.982715 	 0.630000 
0.055890 	 0.982045 	 0.640000 
0.054601 	 0.981530 	 0.650000 
0.053190 	 0.980703 	 0.660000 
0.052393 	 0.980077 	 0.670000 
0.051350 	 0.979093 	 0.680000 
0.050061 	 0.978310 	 0.690000 
0.048466 	 0.977394 	 0.700000 
0.047239 	 0.976209 	 0.710000 
0.045767 	 0.974979 	 0.720000 
0.044294 	 0.973861 	 0.730000 
0.043190 	 0.973056 	 0.740000 
0.041840 	 0.972027 	 0.750000 
0.040859 	 0.970887 	 0.760000 
0.039693 	 0.969702 	 0.770000 
0.037975 	 0.968271 	 0.780000 
0.036503 	 0.966795 	 0.790000 
0.034785 	 0.964961 	 0.800000 
0.033620 	 0.963150 	 0.810000 
0.032086 	 0.961697 	 0.820000 
0.030798 	 0.960064 	 0.830000 
0.029939 	 0.958946 	 0.840000 
0.028650 	 0.956934 	 0.850000 
0.026503 	 0.954206 	 0.860000 
0.024233 	 0.950203 	 0.870000 
0.022086 	 0.946939 	 0.880000 
0.021166 	 0.944502 	 0.890000 
0.020245 	 0.942400 	 0.900000 
0.019448 	 0.940343 	 0.910000 
0.018037 	 0.936206 	 0.920000 
0.016012 	 0.929498 	 0.930000 
0.012761 	 0.916484 	 0.940000 
0.010982 	 0.904409 	 0.950000 
0.010675 	 0.900988 	 0.960000 
0.010552 	 0.900161 	 0.970000 
0.010491 	 0.899759 	 0.980000 
0.010491 	 0.899378 	 0.990000 
