#FP 	 TP 	 Thr
0.168620 	 0.999451 	 0.010000 
0.167912 	 0.999429 	 0.020000 
0.167268 	 0.999407 	 0.030000 
0.166173 	 0.999363 	 0.040000 
0.165142 	 0.999319 	 0.050000 
0.163790 	 0.999319 	 0.060000 
0.160054 	 0.999253 	 0.070000 
0.150908 	 0.999011 	 0.080000 
0.143759 	 0.998813 	 0.090000 
0.140796 	 0.998747 	 0.100000 
0.138799 	 0.998637 	 0.110000 
0.137382 	 0.998527 	 0.120000 
0.136159 	 0.998373 	 0.130000 
0.133711 	 0.998264 	 0.140000 
0.131135 	 0.998088 	 0.150000 
0.127721 	 0.997890 	 0.160000 
0.123148 	 0.997670 	 0.170000 
0.120636 	 0.997494 	 0.180000 
0.118189 	 0.997362 	 0.190000 
0.116450 	 0.997274 	 0.200000 
0.115162 	 0.997121 	 0.210000 
0.113358 	 0.996945 	 0.220000 
0.111555 	 0.996879 	 0.230000 
0.109558 	 0.996769 	 0.240000 
0.107755 	 0.996505 	 0.250000 
0.105887 	 0.996132 	 0.260000 
0.103568 	 0.995758 	 0.270000 
0.102087 	 0.995450 	 0.280000 
0.099833 	 0.995318 	 0.290000 
0.097771 	 0.995186 	 0.300000 
0.096870 	 0.994901 	 0.310000 
0.095517 	 0.994791 	 0.320000 
0.093199 	 0.994615 	 0.330000 
0.091331 	 0.994329 	 0.340000 
0.089334 	 0.993934 	 0.350000 
0.087659 	 0.993692 	 0.360000 
0.086307 	 0.993472 	 0.370000 
0.084954 	 0.993164 	 0.380000 
0.083731 	 0.992900 	 0.390000 
0.082636 	 0.992637 	 0.400000 
0.080961 	 0.992307 	 0.410000 
0.079866 	 0.991977 	 0.420000 
0.078256 	 0.991692 	 0.430000 
0.076774 	 0.991340 	 0.440000 
0.075357 	 0.991120 	 0.450000 
0.074005 	 0.990702 	 0.460000 
0.072395 	 0.990307 	 0.470000 
0.070784 	 0.989933 	 0.480000 
0.069818 	 0.989516 	 0.490000 
0.069045 	 0.989208 	 0.500000 
0.067693 	 0.988900 	 0.510000 
0.066405 	 0.988373 	 0.520000 
0.065439 	 0.987669 	 0.530000 
0.063957 	 0.987098 	 0.540000 
0.061703 	 0.986570 	 0.550000 
0.060737 	 0.986065 	 0.560000 
0.059384 	 0.985647 	 0.570000 
0.058869 	 0.985186 	 0.580000 
0.057774 	 0.984680 	 0.590000 
0.056421 	 0.984087 	 0.600000 
0.055327 	 0.983647 	 0.610000 
0.053716 	 0.983141 	 0.620000 
0.052364 	 0.982570 	 0.630000 
0.050625 	 0.981954 	 0.640000 
0.049337 	 0.981273 	 0.650000 
0.048177 	 0.980438 	 0.660000 
0.047469 	 0.979822 	 0.670000 
0.046181 	 0.979273 	 0.680000 
0.044892 	 0.978570 	 0.690000 
0.043475 	 0.977932 	 0.700000 
0.042381 	 0.976987 	 0.710000 
0.041221 	 0.975866 	 0.720000 
0.039804 	 0.974635 	 0.730000 
0.038001 	 0.973624 	 0.740000 
0.037228 	 0.972327 	 0.750000 
0.036391 	 0.971294 	 0.760000 
0.034845 	 0.970393 	 0.770000 
0.034136 	 0.969514 	 0.780000 
0.032590 	 0.968459 	 0.790000 
0.031302 	 0.967536 	 0.800000 
0.029757 	 0.965953 	 0.810000 
0.028597 	 0.963733 	 0.820000 
0.026987 	 0.961095 	 0.830000 
0.024733 	 0.958612 	 0.840000 
0.023767 	 0.956370 	 0.850000 
0.023058 	 0.954787 	 0.860000 
0.022478 	 0.953512 	 0.870000 
0.022092 	 0.952238 	 0.880000 
0.021061 	 0.950237 	 0.890000 
0.019709 	 0.946787 	 0.900000 
0.017777 	 0.941357 	 0.910000 
0.015007 	 0.932214 	 0.920000 
0.012495 	 0.922279 	 0.930000 
0.011722 	 0.917685 	 0.940000 
0.011400 	 0.916542 	 0.950000 
0.011336 	 0.916015 	 0.960000 
0.011207 	 0.915707 	 0.970000 
0.011143 	 0.915575 	 0.980000 
0.011143 	 0.915311 	 0.990000 
