#FP 	 TP 	 Thr
0.171180 	 0.999539 	 0.010000 
0.170535 	 0.999517 	 0.020000 
0.169955 	 0.999517 	 0.030000 
0.168536 	 0.999429 	 0.040000 
0.167376 	 0.999429 	 0.050000 
0.164861 	 0.999385 	 0.060000 
0.157705 	 0.999209 	 0.070000 
0.149065 	 0.999011 	 0.080000 
0.145455 	 0.998857 	 0.090000 
0.143262 	 0.998813 	 0.100000 
0.141522 	 0.998770 	 0.110000 
0.140168 	 0.998616 	 0.120000 
0.137975 	 0.998506 	 0.130000 
0.134881 	 0.998220 	 0.140000 
0.130819 	 0.997979 	 0.150000 
0.126306 	 0.997825 	 0.160000 
0.123985 	 0.997671 	 0.170000 
0.121857 	 0.997561 	 0.180000 
0.119923 	 0.997539 	 0.190000 
0.118698 	 0.997363 	 0.200000 
0.116892 	 0.997210 	 0.210000 
0.114958 	 0.997078 	 0.220000 
0.112057 	 0.996836 	 0.230000 
0.110187 	 0.996572 	 0.240000 
0.107866 	 0.996265 	 0.250000 
0.106576 	 0.995935 	 0.260000 
0.104836 	 0.995825 	 0.270000 
0.102837 	 0.995671 	 0.280000 
0.101354 	 0.995540 	 0.290000 
0.100451 	 0.995408 	 0.300000 
0.098388 	 0.995166 	 0.310000 
0.096583 	 0.994990 	 0.320000 
0.094262 	 0.994749 	 0.330000 
0.091747 	 0.994617 	 0.340000 
0.090264 	 0.994375 	 0.350000 
0.089039 	 0.994155 	 0.360000 
0.087170 	 0.993914 	 0.370000 
0.085493 	 0.993628 	 0.380000 
0.084075 	 0.993211 	 0.390000 
0.082205 	 0.992969 	 0.400000 
0.080271 	 0.992683 	 0.410000 
0.079239 	 0.992354 	 0.420000 
0.078208 	 0.992090 	 0.430000 
0.076467 	 0.991804 	 0.440000 
0.074468 	 0.991409 	 0.450000 
0.073823 	 0.991057 	 0.460000 
0.072663 	 0.990684 	 0.470000 
0.071760 	 0.990310 	 0.480000 
0.069955 	 0.989915 	 0.490000 
0.068794 	 0.989387 	 0.500000 
0.066989 	 0.988904 	 0.510000 
0.066022 	 0.988530 	 0.520000 
0.064797 	 0.988135 	 0.530000 
0.063830 	 0.987805 	 0.540000 
0.062734 	 0.987344 	 0.550000 
0.061767 	 0.986751 	 0.560000 
0.060219 	 0.986092 	 0.570000 
0.058478 	 0.985564 	 0.580000 
0.056995 	 0.985059 	 0.590000 
0.055706 	 0.984575 	 0.600000 
0.055061 	 0.984004 	 0.610000 
0.053707 	 0.983543 	 0.620000 
0.052676 	 0.982862 	 0.630000 
0.051451 	 0.982312 	 0.640000 
0.050161 	 0.981741 	 0.650000 
0.048872 	 0.980994 	 0.660000 
0.047453 	 0.980247 	 0.670000 
0.045583 	 0.979478 	 0.680000 
0.044230 	 0.978665 	 0.690000 
0.043391 	 0.977940 	 0.700000 
0.042489 	 0.977303 	 0.710000 
0.040619 	 0.976446 	 0.720000 
0.039974 	 0.975391 	 0.730000 
0.038491 	 0.974183 	 0.740000 
0.037266 	 0.972996 	 0.750000 
0.035461 	 0.971898 	 0.760000 
0.034623 	 0.970469 	 0.770000 
0.033204 	 0.969173 	 0.780000 
0.032044 	 0.968140 	 0.790000 
0.030625 	 0.966932 	 0.800000 
0.030110 	 0.965877 	 0.810000 
0.028627 	 0.964405 	 0.820000 
0.027273 	 0.962471 	 0.830000 
0.025919 	 0.959571 	 0.840000 
0.023791 	 0.956825 	 0.850000 
0.022824 	 0.953880 	 0.860000 
0.021986 	 0.951947 	 0.870000 
0.021341 	 0.950716 	 0.880000 
0.020954 	 0.949156 	 0.890000 
0.019923 	 0.946607 	 0.900000 
0.018440 	 0.942652 	 0.910000 
0.016248 	 0.936149 	 0.920000 
0.013153 	 0.924811 	 0.930000 
0.011219 	 0.916637 	 0.940000 
0.010638 	 0.913583 	 0.950000 
0.010574 	 0.912792 	 0.960000 
0.010380 	 0.912199 	 0.970000 
0.010380 	 0.912067 	 0.980000 
0.010380 	 0.911803 	 0.990000 
