#FP 	 TP 	 Thr
0.183539 	 0.999287 	 0.010000 
0.182960 	 0.999263 	 0.020000 
0.182323 	 0.999263 	 0.030000 
0.181802 	 0.999239 	 0.040000 
0.181224 	 0.999192 	 0.050000 
0.180298 	 0.999168 	 0.060000 
0.178793 	 0.999144 	 0.070000 
0.173062 	 0.999073 	 0.080000 
0.162355 	 0.998787 	 0.090000 
0.154599 	 0.998478 	 0.100000 
0.151299 	 0.998431 	 0.110000 
0.148868 	 0.998312 	 0.120000 
0.147884 	 0.998288 	 0.130000 
0.146380 	 0.998288 	 0.140000 
0.144759 	 0.998264 	 0.150000 
0.143601 	 0.998122 	 0.160000 
0.140244 	 0.998003 	 0.170000 
0.135845 	 0.997765 	 0.180000 
0.131620 	 0.997646 	 0.190000 
0.128900 	 0.997337 	 0.200000 
0.126237 	 0.997266 	 0.210000 
0.124559 	 0.997147 	 0.220000 
0.123401 	 0.997004 	 0.230000 
0.122475 	 0.996957 	 0.240000 
0.121028 	 0.996862 	 0.250000 
0.119523 	 0.996648 	 0.260000 
0.117150 	 0.996505 	 0.270000 
0.114661 	 0.996243 	 0.280000 
0.112288 	 0.995982 	 0.290000 
0.110725 	 0.995744 	 0.300000 
0.108815 	 0.995554 	 0.310000 
0.107484 	 0.995364 	 0.320000 
0.106442 	 0.995245 	 0.330000 
0.105516 	 0.995031 	 0.340000 
0.104764 	 0.994841 	 0.350000 
0.103085 	 0.994603 	 0.360000 
0.101059 	 0.994127 	 0.370000 
0.098918 	 0.993913 	 0.380000 
0.096776 	 0.993557 	 0.390000 
0.095040 	 0.993248 	 0.400000 
0.093535 	 0.992962 	 0.410000 
0.092319 	 0.992677 	 0.420000 
0.090814 	 0.992511 	 0.430000 
0.090062 	 0.992273 	 0.440000 
0.088962 	 0.992035 	 0.450000 
0.087342 	 0.991702 	 0.460000 
0.086068 	 0.991512 	 0.470000 
0.084274 	 0.990965 	 0.480000 
0.082364 	 0.990585 	 0.490000 
0.081033 	 0.990157 	 0.500000 
0.079296 	 0.989705 	 0.510000 
0.077618 	 0.989325 	 0.520000 
0.076518 	 0.988778 	 0.530000 
0.075476 	 0.988255 	 0.540000 
0.074376 	 0.987827 	 0.550000 
0.073277 	 0.987375 	 0.560000 
0.071772 	 0.987042 	 0.570000 
0.070498 	 0.986519 	 0.580000 
0.068646 	 0.985925 	 0.590000 
0.066447 	 0.985164 	 0.600000 
0.064826 	 0.984474 	 0.610000 
0.063495 	 0.983951 	 0.620000 
0.062684 	 0.983357 	 0.630000 
0.061874 	 0.982715 	 0.640000 
0.060601 	 0.982073 	 0.650000 
0.059617 	 0.981621 	 0.660000 
0.058401 	 0.980884 	 0.670000 
0.057359 	 0.979885 	 0.680000 
0.055449 	 0.978982 	 0.690000 
0.053424 	 0.977864 	 0.700000 
0.052034 	 0.976723 	 0.710000 
0.050356 	 0.975249 	 0.720000 
0.049256 	 0.974060 	 0.730000 
0.048620 	 0.973133 	 0.740000 
0.047115 	 0.972443 	 0.750000 
0.046246 	 0.971302 	 0.760000 
0.045262 	 0.970018 	 0.770000 
0.043063 	 0.968687 	 0.780000 
0.041327 	 0.967237 	 0.790000 
0.039243 	 0.965263 	 0.800000 
0.036696 	 0.962814 	 0.810000 
0.034670 	 0.960127 	 0.820000 
0.032992 	 0.957560 	 0.830000 
0.031834 	 0.955515 	 0.840000 
0.031140 	 0.953993 	 0.850000 
0.030561 	 0.952472 	 0.860000 
0.029982 	 0.951140 	 0.870000 
0.028767 	 0.948739 	 0.880000 
0.027377 	 0.945030 	 0.890000 
0.024483 	 0.939109 	 0.900000 
0.021879 	 0.929575 	 0.910000 
0.018117 	 0.915809 	 0.920000 
0.017190 	 0.907202 	 0.930000 
0.016843 	 0.903921 	 0.940000 
0.016670 	 0.902565 	 0.950000 
0.016670 	 0.902090 	 0.960000 
0.016670 	 0.901805 	 0.970000 
0.016612 	 0.901472 	 0.980000 
0.016612 	 0.901258 	 0.990000 
