#FP 	 TP 	 Thr
0.182532 	 0.999292 	 0.010000 
0.181950 	 0.999268 	 0.020000 
0.181311 	 0.999245 	 0.030000 
0.180787 	 0.999221 	 0.040000 
0.180206 	 0.999174 	 0.050000 
0.179334 	 0.999150 	 0.060000 
0.177938 	 0.999103 	 0.070000 
0.172239 	 0.999009 	 0.080000 
0.161365 	 0.998749 	 0.090000 
0.153690 	 0.998442 	 0.100000 
0.150259 	 0.998371 	 0.110000 
0.147933 	 0.998253 	 0.120000 
0.146944 	 0.998206 	 0.130000 
0.145607 	 0.998206 	 0.140000 
0.143862 	 0.998182 	 0.150000 
0.142757 	 0.998064 	 0.160000 
0.139385 	 0.997946 	 0.170000 
0.135198 	 0.997757 	 0.180000 
0.131244 	 0.997639 	 0.190000 
0.128511 	 0.997356 	 0.200000 
0.125778 	 0.997285 	 0.210000 
0.124150 	 0.997144 	 0.220000 
0.122812 	 0.997026 	 0.230000 
0.121882 	 0.996978 	 0.240000 
0.120544 	 0.996884 	 0.250000 
0.118916 	 0.996672 	 0.260000 
0.116358 	 0.996554 	 0.270000 
0.113683 	 0.996247 	 0.280000 
0.111298 	 0.995963 	 0.290000 
0.109612 	 0.995727 	 0.300000 
0.107635 	 0.995515 	 0.310000 
0.106414 	 0.995302 	 0.320000 
0.105076 	 0.995137 	 0.330000 
0.103855 	 0.994925 	 0.340000 
0.103041 	 0.994736 	 0.350000 
0.101646 	 0.994523 	 0.360000 
0.099669 	 0.994075 	 0.370000 
0.097459 	 0.993862 	 0.380000 
0.095365 	 0.993438 	 0.390000 
0.093505 	 0.993201 	 0.400000 
0.091876 	 0.992942 	 0.410000 
0.090772 	 0.992659 	 0.420000 
0.089260 	 0.992470 	 0.430000 
0.088329 	 0.992281 	 0.440000 
0.087108 	 0.992021 	 0.450000 
0.085247 	 0.991643 	 0.460000 
0.084084 	 0.991431 	 0.470000 
0.082398 	 0.990935 	 0.480000 
0.080654 	 0.990440 	 0.490000 
0.079549 	 0.990015 	 0.500000 
0.077979 	 0.989566 	 0.510000 
0.076234 	 0.989165 	 0.520000 
0.075362 	 0.988598 	 0.530000 
0.074373 	 0.988126 	 0.540000 
0.073327 	 0.987819 	 0.550000 
0.072280 	 0.987465 	 0.560000 
0.070710 	 0.987040 	 0.570000 
0.069373 	 0.986450 	 0.580000 
0.067686 	 0.985884 	 0.590000 
0.065360 	 0.985175 	 0.600000 
0.063674 	 0.984444 	 0.610000 
0.062453 	 0.983877 	 0.620000 
0.061581 	 0.983358 	 0.630000 
0.060883 	 0.982697 	 0.640000 
0.059662 	 0.982059 	 0.650000 
0.058615 	 0.981587 	 0.660000 
0.057219 	 0.980832 	 0.670000 
0.055998 	 0.979864 	 0.680000 
0.054137 	 0.978943 	 0.690000 
0.052218 	 0.977952 	 0.700000 
0.050997 	 0.976795 	 0.710000 
0.049136 	 0.975308 	 0.720000 
0.048032 	 0.974199 	 0.730000 
0.047334 	 0.973278 	 0.740000 
0.045822 	 0.972475 	 0.750000 
0.044833 	 0.971413 	 0.760000 
0.043845 	 0.970115 	 0.770000 
0.041751 	 0.968793 	 0.780000 
0.039949 	 0.967376 	 0.790000 
0.037914 	 0.965441 	 0.800000 
0.035297 	 0.962891 	 0.810000 
0.033378 	 0.960200 	 0.820000 
0.031866 	 0.957651 	 0.830000 
0.030819 	 0.955597 	 0.840000 
0.030122 	 0.954015 	 0.850000 
0.029482 	 0.952623 	 0.860000 
0.028900 	 0.951348 	 0.870000 
0.027796 	 0.949058 	 0.880000 
0.026342 	 0.945517 	 0.890000 
0.023667 	 0.939616 	 0.900000 
0.021166 	 0.930220 	 0.910000 
0.017503 	 0.917025 	 0.920000 
0.016573 	 0.908692 	 0.930000 
0.016282 	 0.905505 	 0.940000 
0.016107 	 0.904159 	 0.950000 
0.016107 	 0.903687 	 0.960000 
0.016107 	 0.903428 	 0.970000 
0.016049 	 0.903121 	 0.980000 
0.016049 	 0.902908 	 0.990000 
