#FP 	 TP 	 Thr
0.176654 	 0.999172 	 0.010000 
0.176124 	 0.999172 	 0.020000 
0.175534 	 0.999126 	 0.030000 
0.175239 	 0.999103 	 0.040000 
0.174649 	 0.999057 	 0.050000 
0.173823 	 0.999057 	 0.060000 
0.173233 	 0.999011 	 0.070000 
0.171405 	 0.998988 	 0.080000 
0.166332 	 0.998780 	 0.090000 
0.155244 	 0.998527 	 0.100000 
0.147930 	 0.998251 	 0.110000 
0.144509 	 0.998159 	 0.120000 
0.142680 	 0.998021 	 0.130000 
0.141501 	 0.997929 	 0.140000 
0.140616 	 0.997883 	 0.150000 
0.139259 	 0.997837 	 0.160000 
0.138256 	 0.997745 	 0.170000 
0.136428 	 0.997676 	 0.180000 
0.133420 	 0.997538 	 0.190000 
0.130412 	 0.997400 	 0.200000 
0.126519 	 0.997193 	 0.210000 
0.123098 	 0.996963 	 0.220000 
0.120562 	 0.996755 	 0.230000 
0.118674 	 0.996617 	 0.240000 
0.116964 	 0.996456 	 0.250000 
0.115666 	 0.996295 	 0.260000 
0.114486 	 0.996226 	 0.270000 
0.113307 	 0.996042 	 0.280000 
0.111360 	 0.995766 	 0.290000 
0.109827 	 0.995628 	 0.300000 
0.107113 	 0.995237 	 0.310000 
0.104931 	 0.994984 	 0.320000 
0.102631 	 0.994684 	 0.330000 
0.100448 	 0.994408 	 0.340000 
0.099092 	 0.994178 	 0.350000 
0.097322 	 0.993948 	 0.360000 
0.096319 	 0.993764 	 0.370000 
0.095376 	 0.993626 	 0.380000 
0.094550 	 0.993350 	 0.390000 
0.093134 	 0.993212 	 0.400000 
0.090952 	 0.992797 	 0.410000 
0.088888 	 0.992406 	 0.420000 
0.087295 	 0.991923 	 0.430000 
0.085349 	 0.991716 	 0.440000 
0.083697 	 0.991233 	 0.450000 
0.081987 	 0.990980 	 0.460000 
0.080630 	 0.990726 	 0.470000 
0.079332 	 0.990450 	 0.480000 
0.078330 	 0.990174 	 0.490000 
0.077150 	 0.989852 	 0.500000 
0.076206 	 0.989576 	 0.510000 
0.074850 	 0.989162 	 0.520000 
0.073493 	 0.988771 	 0.530000 
0.072254 	 0.988425 	 0.540000 
0.070013 	 0.987666 	 0.550000 
0.067890 	 0.986999 	 0.560000 
0.066356 	 0.986492 	 0.570000 
0.065117 	 0.985986 	 0.580000 
0.064115 	 0.985549 	 0.590000 
0.063112 	 0.984905 	 0.600000 
0.062404 	 0.984398 	 0.610000 
0.061342 	 0.983915 	 0.620000 
0.060222 	 0.983409 	 0.630000 
0.058688 	 0.982719 	 0.640000 
0.057273 	 0.981775 	 0.650000 
0.055857 	 0.980924 	 0.660000 
0.054264 	 0.980072 	 0.670000 
0.052554 	 0.979175 	 0.680000 
0.051079 	 0.978162 	 0.690000 
0.050077 	 0.977242 	 0.700000 
0.049251 	 0.976506 	 0.710000 
0.048484 	 0.975861 	 0.720000 
0.047304 	 0.975125 	 0.730000 
0.046302 	 0.974411 	 0.740000 
0.045181 	 0.973008 	 0.750000 
0.043058 	 0.971788 	 0.760000 
0.041701 	 0.970338 	 0.770000 
0.039814 	 0.968498 	 0.780000 
0.037336 	 0.966242 	 0.790000 
0.035567 	 0.963918 	 0.800000 
0.033915 	 0.961916 	 0.810000 
0.032736 	 0.960214 	 0.820000 
0.031851 	 0.959086 	 0.830000 
0.031084 	 0.957774 	 0.840000 
0.030730 	 0.956877 	 0.850000 
0.029669 	 0.955772 	 0.860000 
0.028489 	 0.953793 	 0.870000 
0.027073 	 0.950641 	 0.880000 
0.024360 	 0.945509 	 0.890000 
0.021824 	 0.937455 	 0.900000 
0.019111 	 0.927215 	 0.910000 
0.017636 	 0.919990 	 0.920000 
0.017223 	 0.916975 	 0.930000 
0.017105 	 0.915848 	 0.940000 
0.016987 	 0.915135 	 0.950000 
0.016987 	 0.914835 	 0.960000 
0.016928 	 0.914651 	 0.970000 
0.016928 	 0.914467 	 0.980000 
0.016928 	 0.914306 	 0.990000 
