#FP 	 TP 	 Thr
0.183221 	 0.999261 	 0.010000 
0.182701 	 0.999237 	 0.020000 
0.182123 	 0.999237 	 0.030000 
0.181603 	 0.999214 	 0.040000 
0.181025 	 0.999166 	 0.050000 
0.180101 	 0.999142 	 0.060000 
0.178598 	 0.999118 	 0.070000 
0.172820 	 0.999023 	 0.080000 
0.162478 	 0.998713 	 0.090000 
0.154620 	 0.998451 	 0.100000 
0.151384 	 0.998403 	 0.110000 
0.149073 	 0.998284 	 0.120000 
0.147975 	 0.998284 	 0.130000 
0.146530 	 0.998284 	 0.140000 
0.145028 	 0.998260 	 0.150000 
0.143815 	 0.998141 	 0.160000 
0.140463 	 0.998022 	 0.170000 
0.136072 	 0.997784 	 0.180000 
0.131739 	 0.997665 	 0.190000 
0.129196 	 0.997355 	 0.200000 
0.126423 	 0.997283 	 0.210000 
0.124805 	 0.997164 	 0.220000 
0.123649 	 0.997021 	 0.230000 
0.122725 	 0.996973 	 0.240000 
0.121223 	 0.996902 	 0.250000 
0.119778 	 0.996687 	 0.260000 
0.117582 	 0.996521 	 0.270000 
0.115040 	 0.996259 	 0.280000 
0.112382 	 0.995996 	 0.290000 
0.110764 	 0.995782 	 0.300000 
0.108973 	 0.995591 	 0.310000 
0.107644 	 0.995401 	 0.320000 
0.106778 	 0.995258 	 0.330000 
0.105795 	 0.995043 	 0.340000 
0.105102 	 0.994852 	 0.350000 
0.103484 	 0.994614 	 0.360000 
0.101404 	 0.994138 	 0.370000 
0.099382 	 0.993923 	 0.380000 
0.097475 	 0.993589 	 0.390000 
0.095626 	 0.993280 	 0.400000 
0.094066 	 0.993017 	 0.410000 
0.092853 	 0.992732 	 0.420000 
0.091408 	 0.992565 	 0.430000 
0.090773 	 0.992303 	 0.440000 
0.089675 	 0.992040 	 0.450000 
0.087999 	 0.991707 	 0.460000 
0.086728 	 0.991516 	 0.470000 
0.084937 	 0.990944 	 0.480000 
0.083146 	 0.990539 	 0.490000 
0.081817 	 0.990039 	 0.500000 
0.080141 	 0.989610 	 0.510000 
0.078639 	 0.989252 	 0.520000 
0.077541 	 0.988680 	 0.530000 
0.076501 	 0.988204 	 0.540000 
0.075461 	 0.987775 	 0.550000 
0.074421 	 0.987346 	 0.560000 
0.072803 	 0.986988 	 0.570000 
0.071474 	 0.986440 	 0.580000 
0.069509 	 0.985797 	 0.590000 
0.067256 	 0.985058 	 0.600000 
0.065580 	 0.984319 	 0.610000 
0.064136 	 0.983771 	 0.620000 
0.063269 	 0.983223 	 0.630000 
0.062518 	 0.982556 	 0.640000 
0.061247 	 0.981888 	 0.650000 
0.060265 	 0.981436 	 0.660000 
0.058993 	 0.980744 	 0.670000 
0.057896 	 0.979863 	 0.680000 
0.055989 	 0.978957 	 0.690000 
0.054024 	 0.977932 	 0.700000 
0.052580 	 0.976812 	 0.710000 
0.050789 	 0.975382 	 0.720000 
0.049749 	 0.974215 	 0.730000 
0.049113 	 0.973285 	 0.740000 
0.047611 	 0.972570 	 0.750000 
0.046686 	 0.971403 	 0.760000 
0.045588 	 0.970140 	 0.770000 
0.043335 	 0.968781 	 0.780000 
0.041486 	 0.967280 	 0.790000 
0.039233 	 0.965302 	 0.800000 
0.036748 	 0.962824 	 0.810000 
0.034957 	 0.960107 	 0.820000 
0.033281 	 0.957485 	 0.830000 
0.032068 	 0.955436 	 0.840000 
0.031375 	 0.953863 	 0.850000 
0.030797 	 0.952338 	 0.860000 
0.030277 	 0.951027 	 0.870000 
0.029179 	 0.948644 	 0.880000 
0.027734 	 0.944903 	 0.890000 
0.024845 	 0.938945 	 0.900000 
0.022188 	 0.929341 	 0.910000 
0.018432 	 0.915447 	 0.920000 
0.017623 	 0.906773 	 0.930000 
0.017218 	 0.903460 	 0.940000 
0.017045 	 0.902126 	 0.950000 
0.016930 	 0.901649 	 0.960000 
0.016930 	 0.901363 	 0.970000 
0.016872 	 0.901030 	 0.980000 
0.016872 	 0.900815 	 0.990000 
