#FP 	 TP 	 Thr
0.184342 	 0.999312 	 0.010000 
0.183719 	 0.999312 	 0.020000 
0.183379 	 0.999312 	 0.030000 
0.182812 	 0.999312 	 0.040000 
0.182359 	 0.999263 	 0.050000 
0.181679 	 0.999238 	 0.060000 
0.180206 	 0.999214 	 0.070000 
0.174824 	 0.999116 	 0.080000 
0.164401 	 0.998870 	 0.090000 
0.156526 	 0.998698 	 0.100000 
0.153070 	 0.998649 	 0.110000 
0.151314 	 0.998551 	 0.120000 
0.150578 	 0.998501 	 0.130000 
0.149558 	 0.998501 	 0.140000 
0.148538 	 0.998477 	 0.150000 
0.147179 	 0.998280 	 0.160000 
0.143893 	 0.998157 	 0.170000 
0.139474 	 0.998059 	 0.180000 
0.135282 	 0.997936 	 0.190000 
0.132110 	 0.997863 	 0.200000 
0.130127 	 0.997838 	 0.210000 
0.128994 	 0.997740 	 0.220000 
0.127634 	 0.997666 	 0.230000 
0.126785 	 0.997592 	 0.240000 
0.125142 	 0.997519 	 0.250000 
0.123442 	 0.997322 	 0.260000 
0.121629 	 0.997101 	 0.270000 
0.118967 	 0.996806 	 0.280000 
0.116757 	 0.996561 	 0.290000 
0.115058 	 0.996241 	 0.300000 
0.113358 	 0.996020 	 0.310000 
0.111885 	 0.995774 	 0.320000 
0.110979 	 0.995627 	 0.330000 
0.109903 	 0.995406 	 0.340000 
0.108996 	 0.995258 	 0.350000 
0.107127 	 0.995013 	 0.360000 
0.104577 	 0.994595 	 0.370000 
0.102481 	 0.994251 	 0.380000 
0.101122 	 0.994006 	 0.390000 
0.099422 	 0.993784 	 0.400000 
0.097949 	 0.993563 	 0.410000 
0.096590 	 0.993318 	 0.420000 
0.095570 	 0.993146 	 0.430000 
0.094720 	 0.992925 	 0.440000 
0.093644 	 0.992605 	 0.450000 
0.092228 	 0.992433 	 0.460000 
0.090925 	 0.992089 	 0.470000 
0.089112 	 0.991573 	 0.480000 
0.087242 	 0.991156 	 0.490000 
0.085656 	 0.990566 	 0.500000 
0.083956 	 0.990222 	 0.510000 
0.082937 	 0.989878 	 0.520000 
0.082030 	 0.989510 	 0.530000 
0.080954 	 0.988969 	 0.540000 
0.080104 	 0.988453 	 0.550000 
0.078915 	 0.988134 	 0.560000 
0.077385 	 0.987692 	 0.570000 
0.075799 	 0.987274 	 0.580000 
0.073759 	 0.986733 	 0.590000 
0.071550 	 0.985824 	 0.600000 
0.070020 	 0.985186 	 0.610000 
0.068321 	 0.984522 	 0.620000 
0.067131 	 0.983908 	 0.630000 
0.066055 	 0.983343 	 0.640000 
0.064525 	 0.982655 	 0.650000 
0.063449 	 0.982066 	 0.660000 
0.062203 	 0.981304 	 0.670000 
0.060560 	 0.980346 	 0.680000 
0.058973 	 0.979535 	 0.690000 
0.056764 	 0.978479 	 0.700000 
0.055121 	 0.977324 	 0.710000 
0.053308 	 0.975875 	 0.720000 
0.052289 	 0.974425 	 0.730000 
0.051666 	 0.973393 	 0.740000 
0.050306 	 0.972558 	 0.750000 
0.049456 	 0.971551 	 0.760000 
0.048606 	 0.970101 	 0.770000 
0.046340 	 0.968799 	 0.780000 
0.044414 	 0.967350 	 0.790000 
0.042262 	 0.965237 	 0.800000 
0.039826 	 0.962510 	 0.810000 
0.037843 	 0.959832 	 0.820000 
0.035860 	 0.957154 	 0.830000 
0.034784 	 0.954820 	 0.840000 
0.034104 	 0.952953 	 0.850000 
0.033481 	 0.951184 	 0.860000 
0.032857 	 0.949612 	 0.870000 
0.031668 	 0.946885 	 0.880000 
0.029968 	 0.942635 	 0.890000 
0.026966 	 0.935707 	 0.900000 
0.024416 	 0.924749 	 0.910000 
0.020224 	 0.908928 	 0.920000 
0.019375 	 0.898241 	 0.930000 
0.019035 	 0.894335 	 0.940000 
0.018865 	 0.892615 	 0.950000 
0.018695 	 0.891927 	 0.960000 
0.018695 	 0.891559 	 0.970000 
0.018638 	 0.891165 	 0.980000 
0.018638 	 0.890944 	 0.990000 
