#FP 	 TP 	 Thr
0.182939 	 0.999300 	 0.010000 
0.182308 	 0.999276 	 0.020000 
0.181792 	 0.999276 	 0.030000 
0.181276 	 0.999252 	 0.040000 
0.180760 	 0.999204 	 0.050000 
0.180130 	 0.999155 	 0.060000 
0.178524 	 0.999131 	 0.070000 
0.172849 	 0.999011 	 0.080000 
0.163045 	 0.998793 	 0.090000 
0.155134 	 0.998552 	 0.100000 
0.152210 	 0.998504 	 0.110000 
0.150204 	 0.998431 	 0.120000 
0.149401 	 0.998359 	 0.130000 
0.148082 	 0.998359 	 0.140000 
0.146821 	 0.998359 	 0.150000 
0.145674 	 0.998287 	 0.160000 
0.142177 	 0.998142 	 0.170000 
0.137648 	 0.997900 	 0.180000 
0.133119 	 0.997731 	 0.190000 
0.130425 	 0.997466 	 0.200000 
0.128189 	 0.997442 	 0.210000 
0.126870 	 0.997297 	 0.220000 
0.125494 	 0.997176 	 0.230000 
0.124520 	 0.997128 	 0.240000 
0.123029 	 0.997032 	 0.250000 
0.121367 	 0.996838 	 0.260000 
0.119131 	 0.996694 	 0.270000 
0.116494 	 0.996452 	 0.280000 
0.113742 	 0.996211 	 0.290000 
0.111793 	 0.995970 	 0.300000 
0.110130 	 0.995728 	 0.310000 
0.108582 	 0.995559 	 0.320000 
0.107608 	 0.995390 	 0.330000 
0.106690 	 0.995173 	 0.340000 
0.106117 	 0.995028 	 0.350000 
0.104626 	 0.994787 	 0.360000 
0.102219 	 0.994280 	 0.370000 
0.100441 	 0.994015 	 0.380000 
0.099066 	 0.993701 	 0.390000 
0.097346 	 0.993436 	 0.400000 
0.095740 	 0.993218 	 0.410000 
0.094479 	 0.992881 	 0.420000 
0.093103 	 0.992688 	 0.430000 
0.092301 	 0.992422 	 0.440000 
0.091383 	 0.992181 	 0.450000 
0.089950 	 0.991915 	 0.460000 
0.088689 	 0.991698 	 0.470000 
0.086740 	 0.991143 	 0.480000 
0.085077 	 0.990684 	 0.490000 
0.083759 	 0.990153 	 0.500000 
0.082153 	 0.989743 	 0.510000 
0.080835 	 0.989333 	 0.520000 
0.079745 	 0.988850 	 0.530000 
0.078828 	 0.988319 	 0.540000 
0.077739 	 0.987885 	 0.550000 
0.076592 	 0.987523 	 0.560000 
0.074987 	 0.987064 	 0.570000 
0.073382 	 0.986509 	 0.580000 
0.071318 	 0.985906 	 0.590000 
0.069197 	 0.985061 	 0.600000 
0.067649 	 0.984361 	 0.610000 
0.066101 	 0.983782 	 0.620000 
0.065012 	 0.983324 	 0.630000 
0.064209 	 0.982793 	 0.640000 
0.062719 	 0.982045 	 0.650000 
0.061572 	 0.981441 	 0.660000 
0.060540 	 0.980693 	 0.670000 
0.059221 	 0.979824 	 0.680000 
0.057502 	 0.978980 	 0.690000 
0.055094 	 0.977990 	 0.700000 
0.053660 	 0.976928 	 0.710000 
0.051883 	 0.975456 	 0.720000 
0.050909 	 0.974081 	 0.730000 
0.050278 	 0.973091 	 0.740000 
0.048787 	 0.972391 	 0.750000 
0.047813 	 0.971426 	 0.760000 
0.046838 	 0.970147 	 0.770000 
0.044602 	 0.968675 	 0.780000 
0.042653 	 0.967275 	 0.790000 
0.040245 	 0.965320 	 0.800000 
0.038067 	 0.962810 	 0.810000 
0.036175 	 0.960131 	 0.820000 
0.034570 	 0.957525 	 0.830000 
0.033538 	 0.955232 	 0.840000 
0.032850 	 0.953495 	 0.850000 
0.032334 	 0.951926 	 0.860000 
0.031761 	 0.950502 	 0.870000 
0.030671 	 0.947847 	 0.880000 
0.029123 	 0.943889 	 0.890000 
0.026085 	 0.937639 	 0.900000 
0.023505 	 0.927841 	 0.910000 
0.019607 	 0.913288 	 0.920000 
0.018804 	 0.904069 	 0.930000 
0.018403 	 0.900859 	 0.940000 
0.018231 	 0.899411 	 0.950000 
0.018116 	 0.898808 	 0.960000 
0.018116 	 0.898470 	 0.970000 
0.018059 	 0.898132 	 0.980000 
0.018059 	 0.897891 	 0.990000 
