#FP 	 TP 	 Thr
0.183030 	 0.999331 	 0.010000 
0.182511 	 0.999308 	 0.020000 
0.181934 	 0.999308 	 0.030000 
0.181299 	 0.999284 	 0.040000 
0.180722 	 0.999236 	 0.050000 
0.179856 	 0.999212 	 0.060000 
0.178355 	 0.999188 	 0.070000 
0.172641 	 0.999069 	 0.080000 
0.162251 	 0.998782 	 0.090000 
0.154343 	 0.998520 	 0.100000 
0.151284 	 0.998472 	 0.110000 
0.149033 	 0.998353 	 0.120000 
0.147937 	 0.998353 	 0.130000 
0.146551 	 0.998353 	 0.140000 
0.144993 	 0.998329 	 0.150000 
0.143896 	 0.998233 	 0.160000 
0.140433 	 0.998138 	 0.170000 
0.136162 	 0.997899 	 0.180000 
0.131717 	 0.997779 	 0.190000 
0.129062 	 0.997469 	 0.200000 
0.126407 	 0.997374 	 0.210000 
0.124906 	 0.997254 	 0.220000 
0.123752 	 0.997111 	 0.230000 
0.122655 	 0.997063 	 0.240000 
0.121154 	 0.996992 	 0.250000 
0.119538 	 0.996801 	 0.260000 
0.117403 	 0.996633 	 0.270000 
0.114747 	 0.996371 	 0.280000 
0.112092 	 0.996108 	 0.290000 
0.110245 	 0.995893 	 0.300000 
0.108629 	 0.995678 	 0.310000 
0.107359 	 0.995487 	 0.320000 
0.106436 	 0.995344 	 0.330000 
0.105512 	 0.995105 	 0.340000 
0.104877 	 0.994914 	 0.350000 
0.103319 	 0.994699 	 0.360000 
0.101299 	 0.994222 	 0.370000 
0.099278 	 0.994007 	 0.380000 
0.097431 	 0.993673 	 0.390000 
0.095584 	 0.993362 	 0.400000 
0.094026 	 0.993100 	 0.410000 
0.092872 	 0.992813 	 0.420000 
0.091371 	 0.992646 	 0.430000 
0.090736 	 0.992407 	 0.440000 
0.089697 	 0.992168 	 0.450000 
0.087908 	 0.991810 	 0.460000 
0.086696 	 0.991619 	 0.470000 
0.084906 	 0.991022 	 0.480000 
0.083232 	 0.990616 	 0.490000 
0.081905 	 0.990091 	 0.500000 
0.080231 	 0.989614 	 0.510000 
0.078672 	 0.989279 	 0.520000 
0.077518 	 0.988706 	 0.530000 
0.076479 	 0.988205 	 0.540000 
0.075440 	 0.987775 	 0.550000 
0.074343 	 0.987345 	 0.560000 
0.072727 	 0.986987 	 0.570000 
0.071400 	 0.986462 	 0.580000 
0.069322 	 0.985841 	 0.590000 
0.067186 	 0.985125 	 0.600000 
0.065512 	 0.984409 	 0.610000 
0.064127 	 0.983859 	 0.620000 
0.063261 	 0.983286 	 0.630000 
0.062569 	 0.982642 	 0.640000 
0.061241 	 0.981973 	 0.650000 
0.060260 	 0.981496 	 0.660000 
0.058932 	 0.980827 	 0.670000 
0.057893 	 0.979896 	 0.680000 
0.055988 	 0.978989 	 0.690000 
0.053911 	 0.977938 	 0.700000 
0.052525 	 0.976816 	 0.710000 
0.050736 	 0.975335 	 0.720000 
0.049755 	 0.974118 	 0.730000 
0.049120 	 0.973187 	 0.740000 
0.047677 	 0.972470 	 0.750000 
0.046753 	 0.971348 	 0.760000 
0.045714 	 0.970083 	 0.770000 
0.043232 	 0.968793 	 0.780000 
0.041328 	 0.967337 	 0.790000 
0.039076 	 0.965355 	 0.800000 
0.036652 	 0.962848 	 0.810000 
0.034863 	 0.960126 	 0.820000 
0.033304 	 0.957524 	 0.830000 
0.032092 	 0.955422 	 0.840000 
0.031342 	 0.953799 	 0.850000 
0.030765 	 0.952295 	 0.860000 
0.030245 	 0.950981 	 0.870000 
0.029149 	 0.948546 	 0.880000 
0.027763 	 0.944773 	 0.890000 
0.024877 	 0.938709 	 0.900000 
0.022222 	 0.929039 	 0.910000 
0.018413 	 0.915023 	 0.920000 
0.017605 	 0.906237 	 0.930000 
0.017201 	 0.902989 	 0.940000 
0.017027 	 0.901628 	 0.950000 
0.016912 	 0.901127 	 0.960000 
0.016912 	 0.900817 	 0.970000 
0.016854 	 0.900482 	 0.980000 
0.016854 	 0.900267 	 0.990000 
